R E0 E1 E2 E3 E4 E5 E6
1.97 97168.94 99676.30 106953.83 108113.94 109387.49 110392.66 112032.71
1.98 97058.38 99519.57 106911.41 107979.60 109227.93 110242.52 111856.76
1.99 96951.95 99368.65 106869.97 107851.35 109074.21 110098.55 111688.13
2.00 96849.55 99223.29 106829.19 107729.07 108926.05 109960.46 111526.49
2.01 96750.98 99083.33 106788.69 107612.69 108783.22 109827.88 111371.53
2.02 96656.10 98948.53 106748.08 107502.14 108645.47 109700.51 111222.89
2.03 96564.78 98818.71 106706.94 107397.39 108512.62 109577.92 111080.24
2.04 96476.84 98693.69 106664.84 107298.38 108384.54 109459.75 110943.20
2.05 96392.20 98573.29 106621.33 107205.06 108261.11 109345.61 110811.44
2.06 96310.67 98457.31 106575.93 107117.25 108142.32 109235.11 110684.66
2.07 96232.19 98345.62 106528.30 107034.78 108028.14 109127.95 110562.48
2.08 96156.61 98238.04 106478.09 106957.32 107918.60 109023.92 110444.68
2.09 96083.83 98134.44 106425.09 106884.46 107813.75 108922.92 110331.08
2.10 96013.74 98034.61 106369.31 106815.73 107713.60 108824.99 110221.55
2.15 95699.85 97587.70 106058.93 106518.34 107279.99 108384.81 109733.30
2.20 95438.61 97216.22 105739.58 106274.41 106941.92 108031.14 109339.50
2.25 95220.18 96906.64 105452.14 106072.89 106677.23 107753.95 109027.48
2.30 95036.51 96647.70 105208.89 105909.42 106469.75 107538.06 108782.17
2.35 94880.80 96430.05 105007.95 105778.96 106307.65 107370.43 108590.34
2.40 94747.93 96246.19 104846.69 105676.91 106181.96 107241.17 108441.12
2.45 94633.33 96089.76 104718.13 105598.47 106085.49 107142.43 108325.61
2.50 94533.42 95955.56 104616.78 105539.42 106012.38 107068.03 108236.58
2.55 94445.24 95839.47 104537.67 105495.73 105957.64 107012.62 108168.18
2.60 94366.54 95738.02 104476.59 105464.30 105917.31 106972.20 108115.67
2.65 94295.39 95648.47 104429.98 105442.52 105888.29 106943.50 108075.19
2.70 94230.34 95568.58 104394.86 105428.27 105868.03 106923.92 108043.71
2.75 94170.19 95496.56 104368.80 105419.82 105854.41 106911.34 108018.75
