R Re<0|V|1> Re<0|V|2> Re<0|V|3> Re<0|V|4> Re<0|V|5> Re<0|V|6> Re<1|V|2> Re<1|V|3> Re<1|V|4> Re<1|V|5> Re<1|V|6> Re<2|V|3> Re<2|V|4> Re<2|V|5> Re<2|V|6> Re<3|V|4> Re<3|V|5> Re<3|V|6> Re<4|V|5> Re<4|V|6> Re<5|V|6>
1.97 -1731.31 -16.59 -5.75 -6.25 -12.71 -12.22 16.68 -4.86 -1.50 -12.55 -14.90 49.15 -64.33 -67.79 499.44 1229.31 -1396.95 -139.09 1458.46 790.85 272.76
1.98 -1663.87 -16.87 -5.97 -6.52 -12.96 -12.33 16.97 -4.82 -1.38 -12.88 -15.18 52.75 -62.71 -52.49 467.17 1176.33 -1347.28 -147.13 1420.26 788.94 283.78
1.99 -1598.84 -17.14 -6.23 -6.82 -13.15 -12.44 17.26 -4.69 -1.23 -13.25 -15.47 56.78 -60.96 -35.71 436.40 1124.87 -1299.53 -156.55 1383.75 786.24 295.06
2.00 -1536.14 -17.38 -6.53 -7.11 -13.30 -12.57 17.52 -4.51 -1.09 -13.68 -15.70 61.27 -59.00 -17.28 407.25 1074.87 -1253.59 -167.47 1348.95 782.66 306.63
2.01 -1475.70 -17.61 -6.86 -7.38 -13.36 -12.73 17.76 -4.25 -0.97 -14.19 -15.85 66.23 -56.77 2.97 379.86 1026.31 -1209.35 -180.03 1315.86 778.09 318.54
2.02 -1417.43 -17.80 -7.24 -7.69 -13.38 -12.88 17.96 -3.90 -0.80 -14.72 -16.02 71.68 -54.24 25.12 354.42 979.16 -1166.68 -194.29 1284.52 772.48 330.80
2.03 -1361.27 -17.96 -7.67 -8.03 -13.36 -13.01 18.12 -3.47 -0.59 -15.28 -16.15 77.57 -51.29 49.25 331.19 933.45 -1125.44 -210.30 1254.97 765.79 343.44
2.04 -1307.13 -18.08 -8.15 -8.39 -13.31 -13.17 18.21 -2.97 -0.32 -15.88 -16.28 83.88 -47.90 75.30 310.41 889.20 -1085.43 -228.02 1227.21 758.04 356.43
2.05 -1254.97 -18.16 -8.67 -8.78 -13.22 -13.29 18.26 -2.39 -0.02 -16.49 -16.39 90.50 -43.98 103.09 292.38 846.48 -1046.50 -247.29 1201.28 749.26 369.74
2.06 -1204.70 -18.18 -9.23 -9.20 -13.08 -13.44 18.24 -1.74 0.31 -17.14 -16.48 97.31 -39.51 132.26 277.32 805.40 -1008.47 -267.77 1177.13 739.64 383.26
2.07 -1156.26 -18.15 -9.80 -9.63 -12.93 -13.58 18.14 -1.07 0.67 -17.80 -16.57 104.13 -34.50 162.31 265.40 766.00 -971.16 -289.08 1154.70 729.39 396.89
2.08 -1109.57 -18.08 -10.40 -10.07 -12.76 -13.71 17.98 -0.34 1.06 -18.44 -16.63 110.78 -28.97 192.59 256.65 728.40 -934.47 -310.68 1133.88 718.82 410.45
2.09 -1064.60 -17.95 -10.98 -10.50 -12.58 -13.86 17.75 0.37 1.43 -19.09 -16.67 117.12 -23.03 222.44 250.99 692.63 -898.33 -331.97 1114.46 708.27 423.76
2.10 -1021.28 -17.79 -11.55 -10.93 -12.40 -13.99 17.48 1.07 1.81 -19.70 -16.70 122.97 -16.81 251.17 248.11 658.69 -862.79 -352.45 1096.26 698.07 436.69
2.15 -827.40 -16.77 -13.86 -12.75 -11.68 -14.64 15.88 4.02 3.27 -22.26 -16.72 143.45 13.63 365.38 261.00 513.36 -696.73 -431.85 1016.46 659.40 492.29
2.20 -666.86 -15.97 -15.22 -13.96 -11.32 -15.12 14.62 5.81 4.04 -23.86 -16.70 152.59 36.72 431.11 287.57 398.35 -556.44 -473.71 946.11 642.49 533.19
2.25 -534.17 -15.47 -15.97 -14.78 -11.14 -15.43 13.83 6.92 4.37 -24.82 -16.70 156.57 52.47 468.19 310.51 304.25 -441.94 -494.05 883.20 638.39 564.36
2.30 -424.69 -15.15 -16.35 -15.34 -11.01 -15.61 13.34 7.64 4.47 -25.37 -16.68 158.42 63.39 490.62 328.09 226.49 -348.89 -504.01 828.42 640.12 589.30
2.35 -334.70 -14.93 -16.53 -15.73 -10.88 -15.71 13.00 8.16 4.47 -25.66 -16.64 159.34 71.21 505.09 341.68 162.03 -272.94 -508.77 781.71 644.20 609.70
2.40 -260.59 -14.73 -16.54 -16.01 -10.73 -15.72 12.73 8.54 4.40 -25.73 -16.58 159.79 76.95 514.86 351.84 108.97 -211.11 -510.83 742.10 648.90 626.47
2.45 -199.83 -14.54 -16.44 -16.19 -10.53 -15.70 12.48 8.84 4.28 -25.65 -16.49 160.01 81.19 521.60 359.52 65.06 -160.39 -511.33 708.54 653.30 640.13
2.50 -150.13 -14.33 -16.27 -16.29 -10.31 -15.62 12.24 9.08 4.16 -25.46 -16.36 160.09 84.26 526.21 365.23 28.64 -118.62 -510.96 679.94 656.88 650.99
2.55 -109.58 -14.11 -16.02 -16.34 -10.05 -15.52 11.99 9.27 4.02 -25.16 -16.20 160.07 86.39 529.23 369.27 -1.29 -84.44 -510.02 655.64 659.35 659.31
2.60 -76.62 -13.87 -15.73 -16.32 -9.78 -15.39 11.72 9.41 3.87 -24.77 -16.02 160.01 87.73 531.02 371.88 -25.84 -56.49 -508.73 634.81 660.54 665.28
2.65 -49.93 -13.63 -15.39 -16.26 -9.47 -15.23 11.46 9.51 3.71 -24.32 -15.81 159.89 88.38 531.78 373.23 -45.93 -33.67 -507.16 616.76 660.33 669.06
2.70 -28.43 -13.35 -15.02 -16.15 -9.15 -15.04 11.17 9.59 3.54 -23.82 -15.58 159.74 88.41 531.66 373.40 -62.32 -15.08 -505.37 600.85 658.69 670.81
2.75 -11.20 -13.07 -14.63 -16.00 -8.82 -14.83 10.89 9.64 3.38 -23.27 -15.32 159.55 87.89 530.76 372.53 -75.66 0.06 -503.39 586.62 655.59 670.66
2.80 2.51 -12.78 -14.21 -15.83 -8.47 -14.59 10.59 9.67 3.22 -22.69 -15.05 159.35 86.86 529.19 370.70 -86.45 12.34 -501.24 573.65 651.05 668.72
2.85 13.31 -12.48 -13.77 -15.62 -8.13 -14.34 10.30 9.65 3.06 -22.07 -14.77 159.10 85.37 526.99 367.94 -95.16 22.25 -498.90 561.51 645.20 665.25
2.90 21.82 -12.16 -13.32 -15.39 -7.77 -14.08 9.99 9.64 2.89 -21.42 -14.47 158.82 83.44 524.18 364.35 -102.12 30.23 -496.37 550.08 637.94 660.17
3.00 33.11 -11.52 -12.38 -14.85 -7.06 -13.48 9.38 9.51 2.57 -20.07 -13.81 158.16 78.47 517.01 354.92 -111.92 41.62 -490.73 528.22 619.86 646.08
