R Re<0|V|2> Re<0|V|3> Re<0|V|4> Re<0|V|5> Re<0|V|6> Re<1|V|2> Re<1|V|3> Re<1|V|4> Re<1|V|5> Re<1|V|6> Re<2|V|3> Re<2|V|4> Re<2|V|5> Re<2|V|6> Re<3|V|4> Re<3|V|5> Re<3|V|6> Re<4|V|5> Re<4|V|6> Re<5|V|6>
1.970000 -0.206086 -1.198882 -0.745698 0.663012 -0.003459 -0.113645 -0.821438 -0.481411 0.575277 0.158966 0.037087 -0.029823 0.031218 0.001855 -0.087341 -0.080423 -0.176723 0.138190 0.146477 -0.144734
1.980000 -0.199550 -1.308432 -0.812857 0.731233 0.000347 -0.109868 -0.901457 -0.530023 0.620552 0.157350 0.038020 -0.030573 0.032003 0.001901 -0.089539 -0.082447 -0.181170 0.141668 0.150163 -0.148377
1.990000 -0.193114 -1.428165 -0.886137 0.805455 0.004408 -0.106146 -0.988571 -0.583107 0.670295 0.156005 0.038952 -0.031323 0.032788 0.001948 -0.091735 -0.084469 -0.185612 0.145142 0.153845 -0.152015
2.000000 -0.186757 -1.557823 -0.965397 0.885538 0.008717 -0.102464 -1.082621 -0.640546 0.724387 0.154922 0.039881 -0.032070 0.033570 0.001994 -0.093922 -0.086483 -0.190038 0.148602 0.157513 -0.155639
2.010000 -0.180456 -1.696479 -1.050082 0.970937 0.013243 -0.098807 -1.182964 -0.701927 0.782421 0.154078 0.040804 -0.032812 0.034346 0.002040 -0.096095 -0.088484 -0.194435 0.152041 0.161158 -0.159241
2.020000 -0.174188 -1.842272 -1.139067 1.060543 0.017932 -0.095156 -1.288287 -0.766434 0.843591 0.153431 0.041718 -0.033547 0.035116 0.002086 -0.098249 -0.090467 -0.198793 0.155448 0.164769 -0.162809
2.030000 -0.167924 -1.992142 -1.230493 1.152520 0.022694 -0.091493 -1.396420 -0.832730 0.906574 0.152915 0.042621 -0.034273 0.035876 0.002131 -0.100376 -0.092425 -0.203097 0.158814 0.168337 -0.166334
2.040000 -0.161637 -2.141617 -1.321634 1.244183 0.027401 -0.087799 -1.504181 -0.898857 0.969441 0.152438 0.043511 -0.034989 0.036625 0.002176 -0.102471 -0.094354 -0.207335 0.162128 0.171850 -0.169806
2.050000 -0.155303 -2.284742 -1.408861 1.331949 0.031884 -0.084056 -1.607329 -0.962218 1.029625 0.151877 0.044384 -0.035691 0.037360 0.002219 -0.104526 -0.096247 -0.211495 0.165381 0.175297 -0.173212
2.060000 -0.148901 -2.414284 -1.487761 1.411467 0.035940 -0.080249 -1.700709 -1.019653 1.084008 0.151085 0.045237 -0.036377 0.038078 0.002262 -0.106536 -0.098098 -0.215562 0.168561 0.178668 -0.176543
2.070000 -0.142418 -2.522297 -1.553483 1.477951 0.039348 -0.076370 -1.778654 -1.067694 1.129168 0.149903 0.046068 -0.037045 0.038778 0.002304 -0.108494 -0.099900 -0.219523 0.171658 0.181952 -0.179787
2.080000 -0.135858 -2.601062 -1.601319 1.526755 0.041896 -0.072422 -1.835661 -1.102972 1.161780 0.148177 0.046875 -0.037694 0.039457 0.002344 -0.110393 -0.101649 -0.223364 0.174662 0.185136 -0.182933
2.090000 -0.129238 -2.644287 -1.627427 1.554090 0.043414 -0.068416 -1.867241 -1.122739 1.179132 0.145787 0.047653 -0.038319 0.040112 0.002383 -0.112225 -0.103336 -0.227073 0.177562 0.188209 -0.185970
2.100000 -0.122592 -2.648245 -1.629535 1.557715 0.043809 -0.064378 -1.870740 -1.125371 1.179619 0.142662 0.048400 -0.038921 0.040741 0.002420 -0.113986 -0.104957 -0.230634 0.180347 0.191161 -0.188887
2.150000 -0.090875 -2.168085 -1.334554 1.273944 0.031807 -0.045070 -1.530764 -0.920274 0.967312 0.118033 0.051583 -0.041480 0.043420 0.002579 -0.121482 -0.111859 -0.245801 0.192207 0.203733 -0.201309
2.200000 -0.065661 -1.544719 -0.952080 0.903142 0.016467 -0.030091 -1.088035 -0.652358 0.693955 0.092544 0.053635 -0.043130 0.045147 0.002682 -0.126315 -0.116309 -0.255580 0.199854 0.211838 -0.209318
2.250000 -0.046982 -0.921464 -0.569814 0.531897 0.001819 -0.019487 -0.645153 -0.384093 0.421107 0.068945 0.054380 -0.043729 0.045775 0.002719 -0.128069 -0.117925 -0.259130 0.202630 0.214780 -0.212225
