State0	Sigma0	State1	Sigma1	State2	Sigma2	State3	Sigma3	State4	Sigma4	State5	Sigma5	State6	Sigma6	
9.308950e+04	2.245188e-14	9.440898e+04	2.337478e-14	1.040229e+05	3.165044e-14	1.052497e+05	3.651504e-14	1.058267e+05	5.832890e-14	1.068056e+05	4.694946e-14	1.071264e+05	4.618562e-14
9.308972e+04	2.183065e-14	9.440920e+04	2.254613e-14	1.040231e+05	3.171976e-14	1.052499e+05	3.635572e-14	1.058269e+05	5.609645e-14	1.068058e+05	4.583367e-14	1.071266e+05	4.521734e-14
9.308994e+04	2.366290e-14	9.440942e+04	2.477128e-14	1.040234e+05	3.176282e-14	1.052502e+05	3.673529e-14	1.058271e+05	7.261999e-14	1.068061e+05	4.882513e-14	1.071268e+05	4.772226e-14
9.309018e+04	2.323380e-14	9.440966e+04	2.418646e-14	1.040236e+05	3.179896e-14	1.052504e+05	3.663055e-14	1.058274e+05	6.921878e-14	1.068063e+05	4.823669e-14	1.071271e+05	4.720801e-14
9.309043e+04	2.276086e-14	9.440991e+04	2.355670e-14	1.040238e+05	3.184371e-14	1.052507e+05	3.650009e-14	1.058276e+05	6.584597e-14	1.068066e+05	4.749857e-14	1.071273e+05	4.657764e-14
9.309070e+04	2.225656e-14	9.441018e+04	2.289587e-14	1.040241e+05	3.189766e-14	1.052509e+05	3.632532e-14	1.058279e+05	6.249058e-14	1.068068e+05	4.660918e-14	1.071276e+05	4.580940e-14
9.309097e+04	2.173783e-14	9.441045e+04	2.222263e-14	1.040244e+05	3.195783e-14	1.052512e+05	3.611749e-14	1.058282e+05	5.914281e-14	1.068071e+05	4.553376e-14	1.071278e+05	4.488110e-14
9.309126e+04	2.305175e-14	9.441074e+04	2.380710e-14	1.040247e+05	3.200845e-14	1.052515e+05	3.641761e-14	1.058284e+05	7.207501e-14	1.068074e+05	4.811846e-14	1.071281e+05	4.703328e-14
9.309156e+04	2.267812e-14	9.441104e+04	2.331203e-14	1.040250e+05	3.203290e-14	1.052518e+05	3.632895e-14	1.058287e+05	6.835553e-14	1.068077e+05	4.749872e-14	1.071284e+05	4.650366e-14
9.309188e+04	2.227704e-14	9.441136e+04	2.278409e-14	1.040253e+05	3.206630e-14	1.052521e+05	3.622824e-14	1.058291e+05	6.448565e-14	1.068080e+05	4.672952e-14	1.071287e+05	4.584873e-14
