R	E0	E1	E2	E3	E4
1.97	106953.83	108113.94	109387.49	110392.66	112032.71
1.98	106911.41	107979.6	109227.93	110242.52	111856.76
1.99	106869.97	107851.35	109074.21	110098.55	111688.13
2	106829.19	107729.07	108926.05	109960.46	111526.49
2.01	106788.69	107612.69	108783.22	109827.88	111371.53
2.02	106748.08	107502.14	108645.47	109700.51	111222.89
2.03	106706.94	107397.39	108512.62	109577.92	111080.24
2.04	106664.84	107298.38	108384.54	109459.75	110943.2
2.05	106621.33	107205.06	108261.11	109345.61	110811.44
2.06	106575.93	107117.25	108142.32	109235.11	110684.66
2.07	106528.3	107034.78	108028.14	109127.95	110562.48
2.08	106478.09	106957.32	107918.6	109023.92	110444.68
2.09	106425.09	106884.46	107813.75	108922.92	110331.08
2.1	106369.31	106815.73	107713.6	108824.99	110221.55
2.15	106058.93	106518.34	107279.99	108384.81	109733.3
2.2	105739.58	106274.41	106941.92	108031.14	109339.5
2.25	105452.14	106072.89	106677.23	107753.95	109027.48
2.3	105208.89	105909.42	106469.75	107538.06	108782.17
2.35	105007.95	105778.96	106307.65	107370.43	108590.34
2.4	104846.69	105676.91	106181.96	107241.17	108441.12
2.45	104718.13	105598.47	106085.49	107142.43	108325.61
2.5	104616.78	105539.42	106012.38	107068.03	108236.58
2.55	104537.67	105495.73	105957.64	107012.62	108168.18
2.6	104476.59	105464.3	105917.31	106972.2	108115.67
2.65	104429.98	105442.52	105888.29	106943.5	108075.19
2.7	104394.86	105428.27	105868.03	106923.92	108043.71
2.75	104368.8	105419.82	105854.41	106911.34	108018.75
2.8	104349.78	105415.72	105845.82	106904.08	107998.37
2.85	104336.18	105414.84	105840.83	106900.7	107980.97
2.9	104326.69	105416.27	105838.6	106900.32	107965.5
3	104315.99	105423.31	105838.78	106904.89	107936.66
3.1	104311.68	105432.72	105842.15	106913.42	107907.42
3.2	104309.92	105442.07	105845.93	106923	107875.44
3.3	104308.45	105449.92	105848.79	106932.1	107840.05
3.4	104306.06	105455.6	105850.17	106940	107801.43
3.5	104302.09	105458.83	105849.94	106946.37	107760.29
3.6	104296.32	105459.6	105848.28	106951.22	107717.55
3.7	104288.65	105457.86	105845.37	106954.55	107674.19
3.8	104279.49	105454.03	105841.6	106956.55	107631.05
3.9	104268.51	105448.12	105837.16	106957.32	107588.92
4	104256.29	105440.45	105832.4	106957	107548.43
4.1	104243.14	105431.5	105827.6	106955.8	107510.02
4.2	104229.31	105421.5	105822.95	106953.75	107473.96
4.3	104215.08	105410.78	105818.62	106950.96	107440.48
4.4	104200.67	105399.48	105814.68	106947.47	107409.62
4.5	104186.32	105387.96	105811.25	106943.35	107381.36
4.6	104172.44	105376.38	105808.31	106938.66	107355.64
4.7	104158.73	105364.99	105805.93	106933.45	107332.26
4.8	104145.59	105353.94	105804.1	106927.8	107311.11
4.9	104133.12	105343.4	105802.76	106921.82	107292.05
5	104121.41	105333.46	105802.12	106915.79	107275.03
5.1	104110.49	105324.14	105801.64	106909.3	107259.48
5.2	104100.38	105315.55	105801.55	106902.69	107245.45
5.3	104091.1	105307.67	105801.71	106896.06	107232.82
5.4	104082.61	105300.47	105802.14	106889.48	107221.42
5.5	104074.92	105294	105802.76	106882.99	107211.11
5.6	104067.97	105288.16	105803.51	106876.7	107201.86
5.7	104061.74	105282.96	105804.37	106870.62	107193.49
5.8	104056.17	105278.3	105805.29	106864.8	107185.95
5.9	104051.19	105274.18	105806.23	106859.27	107179.15
6	104046.79	105270.53	105807.2	106854.03	107173
6.2	104039.45	105264.5	105809.13	106844.6	107162.52
6.4	104033.79	105259.84	105811.02	106836.55	107154.17
6.6	104029.44	105256.27	105812.66	106829.65	107147.35
6.8	104026.18	105253.49	105814.14	106823.93	107141.85
7	104023.74	105251.37	105815.4	106819.19	107137.46
7.2	104021.96	105249.78	105816.51	106815.34	107133.97
7.4	104020.64	105248.54	105817.43	106812.22	107131.2
7.6	104019.71	105246.79	105817.9	106809.41	107129.01
7.8	104019.03	105246.28	105818.58	106807.44	107127.25
8	104018.59	105245.9	105819.19	106805.9	107125.9
8.2	104018.3	105245.63	105819.67	106804.7	107124.85
8.4	104018.15	105245.4	105820.21	106803.9	107124.16
8.6	104018.03	105245.27	105820.56	106803.16	107123.55
8.8	104017.95	105245.17	105820.83	106802.6	107123.05
9	104017.92	105245.11	105821.06	106802.17	107122.69
9.2	104017.92	105245.06	105821.25	106801.82	107122.41
9.4	104017.95	105245.04	105821.38	106801.58	107122.22
9.6	104017.98	105245.04	105821.52	106801.38	107122.04
9.8	104018.02	105245.04	105821.63	106801.23	107121.92
10	104018.05	105245.03	105821.72	106801.12	107121.82
10.5	104018.16	105245.05	105821.95	106801.05	107121.78
11	104018.27	105245.09	105822.04	106800.99	107121.73
