R	Re<0|V|1>	Re<0|V|2>	Re<0|V|3>	Re<0|V|4>	Re<1|V|2>	Re<1|V|3>	Re<1|V|4>	Re<2|V|3>	Re<2|V|4>	Re<3|V|4>
1.97	49.15	-64.33	-67.79	499.44	1229.31	-1396.95	-139.09	1458.46	790.85	272.76
1.98	52.75	-62.71	-52.49	467.17	1176.33	-1347.28	-147.13	1420.26	788.94	283.78
1.99	56.78	-60.96	-35.71	436.4	1124.87	-1299.53	-156.55	1383.75	786.24	295.06
2	61.27	-59	-17.28	407.25	1074.87	-1253.59	-167.47	1348.95	782.66	306.63
2.01	66.23	-56.77	2.97	379.86	1026.31	-1209.35	-180.03	1315.86	778.09	318.54
2.02	71.68	-54.24	25.12	354.42	979.16	-1166.68	-194.29	1284.52	772.48	330.8
2.03	77.57	-51.29	49.25	331.19	933.45	-1125.44	-210.3	1254.97	765.79	343.44
2.04	83.88	-47.9	75.3	310.41	889.2	-1085.43	-228.02	1227.21	758.04	356.43
2.05	90.5	-43.98	103.09	292.38	846.48	-1046.5	-247.29	1201.28	749.26	369.74
2.06	97.31	-39.51	132.26	277.32	805.4	-1008.47	-267.77	1177.13	739.64	383.26
2.07	104.13	-34.5	162.31	265.4	766	-971.16	-289.08	1154.7	729.39	396.89
2.08	110.78	-28.97	192.59	256.65	728.4	-934.47	-310.68	1133.88	718.82	410.45
2.09	117.12	-23.03	222.44	250.99	692.63	-898.33	-331.97	1114.46	708.27	423.76
2.1	122.97	-16.81	251.17	248.11	658.69	-862.79	-352.45	1096.26	698.07	436.69
2.15	143.45	13.63	365.38	261	513.36	-696.73	-431.85	1016.46	659.4	492.29
2.2	152.59	36.72	431.11	287.57	398.35	-556.44	-473.71	946.11	642.49	533.19
2.25	156.57	52.47	468.19	310.51	304.25	-441.94	-494.05	883.2	638.39	564.36
2.3	158.42	63.39	490.62	328.09	226.49	-348.89	-504.01	828.42	640.12	589.3
2.35	159.34	71.21	505.09	341.68	162.03	-272.94	-508.77	781.71	644.2	609.7
2.4	159.79	76.95	514.86	351.84	108.97	-211.11	-510.83	742.1	648.9	626.47
2.45	160.01	81.19	521.6	359.52	65.06	-160.39	-511.33	708.54	653.3	640.13
2.5	160.09	84.26	526.21	365.23	28.64	-118.62	-510.96	679.94	656.88	650.99
2.55	160.07	86.39	529.23	369.27	-1.29	-84.44	-510.02	655.64	659.35	659.31
2.6	160.01	87.73	531.02	371.88	-25.84	-56.49	-508.73	634.81	660.54	665.28
2.65	159.89	88.38	531.78	373.23	-45.93	-33.67	-507.16	616.76	660.33	669.06
2.7	159.74	88.41	531.66	373.4	-62.32	-15.08	-505.37	600.85	658.69	670.81
2.75	159.55	87.89	530.76	372.53	-75.66	0.06	-503.39	586.62	655.59	670.66
2.8	159.35	86.86	529.19	370.7	-86.45	12.34	-501.24	573.65	651.05	668.72
2.85	159.1	85.37	526.99	367.94	-95.16	22.25	-498.9	561.51	645.2	665.25
2.9	158.82	83.44	524.18	364.35	-102.12	30.23	-496.37	550.08	637.94	660.17
3	158.16	78.47	517.01	354.92	-111.92	41.62	-490.73	528.22	619.86	646.08
3.1	157.33	72.19	507.9	342.9	-117.67	48.54	-484.27	507.14	597.25	627.21
3.2	156.3	64.88	497.12	328.77	-120.54	52.39	-476.92	486.01	571.06	604.59
3.3	155.07	56.8	484.85	312.91	-121.36	54.13	-468.65	464.51	542.1	579.07
3.4	153.57	48.19	471.28	295.79	-120.7	54.36	-459.44	442.56	511.16	551.48
3.5	151.81	39.28	456.6	277.78	-118.92	53.55	-449.26	420.21	479	522.53
3.6	149.72	30.3	440.93	259.21	-116.2	51.96	-438.09	397.53	446.32	492.87
3.7	147.28	21.43	424.41	240.44	-112.85	49.89	-425.94	374.73	413.69	463.05
3.8	144.5	12.85	407.2	221.69	-108.88	47.42	-412.83	351.96	381.64	433.5
3.9	141.33	4.69	389.39	203.29	-104.51	44.79	-398.8	329.44	350.53	404.58
4	137.76	-2.88	371.11	185.4	-99.83	42.07	-383.89	307.3	320.68	376.57
4.1	133.81	-9.8	352.51	168.18	-94.77	39.24	-368.19	285.65	292.34	349.67
4.2	129.46	-15.97	333.66	151.76	-89.49	36.4	-351.76	264.65	265.64	323.99
4.3	124.77	-21.36	314.71	136.24	-83.98	33.55	-334.76	244.34	240.65	299.62
4.4	119.73	-25.91	295.78	121.7	-78.41	30.84	-317.27	224.89	217.44	276.57
4.5	114.4	-29.64	276.99	108.21	-72.81	28.21	-299.48	206.34	195.98	254.87
4.6	108.83	-32.54	258.47	95.75	-67.27	25.74	-281.53	188.75	176.25	234.46
4.7	103.07	-34.68	240.31	84.4	-61.83	23.41	-263.57	172.17	158.19	215.35
4.8	97.17	-36.06	222.66	74.12	-56.55	21.23	-245.74	156.61	141.72	197.46
4.9	91.21	-36.78	205.6	64.86	-51.47	19.21	-228.26	142.09	126.8	180.79
5	85.27	-36.96	189.2	56.62	-46.66	17.34	-211.21	128.83	113.09	165.03
5.1	79.38	-36.58	173.6	49.28	-42.11	15.6	-194.75	116.37	100.89	150.56
5.2	73.61	-35.77	158.82	42.8	-37.85	14	-178.96	104.92	89.92	137.13
5.3	68	-34.62	144.88	37.11	-33.91	12.54	-163.94	94.44	80.06	124.69
5.4	62.6	-33.2	131.84	32.15	-30.28	11.2	-149.74	84.89	71.23	113.17
5.5	57.45	-31.57	119.68	27.84	-26.96	9.96	-136.4	76.22	63.35	102.56
5.6	52.55	-29.8	108.4	24.11	-23.93	8.84	-123.95	68.34	56.32	92.81
5.7	47.93	-27.95	97.98	20.88	-21.2	7.82	-112.37	61.24	50.05	83.86
5.8	43.61	-26.06	88.4	18.11	-18.74	6.9	-101.65	54.83	44.48	75.65
5.9	39.58	-24.18	79.62	15.72	-16.53	6.06	-91.79	49.07	39.51	68.15
6	35.86	-22.34	71.6	13.65	-14.55	5.29	-82.73	43.84	35.14	61.35
6.2	29.23	-18.83	57.63	10.37	-11.2	4	-66.88	35.03	27.73	49.47
6.4	23.66	-15.64	46.17	7.97	-8.61	2.99	-53.77	27.94	21.93	39.75
6.6	19.04	-12.85	36.8	6.15	-6.52	2.16	-43	22.23	17.32	31.79
6.8	15.22	-10.46	29.21	4.78	-4.93	1.52	-34.25	17.68	13.66	25.3
7	12.12	-8.45	23.09	3.74	-3.71	1.05	-27.15	14.05	10.77	20.06
7.2	9.59	-6.77	18.18	2.95	-2.77	0.69	-21.45	11.14	8.47	15.84
7.4	7.56	-5.39	14.26	2.32	-2.05	0.43	-16.89	8.8	6.67	12.48
7.6	5.95	-4.28	11.17	1.85	-2.01	0.74	-13.22	7.22	5.25	9.79
7.8	4.65	-3.36	8.71	1.45	-1.48	0.5	-10.33	5.62	4.18	7.71
8	3.63	-2.62	6.78	1.15	-1.09	0.33	-8.04	4.37	3.29	6.04
8.2	2.82	-2.04	5.25	0.91	-0.8	0.2	-6.24	3.39	2.6	4.72
8.4	2.18	-1.6	4.03	0.74	-0.59	0.13	-4.82	2.74	1.93	3.55
8.6	1.68	-1.25	3.1	0.57	-0.43	0.07	-3.7	2.11	1.5	2.75
8.8	1.29	-0.95	2.37	0.47	-0.3	0.03	-2.83	1.63	1.17	2.12
9	0.98	-0.72	1.8	0.36	-0.21	0.01	-2.16	1.23	0.91	1.63
9.2	0.74	-0.55	1.36	0.28	-0.15	-0.01	-1.62	0.92	0.71	1.25
9.4	0.55	-0.4	1.02	0.22	-0.11	-0.01	-1.23	0.68	0.55	0.95
9.6	0.41	-0.29	0.76	0.18	-0.07	-0.01	-0.9	0.49	0.44	0.72
9.8	0.3	-0.22	0.55	0.12	-0.06	-0.01	-0.65	0.34	0.33	0.55
10	0.21	-0.14	0.39	0.08	-0.03	-0.01	-0.46	0.21	0.26	0.41
10.5	0.07	-0.06	0.13	0.05	-0.02	-0.01	-0.16	0.11	0.05	0.1
11	0	0	0	0	0	0	0	0	0	0
