R	Re<0|V|1>	Re<0|V|2>	Re<0|V|3>	Re<0|V|4>	Re<1|V|2>	Re<1|V|3>	Re<1|V|4>	Re<2|V|3>	Re<2|V|4>	Re<3|V|4>
1.97	0.037087	-0.029823	0.031218	0.001855	-0.087341	-0.080423	-0.176723	0.13819	0.146477	-0.144734
1.98	0.03802	-0.030573	0.032003	0.001901	-0.089539	-0.082447	-0.18117	0.141668	0.150163	-0.148377
1.99	0.038952	-0.031323	0.032788	0.001948	-0.091735	-0.084469	-0.185612	0.145142	0.153845	-0.152015
2	0.039881	-0.03207	0.03357	0.001994	-0.093922	-0.086483	-0.190038	0.148602	0.157513	-0.155639
2.01	0.040804	-0.032812	0.034346	0.00204	-0.096095	-0.088484	-0.194435	0.152041	0.161158	-0.159241
2.02	0.041718	-0.033547	0.035116	0.002086	-0.098249	-0.090467	-0.198793	0.155448	0.164769	-0.162809
2.03	0.042621	-0.034273	0.035876	0.002131	-0.100376	-0.092425	-0.203097	0.158814	0.168337	-0.166334
2.04	0.043511	-0.034989	0.036625	0.002176	-0.102471	-0.094354	-0.207335	0.162128	0.17185	-0.169806
2.05	0.044384	-0.035691	0.03736	0.002219	-0.104526	-0.096247	-0.211495	0.165381	0.175297	-0.173212
2.06	0.045237	-0.036377	0.038078	0.002262	-0.106536	-0.098098	-0.215562	0.168561	0.178668	-0.176543
2.07	0.046068	-0.037045	0.038778	0.002304	-0.108494	-0.0999	-0.219523	0.171658	0.181952	-0.179787
2.08	0.046875	-0.037694	0.039457	0.002344	-0.110393	-0.101649	-0.223364	0.174662	0.185136	-0.182933
2.09	0.047653	-0.038319	0.040112	0.002383	-0.112225	-0.103336	-0.227073	0.177562	0.188209	-0.18597
2.1	0.0484	-0.038921	0.040741	0.00242	-0.113986	-0.104957	-0.230634	0.180347	0.191161	-0.188887
2.15	0.051583	-0.04148	0.04342	0.002579	-0.121482	-0.111859	-0.245801	0.192207	0.203733	-0.201309
2.2	0.053635	-0.04313	0.045147	0.002682	-0.126315	-0.116309	-0.25558	0.199854	0.211838	-0.209318
2.25	0.05438	-0.043729	0.045775	0.002719	-0.128069	-0.117925	-0.25913	0.20263	0.21478	-0.212225
2.3	0.053811	-0.043272	0.045296	0.002691	-0.126729	-0.116691	-0.256418	0.200509	0.212532	-0.210004
2.35	0.052096	-0.041893	0.043852	0.002605	-0.12269	-0.112972	-0.248246	0.194119	0.205759	-0.203312
2.4	0.049538	-0.039836	0.041699	0.002477	-0.116666	-0.107425	-0.236057	0.184587	0.195656	-0.193328
2.45	0.046505	-0.037396	0.039145	0.002325	-0.109521	-0.100846	-0.221601	0.173284	0.183674	-0.181489
2.5	0.043356	-0.034865	0.036495	0.002168	-0.102107	-0.094019	-0.2066	0.161553	0.17124	-0.169203
2.55	0.040396	-0.032484	0.034003	0.00202	-0.095135	-0.0876	-0.192492	0.150522	0.159547	-0.15765
2.6	0.037842	-0.03043	0.031853	0.001892	-0.08912	-0.082061	-0.180322	0.141005	0.14946	-0.147682
2.65	0.035828	-0.02881	0.030158	0.001792	-0.084376	-0.077693	-0.170723	0.133499	0.141504	-0.139821
2.7	0.034414	-0.027674	0.028968	0.001721	-0.081047	-0.074628	-0.163988	0.128232	0.135921	-0.134304
2.75	0.033608	-0.027026	0.02829	0.001681	-0.079149	-0.07288	-0.160147	0.125229	0.132738	-0.131159
2.8	0.03338	-0.026842	0.028098	0.001669	-0.078612	-0.072386	-0.159061	0.12438	0.131838	-0.13027
2.85	0.033679	-0.027083	0.028349	0.001684	-0.079316	-0.073034	-0.160485	0.125493	0.133018	-0.131436
2.9	0.034442	-0.027696	0.028991	0.001722	-0.081113	-0.074688	-0.16412	0.128336	0.136031	-0.134413
3	0.037091	-0.029826	0.031221	0.001855	-0.087352	-0.080433	-0.176744	0.138207	0.146494	-0.144752
3.1	0.040788	-0.032799	0.034333	0.00204	-0.096058	-0.08845	-0.194361	0.151983	0.161096	-0.15918
