T, K	k_01, cm3/s	k_02, cm3/s	k_03, cm3/s	k_04, cm3/s	k_10, cm3/s	k_12, cm3/s	k_13, cm3/s	k_14, cm3/s	k_20, cm3/s	k_21, cm3/s	k_23, cm3/s	k_24, cm3/s	k_30, cm3/s	k_31, cm3/s	k_32, cm3/s	k_34, cm3/s	k_40, cm3/s	k_41, cm3/s	k_42, cm3/s	k_43, cm3/s	
3.000000e+02	1.423081e-15	1.373270e-17	1.122751e-20	4.280714e-24	7.521148e-14	4.994720e-12	1.916979e-17	6.269466e-21	6.680394e-15	1.565385e-11	3.405086e-15	1.779471e-18	4.084127e-16	4.216623e-15	7.052599e-14	1.367677e-13	6.836719e-19	2.344411e-18	2.884248e-17	3.475306e-13
3.500000e+02	4.578138e-15	6.414554e-17	1.132662e-19	6.330526e-23	1.176906e-13	8.461796e-12	8.392729e-17	2.754146e-20	1.088925e-14	2.067360e-11	9.523957e-15	4.229170e-18	7.700837e-16	7.749132e-15	1.205417e-13	2.805454e-13	2.542834e-18	6.243443e-18	5.201960e-17	6.063467e-13
4.000000e+02	1.117472e-14	2.098183e-16	6.752525e-19	6.727630e-22	1.684946e-13	1.277055e-11	2.671621e-16	1.046975e-19	1.627868e-14	2.615794e-11	2.172826e-14	8.771596e-18	1.322825e-15	1.277298e-14	1.916993e-13	4.998335e-13	8.102404e-18	1.557828e-17	1.021589e-16	9.585123e-13
4.500000e+02	2.260100e-14	5.380083e-16	2.822678e-18	5.177595e-21	2.262427e-13	1.782473e-11	6.783261e-16	3.580138e-19	2.285324e-14	3.208795e-11	4.304258e-14	1.744442e-17	2.147115e-15	1.937321e-14	2.885126e-13	8.058507e-13	2.207559e-17	3.433276e-17	2.004858e-16	1.410375e-12
5.000000e+02	3.997773e-14	1.159600e-15	9.219244e-18	2.949740e-20	2.895842e-13	2.354201e-11	1.458751e-15	1.076475e-18	3.061726e-14	3.846339e-11	7.693183e-14	3.449588e-17	3.381536e-15	2.756943e-14	4.155484e-13	1.207163e-12	5.253118e-17	6.721905e-17	3.764006e-16	1.966627e-12
5.500000e+02	6.404974e-14	2.198780e-15	2.527679e-17	1.301934e-19	3.572779e-13	2.986086e-11	2.768455e-15	2.824622e-18	3.958364e-14	4.529737e-11	1.271845e-13	6.750649e-17	5.241806e-15	3.736942e-14	5.771944e-13	1.710478e-12	1.115951e-16	1.193890e-16	6.673518e-16	2.631286e-12
6.000000e+02	9.517629e-14	3.783270e-15	6.103088e-17	4.661444e-19	4.282188e-13	3.674038e-11	4.774134e-15	6.545183e-18	4.977491e-14	5.261157e-11	1.977765e-13	1.283802e-16	8.027151e-15	4.882013e-14	7.774404e-13	2.321393e-12	2.156499e-16	1.964688e-16	1.117733e-15	3.408317e-12
6.500000e+02	1.333783e-13	6.037115e-15	1.339113e-16	1.407179e-18	5.014426e-13	4.415730e-11	7.642880e-15	1.365107e-17	6.122027e-14	6.043197e-11	2.927217e-13	2.340157e-16	1.211423e-14	6.204508e-14	1.019712e-12	3.044920e-12	3.849820e-16	3.049667e-16	1.777021e-15	4.301886e-12
7.000000e+02	1.784089e-13	9.076230e-15	2.724210e-16	3.693421e-18	5.761206e-13	5.210185e-11	1.154266e-14	2.612117e-17	7.395119e-14	6.878536e-11	4.159236e-13	4.065389e-16	1.794192e-14	7.726435e-14	1.306767e-12	3.885761e-12	6.429690e-16	4.529353e-16	2.697492e-15	5.316322e-12
7.500000e+02	2.298272e-13	1.300611e-14	5.204236e-16	8.635178e-18	6.515509e-13	6.057374e-11	1.664795e-14	4.662232e-17	8.799706e-14	7.769662e-11	5.710429e-13	6.730656e-16	2.599107e-14	9.479848e-14	1.640661e-12	4.848355e-12	1.014971e-15	6.506845e-16	3.931838e-15	6.455887e-12
8.000000e+02	2.870645e-13	1.792094e-14	9.414988e-16	1.833072e-17	7.271475e-13	6.957847e-11	2.314801e-14	7.867071e-17	1.033817e-13	8.718686e-11	7.613899e-13	1.065046e-15	3.676265e-14	1.150598e-13	2.022749e-12	5.936772e-12	1.527105e-15	9.113470e-16	5.530949e-15	7.724447e-12
8.500000e+02	3.494784e-13	2.390342e-14	1.622743e-15	3.587261e-17	8.024281e-13	7.912441e-11	3.125495e-14	1.268275e-16	1.201207e-13	9.727221e-11	9.898469e-13	1.617288e-15	5.075680e-14	1.385350e-13	2.453728e-12	7.154512e-12	2.205043e-15	1.251158e-15	7.542002e-15	9.125131e-12
9.000000e+02	4.163962e-13	3.102502e-14	2.677474e-15	6.551374e-17	8.770027e-13	8.922045e-11	4.120996e-14	1.969049e-16	1.382204e-13	1.079631e-10	1.258820e-12	2.366783e-15	6.845411e-14	1.657628e-13	2.933696e-12	8.504294e-12	3.072950e-15	1.689391e-15	1.000695e-14	1.066005e-11
9.500000e+02	4.871454e-13	3.934628e-14	4.246482e-15	1.127707e-16	9.505612e-13	9.987424e-11	5.328642e-14	2.961495e-16	1.576768e-13	1.192643e-10	1.570213e-12	3.351447e-15	9.030001e-14	1.973095e-13	3.462216e-12	9.987853e-12	4.152601e-15	2.247956e-15	1.296140e-14	1.233006e-11
1.000000e+03	5.610765e-13	4.891722e-14	6.497670e-15	1.844513e-16	1.022863e-12	1.110910e-10	6.778948e-14	4.333678e-16	1.784757e-13	1.311744e-10	1.925427e-12	4.608881e-15	1.166924e-13	2.337446e-13	4.038382e-12	1.160580e-11	5.462726e-15	2.950742e-15	1.643393e-14	1.413468e-11
