T, K	k_01, cm3/s	k_02, cm3/s	k_03, cm3/s	k_04, cm3/s	k_10, cm3/s	k_12, cm3/s	k_13, cm3/s	k_14, cm3/s	k_20, cm3/s	k_21, cm3/s	k_23, cm3/s	k_24, cm3/s	k_30, cm3/s	k_31, cm3/s	k_32, cm3/s	k_34, cm3/s	k_40, cm3/s	k_41, cm3/s	k_42, cm3/s	k_43, cm3/s	
3.000000e+02	4.474815e-14	1.745395e-14	3.607447e-19	1.577006e-20	1.604711e-11	1.309177e-11	1.490777e-16	1.426934e-17	9.949512e-11	2.081556e-10	2.413866e-15	8.697040e-17	2.247549e-13	2.589921e-13	2.637547e-13	1.038978e-13	4.572991e-14	1.153865e-13	4.422912e-14	4.836024e-13
3.500000e+02	1.279586e-13	6.207159e-14	2.662112e-18	1.390349e-19	1.980365e-11	1.941174e-11	5.907504e-16	6.091432e-17	1.028614e-10	2.078870e-10	5.786034e-15	2.494652e-16	2.465735e-13	3.535392e-13	3.233359e-13	1.452569e-13	4.811673e-14	1.362136e-13	5.208727e-14	5.427590e-13
4.000000e+02	2.831858e-13	1.622157e-13	1.192528e-17	7.061817e-19	2.333661e-11	2.612260e-11	1.741736e-15	1.811791e-16	1.064239e-10	2.079978e-10	1.157643e-14	5.501491e-16	2.644522e-13	4.686903e-13	3.912347e-13	1.959136e-13	4.962410e-14	1.544974e-13	5.891680e-14	6.208344e-13
4.500000e+02	5.278401e-13	3.450211e-13	3.831032e-17	2.484634e-18	2.664302e-11	3.295569e-11	4.183273e-15	4.233330e-16	1.101040e-10	2.083804e-10	2.045008e-14	1.017532e-15	2.794591e-13	6.045469e-13	4.673945e-13	2.598003e-13	5.052521e-14	1.705491e-13	6.483053e-14	7.242592e-13
5.000000e+02	8.719217e-13	6.349839e-13	9.756373e-17	6.765526e-18	2.973381e-11	3.973944e-11	8.654672e-15	8.354910e-16	1.138487e-10	2.089564e-10	3.298635e-14	1.664304e-15	2.924084e-13	7.606289e-13	5.513450e-13	3.410682e-13	5.101793e-14	1.847533e-13	6.999093e-14	8.581636e-13
5.500000e+02	1.318616e-12	1.051442e-12	2.099524e-16	1.530125e-17	3.262485e-11	4.636896e-11	1.599929e-14	1.458970e-15	1.176207e-10	2.096674e-10	4.964464e-14	2.490730e-15	3.039191e-13	9.360573e-13	6.423496e-13	4.436350e-13	5.124547e-14	1.974908e-13	7.456197e-14	1.026419e-12
6.000000e+02	1.865827e-12	1.607737e-12	3.984007e-16	3.013281e-17	3.533314e-11	5.278307e-11	2.710279e-14	2.325365e-15	1.213923e-10	2.104697e-10	7.074558e-14	3.489315e-15	3.144637e-13	1.129663e-12	7.395029e-13	5.708649e-13	5.131262e-14	2.091059e-13	7.868927e-14	1.231612e-12
6.500000e+02	2.507829e-12	2.311458e-12	6.865963e-16	5.338993e-17	3.787512e-11	5.894843e-11	4.283474e-14	3.456502e-15	1.251424e-10	2.113294e-10	9.646565e-14	4.648745e-15	3.244040e-13	1.340049e-12	8.418021e-13	7.253477e-13	5.129692e-14	2.198943e-13	8.249376e-14	1.475024e-12
7.000000e+02	3.236684e-12	3.165204e-12	1.097514e-15	8.712786e-17	4.026597e-11	6.484928e-11	6.399904e-14	4.865920e-15	1.288543e-10	2.122201e-10	1.268429e-13	5.956527e-15	3.340158e-13	1.565629e-12	9.482015e-13	9.087665e-13	5.125591e-14	2.300992e-13	8.607129e-14	1.756657e-12
7.500000e+02	4.043319e-12	4.167537e-12	1.652470e-15	1.332269e-16	4.251935e-11	7.048068e-11	9.129545e-14	6.560751e-15	1.325149e-10	2.131209e-10	1.617901e-13	7.400429e-15	3.435052e-13	1.804666e-12	1.057655e-12	1.121852e-12	5.123180e-14	2.399129e-13	8.949484e-14	2.075333e-12
