T, K	k_01, cm3/s	k_02, cm3/s	k_03, cm3/s	k_04, cm3/s	k_10, cm3/s	k_12, cm3/s	k_13, cm3/s	k_14, cm3/s	k_20, cm3/s	k_21, cm3/s	k_23, cm3/s	k_24, cm3/s	k_30, cm3/s	k_31, cm3/s	k_32, cm3/s	k_34, cm3/s	k_40, cm3/s	k_41, cm3/s	k_42, cm3/s	k_43, cm3/s	
3.000000e+02	3.341952e-14	1.508048e-14	2.249440e-20	2.572666e-22	1.198456e-11	1.302406e-11	5.513979e-17	6.291519e-19	8.596289e-11	2.070791e-10	8.082315e-16	4.361314e-18	1.398839e-14	9.578702e-14	8.831104e-14	3.409028e-14	7.438322e-16	5.090677e-15	2.212460e-15	1.586777e-13
3.500000e+02	9.832595e-14	5.430418e-14	1.860571e-19	2.072757e-21	1.521752e-11	1.918614e-11	2.323366e-16	2.517501e-18	8.998795e-11	2.054708e-10	2.264254e-15	1.214030e-17	1.721238e-14	1.390379e-13	1.265299e-13	6.914334e-14	7.156540e-16	5.632440e-15	2.530541e-15	2.583579e-13
4.000000e+02	2.228618e-13	1.433907e-13	9.383002e-19	9.994105e-21	1.836546e-11	2.568242e-11	7.214657e-16	7.440916e-18	9.407227e-11	2.044929e-10	5.155073e-15	2.783824e-17	2.079048e-14	1.941372e-13	1.742185e-13	1.248493e-13	7.009583e-16	6.347786e-15	2.977792e-15	3.956378e-13
4.500000e+02	4.238585e-13	3.075850e-13	3.387448e-18	3.464749e-20	2.139450e-11	3.225931e-11	1.813928e-15	1.816173e-17	9.815629e-11	2.039772e-10	1.012678e-14	5.637191e-17	2.469584e-14	2.621363e-13	2.314502e-13	2.060952e-13	7.034628e-16	7.319272e-15	3.588777e-15	5.745427e-13
5.000000e+02	7.122608e-13	5.700302e-13	9.657386e-18	9.690705e-20	2.428914e-11	3.875888e-11	3.912118e-15	3.905178e-17	1.022022e-10	2.038004e-10	1.782248e-14	1.045071e-16	2.893194e-14	3.438189e-13	2.978897e-13	3.171801e-13	7.298442e-16	8.637764e-15	4.392533e-15	7.980587e-13
5.500000e+02	1.093065e-12	9.492204e-13	2.317583e-17	2.361674e-19	2.704431e-11	4.508704e-11	7.515055e-15	7.682485e-17	1.061850e-10	2.038709e-10	2.881827e-14	1.808830e-16	3.353783e-14	4.396742e-13	3.728769e-13	4.616393e-13	7.901650e-16	1.040124e-14	5.412799e-15	1.068075e-12
6.000000e+02	1.566294e-12	1.458033e-12	4.889330e-17	5.273288e-19	2.966089e-11	5.119047e-11	1.319260e-14	1.413211e-16	1.100884e-10	2.041193e-10	4.357786e-14	2.957678e-16	3.858287e-14	5.498739e-13	4.555179e-13	6.421081e-13	8.973000e-16	1.270996e-14	6.668203e-15	1.385315e-12
6.500000e+02	2.128295e-12	2.103832e-12	9.347095e-17	1.109687e-18	3.214311e-11	5.704137e-11	2.155279e-14	2.461120e-16	1.139011e-10	2.044926e-10	6.242745e-14	4.606046e-16	4.415495e-14	6.742585e-13	5.447687e-13	8.602261e-13	1.065590e-15	1.565870e-14	8.172024e-15	1.749304e-12
7.000000e+02	2.772959e-12	2.889145e-12	1.654538e-16	2.226330e-18	3.449700e-11	6.262771e-11	3.320661e-14	4.087033e-16	1.176157e-10	2.049500e-10	8.554835e-14	6.874149e-16	5.034649e-14	8.123419e-13	6.395074e-13	1.116591e-12	1.309187e-15	1.932824e-14	9.931688e-15	2.158385e-12
7.500000e+02	3.492731e-12	3.812548e-12	2.753988e-16	4.267371e-18	3.672940e-11	6.794707e-11	4.873380e-14	6.502133e-16	1.212270e-10	2.054597e-10	1.129828e-13	9.881241e-16	5.724140e-14	9.633346e-13	7.385911e-13	1.410777e-12	1.640529e-15	2.377833e-14	1.194833e-14	2.609821e-12
8.000000e+02	4.279357e-12	4.869565e-12	4.358980e-16	7.807413e-18	3.884737e-11	7.300281e-11	6.865301e-14	9.945423e-16	1.247316e-10	2.059969e-10	1.446488e-13	1.373889e-15	6.490534e-14	1.126185e-12	8.409001e-13	1.741406e-12	2.069222e-15	2.904349e-14	1.421674e-14	3.099954e-12
8.500000e+02	5.124410e-12	6.053473e-12	6.614442e-16	1.362821e-17	4.085781e-11	7.780163e-11	9.339814e-14	1.467166e-15	1.281267e-10	2.065421e-10	1.803592e-13	1.854496e-15	7.337980e-14	1.299634e-12	9.453694e-13	2.106277e-12	2.601426e-15	3.513177e-14	1.672566e-14	3.624416e-12
