T, K	k_01, cm3/s	k_02, cm3/s	k_03, cm3/s	k_04, cm3/s	k_10, cm3/s	k_12, cm3/s	k_13, cm3/s	k_14, cm3/s	k_20, cm3/s	k_21, cm3/s	k_23, cm3/s	k_24, cm3/s	k_30, cm3/s	k_31, cm3/s	k_32, cm3/s	k_34, cm3/s	k_40, cm3/s	k_41, cm3/s	k_42, cm3/s	k_43, cm3/s	
3.000000e+02	4.942246e-16	2.462314e-17	3.114942e-21	8.121324e-24	1.772355e-13	1.786564e-12	2.335182e-17	1.495788e-18	1.404391e-13	2.841462e-11	1.015455e-15	5.980321e-18	1.940618e-15	4.056867e-14	1.109459e-13	9.708795e-14	2.353681e-17	1.209787e-14	3.040842e-15	4.519028e-13
3.500000e+02	1.663807e-15	1.083012e-16	3.568873e-20	1.345629e-22	2.575033e-13	3.217730e-12	1.111550e-16	5.569229e-18	1.795374e-13	3.446674e-11	3.043371e-15	1.942298e-17	3.305500e-15	6.652120e-14	1.700623e-13	2.033388e-13	4.655848e-17	1.245549e-14	4.055082e-15	7.597820e-13
4.000000e+02	4.207720e-15	3.356309e-16	2.338341e-19	1.273233e-21	3.467500e-13	5.093501e-12	3.854683e-16	1.515597e-17	2.202555e-13	4.056208e-11	7.224293e-15	5.096149e-17	5.185321e-15	1.037267e-13	2.441442e-13	3.685220e-13	8.946279e-17	1.292545e-14	5.457327e-15	1.167814e-12
4.500000e+02	8.757079e-15	8.213303e-16	1.051914e-18	8.352249e-21	4.420215e-13	7.383431e-12	1.073613e-15	3.375949e-17	2.621593e-13	4.669064e-11	1.454851e-14	1.148797e-16	7.673155e-15	1.551531e-13	3.325060e-13	6.026434e-13	1.698366e-16	1.360191e-14	7.319200e-15	1.680018e-12
5.000000e+02	1.586123e-14	1.700398e-15	3.644567e-18	4.215800e-20	5.408944e-13	1.005050e-11	2.546256e-15	6.620839e-17	3.049208e-13	5.285132e-11	2.595567e-14	2.310977e-16	1.092295e-14	2.237812e-13	4.338268e-13	9.133726e-13	3.179025e-16	1.464168e-14	9.718498e-15	2.298139e-12
5.500000e+02	2.592577e-14	3.112891e-15	1.047700e-17	1.725044e-19	6.414517e-13	1.305751e-11	5.338244e-15	1.199523e-16	3.482732e-13	5.904601e-11	4.222880e-14	4.259824e-16	1.516590e-14	3.123199e-13	5.463918e-13	1.306253e-12	5.777310e-16	1.623787e-14	1.275205e-14	3.022218e-12
6.000000e+02	3.919343e-14	5.191008e-15	2.622580e-17	5.900023e-19	7.422089e-13	1.636963e-11	1.014759e-14	2.068683e-16	3.919902e-13	6.527622e-11	6.393437e-14	7.332406e-16	2.070017e-14	4.229581e-13	6.683012e-13	1.784869e-12	1.004702e-15	1.860302e-14	1.653564e-14	3.850761e-12
6.500000e+02	5.575352e-14	8.050135e-15	5.896760e-17	1.727734e-18	8.420352e-13	1.995501e-11	1.781064e-14	3.450418e-16	4.358743e-13	7.154131e-11	9.140354e-14	1.194318e-15	2.786080e-14	5.571903e-13	7.976241e-13	2.350911e-12	1.660003e-15	2.195123e-14	2.119364e-14	4.780670e-12
7.000000e+02	7.556618e-14	1.178377e-14	1.215147e-16	4.426334e-18	9.400848e-13	2.378449e-11	2.925730e-14	5.599504e-16	4.797505e-13	7.783762e-11	1.247430e-13	1.857722e-15	3.698127e-14	7.157304e-13	9.325002e-13	3.004196e-12	2.603943e-15	2.647931e-14	2.684397e-14	5.807146e-12
7.500000e+02	9.849169e-14	1.646155e-14	2.326314e-16	1.011535e-17	1.035738e-12	2.783103e-11	4.545423e-14	8.846532e-16	5.234621e-13	8.415835e-11	1.638627e-13	2.777086e-15	4.835758e-14	8.985079e-13	1.071201e-12	3.742704e-12	3.889819e-15	3.235027e-14	3.358393e-14	6.923692e-12
