T, K	k_01, cm3/s	k_02, cm3/s	k_03, cm3/s	k_04, cm3/s	k_10, cm3/s	k_12, cm3/s	k_13, cm3/s	k_14, cm3/s	k_20, cm3/s	k_21, cm3/s	k_23, cm3/s	k_24, cm3/s	k_30, cm3/s	k_31, cm3/s	k_32, cm3/s	k_34, cm3/s	k_40, cm3/s	k_41, cm3/s	k_42, cm3/s	k_43, cm3/s	
3.000000e+02	5.243497e-16	3.731681e-18	2.519813e-21	4.966220e-24	1.880375e-13	2.052940e-12	6.297944e-18	2.927025e-20	2.126272e-14	3.263970e-11	1.485770e-15	1.994617e-17	1.569308e-15	1.094007e-14	1.620638e-13	1.192913e-13	1.413339e-17	1.846175e-16	1.013168e-14	5.552126e-13
3.500000e+02	1.793214e-15	1.925055e-17	2.880243e-20	7.797879e-23	2.775296e-13	3.763741e-12	3.104203e-17	9.550957e-20	3.189510e-14	4.030603e-11	4.547982e-15	4.731806e-17	2.667262e-15	1.857630e-14	2.539259e-13	2.551774e-13	2.676989e-17	1.713488e-16	9.870070e-15	9.534498e-13
4.000000e+02	4.598879e-15	6.801971e-17	1.895417e-19	6.911944e-22	3.789828e-13	6.060421e-12	1.072968e-16	2.466318e-19	4.462219e-14	4.825440e-11	1.113718e-14	9.046373e-17	4.202787e-15	2.887207e-14	3.762047e-13	4.633915e-13	4.839096e-17	1.751856e-16	9.679901e-15	1.468425e-12
4.500000e+02	9.691596e-15	1.857224e-16	8.621726e-19	4.249797e-21	4.891900e-13	8.933657e-12	2.894360e-16	5.710510e-19	5.926707e-14	5.648720e-11	2.336597e-14	1.528370e-16	6.288816e-15	4.182730e-14	5.338826e-13	7.513794e-13	8.626761e-17	2.002498e-16	9.730952e-15	2.094641e-12
5.000000e+02	1.775291e-14	4.221349e-16	3.041834e-18	2.020830e-20	6.054015e-13	1.236688e-11	6.521584e-16	1.257718e-18	7.568657e-14	6.502644e-11	4.380046e-14	2.418743e-16	9.116313e-15	5.731545e-14	7.319626e-13	1.123519e-12	1.522573e-16	2.524100e-16	1.016597e-14	2.826876e-12
5.500000e+02	2.931687e-14	8.383284e-16	8.959153e-18	7.837100e-20	7.253513e-13	1.634481e-11	1.284578e-15	2.661758e-18	9.378215e-14	7.390609e-11	7.536557e-14	3.709594e-16	1.296857e-14	7.515544e-14	9.750359e-13	1.582362e-12	2.623588e-16	3.378333e-16	1.109988e-14	3.661030e-12
6.000000e+02	4.473815e-14	1.503104e-15	2.306578e-17	2.555937e-19	8.472072e-13	2.085699e-11	2.283205e-15	5.357303e-18	1.134945e-13	8.316567e-11	1.212014e-13	5.595314e-16	1.820581e-14	9.516536e-14	1.266816e-12	2.129226e-12	4.351461e-16	4.618926e-16	1.261381e-14	4.593689e-12
6.500000e+02	6.419376e-14	2.489607e-15	5.339548e-17	7.178514e-19	9.695041e-13	2.589824e-11	3.745980e-15	1.015722e-17	1.347906e-13	9.284445e-11	1.844792e-13	8.315696e-16	2.522800e-14	1.171897e-13	1.609758e-12	2.764294e-12	6.896218e-16	6.284645e-16	1.475258e-14	5.621297e-12
7.000000e+02	8.770385e-14	3.872421e-15	1.131304e-16	1.773256e-18	1.091081e-12	3.146722e-11	5.767989e-15	1.809193e-17	1.576487e-13	1.029765e-10	2.682019e-13	1.213179e-15	3.442954e-14	1.411042e-13	2.004838e-12	3.486479e-12	1.043099e-15	8.396006e-16	1.752683e-14	6.739405e-12
7.500000e+02	1.151608e-13	5.725101e-15	2.220489e-16	3.925717e-18	1.211028e-12	3.756419e-11	8.438511e-15	3.035245e-17	1.820451e-13	1.135870e-10	3.750169e-13	1.730015e-15	4.615770e-14	1.668068e-13	2.451491e-12	4.293277e-12	1.509547e-15	1.095500e-15	2.091828e-14	7.942208e-12
8.000000e+02	1.463600e-13	8.117983e-15	4.074992e-16	7.916831e-18	1.328636e-12	4.418852e-11	1.183881e-14	4.821093e-17	2.079436e-13	1.246895e-10	5.070650e-13	2.405065e-15	6.068208e-14	1.942046e-13	2.947706e-12	5.180699e-12	2.098587e-15	1.394691e-15	2.488628e-14	9.222396e-12
8.500000e+02	1.810274e-13	1.111621e-14	7.046394e-16	1.474590e-17	1.443364e-12	5.133659e-11	1.604025e-14	7.293417e-17	2.352893e-13	1.362844e-10	6.658800e-13	3.257044e-15	7.817738e-14	2.232004e-13	3.490216e-12	6.143338e-12	2.815134e-15	1.734331e-15	2.937444e-14	1.057127e-11
