R	E0	E1
1.97	97168.94	99676.3
1.98	97058.38	99519.57
1.99	96951.95	99368.65
2	96849.55	99223.29
2.01	96750.98	99083.33
2.02	96656.1	98948.53
2.03	96564.78	98818.71
2.04	96476.84	98693.69
2.05	96392.2	98573.29
2.06	96310.67	98457.31
2.07	96232.19	98345.62
2.08	96156.61	98238.04
2.09	96083.83	98134.44
2.1	96013.74	98034.61
2.15	95699.85	97587.7
2.2	95438.61	97216.22
2.25	95220.18	96906.64
2.3	95036.51	96647.7
2.35	94880.8	96430.05
2.4	94747.93	96246.19
2.45	94633.33	96089.76
2.5	94533.42	95955.56
2.55	94445.24	95839.47
2.6	94366.54	95738.02
2.65	94295.39	95648.47
2.7	94230.34	95568.58
2.75	94170.19	95496.56
2.8	94114.07	95430.99
2.85	94061.27	95370.73
2.9	94011.18	95314.75
3	93917.86	95213.69
3.1	93832.02	95123.76
3.2	93752.65	95042.83
3.3	93678.98	94969.22
3.4	93611.02	94902.3
3.5	93548.58	94841.54
3.6	93491.77	94786.67
3.7	93440.06	94737.1
3.8	93393.62	94692.86
3.9	93352	94653.4
4	93314.91	94618.48
4.1	93282.19	94587.68
4.2	93253.4	94560.65
4.3	93228.33	94537.12
4.4	93206.38	94516.62
4.5	93187.39	94498.86
4.6	93170.93	94483.55
4.7	93156.84	94470.41
4.8	93144.76	94459.19
4.9	93134.49	94449.63
5	93125.76	94441.54
5.1	93118.37	94434.67
5.2	93112.14	94428.88
5.3	93106.91	94424.02
5.4	93102.5	94419.97
5.5	93098.85	94416.59
5.6	93095.83	94413.8
5.7	93093.33	94411.49
5.8	93091.28	94409.61
5.9	93089.59	94408.06
6	93088.23	94406.83
6.2	93086.24	94405.02
6.4	93085.19	94404.37
6.6	93084.46	94403.71
6.8	93084.03	94403.33
7	93083.8	94403.15
7.2	93083.72	94403.11
7.4	93083.73	94403.13
7.6	93083.8	94403.2
7.8	93083.88	94403.29
8	93083.99	94403.41
8.2	93084.09	94403.51
8.4	93084.17	94403.62
8.6	93084.26	94403.71
8.8	93084.34	94403.79
9	93084.41	94403.86
9.2	93084.48	94403.92
9.4	93084.53	94403.98
9.6	93084.59	94404.04
9.8	93084.64	94404.09
10	93084.68	94404.13
10.5	93084.76	94404.23
11	93084.86	94404.34
