R	Re<0|V|1>
1.97	-1731.31
1.98	-1663.87
1.99	-1598.84
2	-1536.14
2.01	-1475.7
2.02	-1417.43
2.03	-1361.27
2.04	-1307.13
2.05	-1254.97
2.06	-1204.7
2.07	-1156.26
2.08	-1109.57
2.09	-1064.6
2.1	-1021.28
2.15	-827.4
2.2	-666.86
2.25	-534.17
2.3	-424.69
2.35	-334.7
2.4	-260.59
2.45	-199.83
2.5	-150.13
2.55	-109.58
2.6	-76.62
2.65	-49.93
2.7	-28.43
2.75	-11.2
2.8	2.51
2.85	13.31
2.9	21.82
3	33.11
3.1	39.07
3.2	41.4
3.3	41.44
3.4	39.98
3.5	37.66
3.6	34.9
3.7	31.91
3.8	28.82
3.9	25.75
4	22.64
4.1	19.9
4.2	17.4
4.3	15.22
4.4	13.18
4.5	11.37
4.6	9.76
4.7	8.38
4.8	7.19
4.9	6.15
5	5.27
5.1	4.52
5.2	3.88
5.3	3.34
5.4	2.88
5.5	2.49
5.6	2.16
5.7	1.87
5.8	1.63
5.9	1.41
6	1.23
6.2	0.96
6.4	0.45
6.6	0.35
6.8	0.26
7	0.2
7.2	0.15
7.4	0.13
7.6	0.12
7.8	0.11
8	0.1
8.2	0.1
8.4	0.05
8.6	0.05
8.8	0.06
9	0.06
9.2	0.06
9.4	0.06
9.6	0.05
9.8	0.05
10	0.04
10.5	0.02
11	0
