T, K	k_01, cm3/s	k_10, cm3/s	
3.000000e+02	3.346140e-18	6.513221e-17
3.500000e+02	8.187362e-18	1.126764e-16
4.000000e+02	1.738551e-17	2.227055e-16
4.500000e+02	3.559387e-17	4.536095e-16
5.000000e+02	7.313634e-17	8.875697e-16
5.500000e+02	1.491867e-16	1.628044e-15
6.000000e+02	2.944918e-16	2.795145e-15
6.500000e+02	5.531392e-16	4.520896e-15
7.000000e+02	9.832811e-16	6.945713e-15
7.500000e+02	1.657026e-15	1.021642e-14
8.000000e+02	2.659794e-15	1.448525e-14
8.500000e+02	4.089353e-15	1.990907e-14
9.000000e+02	6.054608e-15	2.664804e-14
9.500000e+02	8.674118e-15	3.486332e-14
1.000000e+03	1.207427e-14	4.471389e-14
1.050000e+03	1.638709e-14	5.635266e-14
