T, K	k_01, cm3/s	k_10, cm3/s	
3.000000e+02	1.543759e-18	8.632730e-16
3.500000e+02	6.180159e-18	1.399776e-15
4.000000e+02	1.829561e-17	2.103892e-15
4.500000e+02	4.411252e-17	2.994156e-15
5.000000e+02	9.210680e-17	4.100463e-15
5.500000e+02	1.734024e-16	5.466745e-15
6.000000e+02	3.023866e-16	7.150673e-15
6.500000e+02	4.973004e-16	9.219926e-15
7.000000e+02	7.804720e-16	1.174591e-14
7.500000e+02	1.177972e-15	1.479661e-14
8.000000e+02	1.718657e-15	1.843009e-14
8.500000e+02	2.432758e-15	2.268971e-14
9.000000e+02	3.350236e-15	2.760143e-14
9.500000e+02	4.499162e-15	3.317302e-14
1.000000e+03	5.904305e-15	3.939485e-14
1.050000e+03	7.586044e-15	4.624183e-14
