T, K	k_01, cm3/s	k_10, cm3/s	
3.000000e+02	7.623319e-19	4.262975e-16
3.500000e+02	2.081786e-18	4.715145e-16
4.000000e+02	4.713052e-18	5.419744e-16
4.500000e+02	9.688073e-18	6.575819e-16
5.000000e+02	1.902275e-17	8.468656e-16
5.500000e+02	3.642997e-17	1.148504e-15
6.000000e+02	6.812765e-17	1.611045e-15
6.500000e+02	1.235313e-16	2.290264e-15
7.000000e+02	2.155997e-16	3.244722e-15
7.500000e+02	3.606894e-16	4.530654e-15
8.000000e+02	5.779152e-16	6.197298e-15
8.500000e+02	8.881323e-16	8.283384e-15
9.000000e+02	1.312723e-15	1.081507e-14
9.500000e+02	1.872370e-15	1.380527e-14
1.000000e+03	2.585958e-15	1.725409e-14
1.050000e+03	3.469708e-15	2.115011e-14
