T, K	k_01, cm3/s	k_10, cm3/s	
3.000000e+02	9.557372e-18	4.827441e-16
3.500000e+02	2.782145e-17	6.674643e-16
4.000000e+02	6.314162e-17	8.905707e-16
4.500000e+02	1.224356e-16	1.207786e-15
5.000000e+02	2.158296e-16	1.700461e-15
5.500000e+02	3.600602e-16	2.467673e-15
6.000000e+02	5.812581e-16	3.615816e-15
6.500000e+02	9.160177e-16	5.247565e-15
7.000000e+02	1.410439e-15	7.452199e-15
7.500000e+02	2.117474e-15	1.029865e-14
8.000000e+02	3.093264e-15	1.383174e-14
8.500000e+02	4.393199e-15	1.807133e-14
9.000000e+02	6.068315e-15	2.301380e-14
9.500000e+02	8.162407e-15	2.863496e-14
1.000000e+03	1.071004e-14	3.489383e-14
1.050000e+03	1.373544e-14	4.173663e-14
