T, K	k_01, cm3/s	k_10, cm3/s	
3.000000e+02	3.633957e-18	7.546898e-17
3.500000e+02	8.969971e-18	1.236668e-16
4.000000e+02	1.898134e-17	2.337081e-16
4.500000e+02	3.827650e-17	4.632270e-16
5.000000e+02	7.698232e-17	8.919381e-16
5.500000e+02	1.536847e-16	1.616462e-15
6.000000e+02	2.975084e-16	2.741298e-15
6.500000e+02	5.485978e-16	4.368320e-15
7.000000e+02	9.567814e-16	6.587150e-15
7.500000e+02	1.578717e-15	9.467978e-15
8.000000e+02	2.474127e-15	1.305745e-14
8.500000e+02	3.701814e-15	1.737745e-14
9.000000e+02	5.316009e-15	2.242626e-14
9.500000e+02	7.363449e-15	2.818122e-14
1.000000e+03	9.881338e-15	3.460241e-14
1.050000e+03	1.289621e-14	4.163648e-14
