E, cm-1	Sigma_00, cm2	Sigma_01, cm2	Sigma_10, cm2	Sigma_11, cm2	
9.308950e+04	3.235097e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309413e+04	3.553068e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309877e+04	3.505441e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.310341e+04	3.319676e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.310804e+04	3.456226e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.311268e+04	3.244824e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.311732e+04	3.243999e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.312196e+04	3.131600e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.312659e+04	3.173346e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.313123e+04	3.204813e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.313587e+04	3.028756e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.314050e+04	3.093259e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.314514e+04	3.145547e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.314978e+04	3.015458e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.315441e+04	3.076864e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.315905e+04	3.051325e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.316369e+04	3.031895e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.316833e+04	3.015643e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.317296e+04	3.000907e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.317760e+04	2.988503e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.318224e+04	2.979754e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.318687e+04	2.974421e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.319151e+04	2.970873e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.319615e+04	2.967740e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.320079e+04	2.965015e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.320542e+04	2.902827e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.321006e+04	2.905343e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.321470e+04	2.909082e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.321933e+04	2.913098e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.322397e+04	2.916805e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.322861e+04	2.867867e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.323324e+04	2.873660e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.323788e+04	2.880205e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.324252e+04	2.887307e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.324715e+04	2.894403e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.325179e+04	2.854482e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.325643e+04	2.862310e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.326107e+04	2.869993e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.326570e+04	2.877921e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.327034e+04	2.886162e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.327498e+04	2.852798e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.327961e+04	2.818419e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.328425e+04	2.829038e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.328889e+04	2.839026e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.329352e+04	2.848713e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.329816e+04	2.858372e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.330280e+04	2.829217e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.330744e+04	2.799105e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.331207e+04	2.811528e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.331671e+04	2.823150e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.332135e+04	2.834041e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.332598e+04	2.806486e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.333526e+04	2.791845e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.333990e+04	2.804885e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.334453e+04	2.779093e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.335381e+04	2.804919e-14	0.000000e+00	0.000000e+00	0.000000e+00
