E, cm-1	Sigma_00, cm2	Sigma_01, cm2	Sigma_10, cm2	Sigma_11, cm2	
9.308950e+04	3.235097e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.308961e+04	3.127997e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.308972e+04	3.024694e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.308983e+04	2.925324e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.308994e+04	3.852102e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309006e+04	3.742881e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309018e+04	3.634776e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309031e+04	3.528339e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309043e+04	3.424023e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309056e+04	3.322192e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309070e+04	3.223125e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309083e+04	3.127018e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309097e+04	3.878693e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309112e+04	3.781407e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309126e+04	3.684350e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309141e+04	3.588095e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309156e+04	3.493114e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309172e+04	3.399782e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309188e+04	3.999792e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309204e+04	3.914001e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309221e+04	3.826922e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309238e+04	3.739231e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309256e+04	3.651525e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309273e+04	3.564304e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309292e+04	4.037605e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309311e+04	3.961580e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309330e+04	3.883346e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309349e+04	3.803603e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309370e+04	3.722998e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309390e+04	3.642095e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309411e+04	3.561359e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309433e+04	3.481140e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309455e+04	3.401676e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309477e+04	3.323092e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309500e+04	3.245415e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309524e+04	3.168583e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309548e+04	3.578687e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309573e+04	3.503082e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309598e+04	3.427961e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309624e+04	3.353447e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309651e+04	3.279551e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309678e+04	3.619389e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309706e+04	3.547926e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309734e+04	3.476769e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309763e+04	3.406122e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309793e+04	3.336053e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309823e+04	3.620072e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309854e+04	3.553010e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309886e+04	3.486283e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309919e+04	3.420127e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309952e+04	3.658026e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309987e+04	3.595600e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.310021e+04	3.533277e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.310057e+04	3.471422e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.310094e+04	3.410234e-14	0.000000e+00	0.000000e+00	0.000000e+00
