E, cm-1	Sigma_00, cm2	Sigma_01, cm2	Sigma_10, cm2	Sigma_11, cm2	
9.3085323700e+04	1.4863286148e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085329069e+04	1.4466459049e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085334501e+04	6.6657053869e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085339995e+04	6.5459371873e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085345554e+04	6.4274615096e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085351176e+04	6.3102803030e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085356864e+04	6.1943950538e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085362617e+04	6.0798068575e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085368437e+04	5.9665164826e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085374324e+04	5.8545244307e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085380280e+04	5.7438309901e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085386305e+04	5.6344362839e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085392399e+04	5.5263403147e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085398564e+04	5.4195430036e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085404800e+04	5.3140442260e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085411108e+04	5.2098438425e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085417490e+04	5.1069417277e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085423945e+04	5.0053377937e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085430476e+04	4.9050320122e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085437081e+04	4.8060244322e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085443764e+04	4.7083151960e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085450523e+04	4.6119045517e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085457361e+04	4.5167928637e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085464278e+04	4.4229806212e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085471276e+04	4.3304684440e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085478354e+04	4.2392570858e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085485514e+04	4.1493474370e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085492757e+04	4.0607405247e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085500084e+04	3.9734375107e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
