E, cm-1	Sigma_00, cm2	Sigma_01, cm2	Sigma_10, cm2	Sigma_11, cm2	
9.308950e+04	2.245187e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309413e+04	2.244325e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309877e+04	2.210237e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.310341e+04	2.170197e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.310804e+04	2.160619e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.311268e+04	2.135034e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.311732e+04	2.123069e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.312196e+04	2.105809e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.312659e+04	2.098342e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.313123e+04	2.090847e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.313587e+04	2.076271e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.314050e+04	2.070921e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.314514e+04	2.065044e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.314978e+04	2.055223e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.315441e+04	2.050934e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.315905e+04	2.044450e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.316369e+04	2.038453e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.316833e+04	2.032880e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.317296e+04	2.027750e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.317760e+04	2.022903e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.318224e+04	2.018268e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.318687e+04	2.013841e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.319151e+04	2.009685e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.319615e+04	2.005775e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.320079e+04	2.002081e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.320542e+04	1.997525e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.321006e+04	1.994098e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.321470e+04	1.990806e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.321933e+04	1.987565e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.322397e+04	1.984439e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.322861e+04	1.980739e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.323324e+04	1.977801e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.323788e+04	1.974874e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.324252e+04	1.972060e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.324715e+04	1.969285e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.325179e+04	1.965977e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.325643e+04	1.963426e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.326107e+04	1.960830e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.326570e+04	1.958250e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.327034e+04	1.955738e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.327498e+04	1.952841e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.327961e+04	1.950020e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.328425e+04	1.947622e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.328889e+04	1.945252e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.329352e+04	1.942959e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.329816e+04	1.940641e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.330280e+04	1.938034e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.330744e+04	1.935482e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.331207e+04	1.933321e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.331671e+04	1.931289e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.332135e+04	1.929186e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.332598e+04	1.926907e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.333526e+04	1.922671e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.333990e+04	1.920729e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.334453e+04	1.918583e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.335381e+04	1.914890e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.335844e+04	1.912903e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.336308e+04	1.911109e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.337235e+04	1.907437e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.337699e+04	1.905571e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.338626e+04	1.902218e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.339090e+04	1.900408e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.340018e+04	1.897030e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.340481e+04	1.895304e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.341409e+04	1.892176e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.341872e+04	1.890470e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.342800e+04	1.887486e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.343727e+04	1.884190e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.344655e+04	1.881122e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.345118e+04	1.879739e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.346046e+04	1.876792e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.346973e+04	1.873922e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.347901e+04	1.870948e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.348828e+04	1.868356e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.349755e+04	1.865662e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.350683e+04	1.863026e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.351610e+04	1.860299e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.352538e+04	1.857758e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.353929e+04	1.854150e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.354856e+04	1.851707e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.355783e+04	1.849156e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.357174e+04	1.845742e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.358102e+04	1.843413e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.359493e+04	1.839995e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.360420e+04	1.837640e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.361812e+04	1.834474e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362739e+04	1.832325e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364130e+04	1.829173e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.365521e+04	1.826083e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.366912e+04	1.823023e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.368303e+04	1.820112e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.369694e+04	1.817114e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.371085e+04	1.814377e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.372477e+04	1.811580e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.373868e+04	1.808833e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.375723e+04	1.805138e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.377114e+04	1.802588e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.378505e+04	1.800012e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.380360e+04	1.796627e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.381751e+04	1.794131e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.383605e+04	1.790909e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.385460e+04	1.787713e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.387315e+04	1.784500e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.389170e+04	1.781517e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.391025e+04	1.778520e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.392879e+04	1.775501e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.394734e+04	1.772677e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.397053e+04	1.769077e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.398907e+04	1.766398e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.401226e+04	1.762940e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.403081e+04	1.760262e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.405399e+04	1.757058e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.407718e+04	1.753796e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.410036e+04	1.750690e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.412355e+04	1.747666e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.414673e+04	1.744657e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.416992e+04	1.741628e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.419774e+04	1.738149e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.422093e+04	1.735342e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.424875e+04	1.731982e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.427657e+04	1.728808e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.430439e+04	1.725562e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.433221e+04	1.722399e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.436004e+04	1.719403e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.439249e+04	1.715788e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.440640e+04	1.714376e-14	1.313289e-20	2.052099e-23	3.308276e-14
9.442032e+04	1.712881e-14	9.698845e-22	1.160268e-23	2.222149e-14
9.443423e+04	1.711402e-14	5.682501e-21	1.258612e-22	2.118276e-14
9.445277e+04	1.709492e-14	6.514191e-21	2.306538e-22	2.055300e-14
9.446669e+04	1.708050e-14	4.796308e-21	2.164025e-22	2.025657e-14
9.448523e+04	1.706232e-14	2.452584e-21	1.416760e-22	1.997214e-14
9.449915e+04	1.704880e-14	1.824338e-21	1.222924e-22	1.980904e-14
9.451769e+04	1.703034e-14	2.829431e-21	2.238394e-22	1.963524e-14
9.453160e+04	1.701682e-14	4.241220e-21	3.730823e-22	1.952652e-14
9.455015e+04	1.699884e-14	5.664376e-21	5.636651e-22	1.939931e-14
9.456406e+04	1.698470e-14	5.424358e-21	5.857172e-22	1.930961e-14
9.458725e+04	1.696348e-14	2.970731e-21	3.616712e-22	1.916824e-14
9.460116e+04	1.695021e-14	2.055626e-21	2.668249e-22	1.908808e-14
9.461971e+04	1.693296e-14	2.545076e-21	3.571206e-22	1.898624e-14
9.463362e+04	1.691969e-14	3.349884e-21	4.959165e-22	1.891565e-14
9.465680e+04	1.689899e-14	3.459167e-21	5.555620e-22	1.880946e-14
9.467071e+04	1.688587e-14	3.103295e-21	5.212567e-22	1.875095e-14
9.469390e+04	1.686567e-14	2.493444e-21	4.487145e-22	1.866068e-14
9.470781e+04	1.685280e-14	2.599092e-21	4.859956e-22	1.860805e-14
9.473099e+04	1.683260e-14	2.705285e-21	5.368301e-22	1.852270e-14
9.474491e+04	1.682044e-14	2.893053e-21	5.935230e-22	1.847305e-14
9.476809e+04	1.680087e-14	2.663666e-21	5.756257e-22	1.839554e-14
9.478664e+04	1.678483e-14	2.564581e-21	5.761245e-22	1.833623e-14
9.480982e+04	1.676560e-14	2.529330e-21	5.945648e-22	1.826735e-14
9.482374e+04	1.675380e-14	2.851141e-21	6.876597e-22	1.822797e-14
9.484692e+04	1.673496e-14	2.960040e-21	7.434790e-22	1.816394e-14
9.486547e+04	1.671986e-14	3.351260e-21	8.678833e-22	1.811428e-14
9.488865e+04	1.670127e-14	3.696502e-21	9.924998e-22	1.805418e-14
9.490720e+04	1.668645e-14	1.942299e-20	5.359624e-21	1.800794e-14
9.493039e+04	1.666836e-14	3.632668e-21	1.035450e-21	1.795265e-14
9.494893e+04	1.665382e-14	3.387428e-21	9.896458e-22	1.791017e-14
9.497212e+04	1.663603e-14	4.731390e-21	1.423431e-21	1.785900e-14
9.499067e+04	1.662174e-14	3.083391e-21	9.486141e-22	1.781900e-14
9.501849e+04	1.659988e-14	3.057726e-21	9.711788e-22	1.776088e-14
9.503704e+04	1.658666e-14	3.024314e-21	9.801748e-22	1.772204e-14
9.506486e+04	1.656531e-14	3.007283e-21	1.003216e-21	1.766789e-14
9.508341e+04	1.655152e-14	3.003522e-21	1.020538e-21	1.763276e-14
9.511123e+04	1.653192e-14	2.939153e-21	1.025309e-21	1.758168e-14
9.512978e+04	1.651797e-14	2.927722e-21	1.038613e-21	1.754926e-14
9.515760e+04	1.649872e-14	1.526498e-18	5.547483e-19	1.750102e-14
9.517615e+04	1.648551e-14	2.868259e-21	1.058555e-21	1.746953e-14
9.520397e+04	1.646560e-14	3.759270e-21	1.418531e-21	1.742391e-14
9.522252e+04	1.645293e-14	2.732891e-21	1.046000e-21	1.739331e-14
9.525498e+04	1.643012e-14	2.621216e-21	1.027457e-21	1.734295e-14
9.527352e+04	1.641727e-14	2.628192e-21	1.043734e-21	1.731470e-14
9.530598e+04	1.639586e-14	2.604125e-21	1.057119e-21	1.726738e-14
9.532453e+04	1.638336e-14	2.604889e-21	1.070245e-21	1.724072e-14
9.535699e+04	1.636251e-14	2.720747e-21	1.140745e-21	1.719388e-14
9.537554e+04	1.635014e-14	2.775772e-21	1.176867e-21	1.716833e-14
9.540800e+04	1.632925e-14	2.907996e-21	1.256331e-21	1.712543e-14
9.543118e+04	1.631426e-14	3.292711e-21	1.441019e-21	1.709533e-14
9.546364e+04	1.629369e-14	9.358821e-21	4.167600e-21	1.705369e-14
9.548683e+04	1.627922e-14	3.254164e-21	1.466543e-21	1.702465e-14
9.551929e+04	1.625918e-14	3.310144e-21	1.516016e-21	1.698419e-14
9.554247e+04	1.624488e-14	3.348050e-21	1.550497e-21	1.695688e-14
9.557493e+04	1.622511e-14	3.347640e-21	1.573736e-21	1.691866e-14
9.559811e+04	1.621083e-14	3.352054e-21	1.592197e-21	1.689267e-14
9.563521e+04	1.618895e-14	3.303648e-21	1.594432e-21	1.685076e-14
9.565840e+04	1.617531e-14	3.320326e-21	1.617958e-21	1.682508e-14
9.569085e+04	1.615619e-14	3.340291e-21	1.649018e-21	1.679111e-14
9.571868e+04	1.614034e-14	3.484225e-21	1.738710e-21	1.676211e-14
9.575113e+04	1.612189e-14	3.767837e-21	1.903219e-21	1.672863e-14
9.577896e+04	1.610551e-14	4.186286e-21	2.135981e-21	1.670031e-14
9.581605e+04	1.608533e-14	5.033381e-21	2.601680e-21	1.666371e-14
9.584388e+04	1.607013e-14	5.886542e-21	3.071344e-21	1.663711e-14
9.588097e+04	1.604906e-14	1.533321e-20	8.097496e-21	1.660172e-14
9.590416e+04	1.603774e-14	8.368917e-21	4.452117e-21	1.657945e-14
9.594589e+04	1.601503e-14	1.055886e-20	5.689212e-21	1.654154e-14
9.597371e+04	1.599895e-14	1.225101e-20	6.655375e-21	1.651580e-14
9.601081e+04	1.597987e-14	1.468461e-20	8.062466e-21	1.648330e-14
9.603863e+04	1.596568e-14	1.702165e-20	9.417897e-21	1.646021e-14
9.608036e+04	1.594361e-14	2.025673e-20	1.133390e-20	1.642457e-14
9.610818e+04	1.593013e-14	2.288115e-20	1.289505e-20	1.640156e-14
9.614992e+04	1.590951e-14	2.746157e-20	1.563960e-20	1.636728e-14
9.617774e+04	1.589561e-14	3.088547e-20	1.770915e-20	1.634506e-14
9.621947e+04	1.587394e-14	3.685490e-20	2.134124e-20	1.631162e-14
9.625193e+04	1.585868e-14	4.223803e-20	2.464063e-20	1.628704e-14
9.629366e+04	1.583755e-14	5.026251e-20	2.959426e-20	1.625511e-14
9.632149e+04	1.582430e-14	5.638288e-20	3.339719e-20	1.623418e-14
9.636786e+04	1.580289e-14	6.820623e-20	4.079323e-20	1.619929e-14
9.640032e+04	1.578690e-14	7.802757e-20	4.697427e-20	1.617556e-14
9.644205e+04	1.576816e-14	9.216438e-20	5.594090e-20	1.614673e-14
9.647451e+04	1.575347e-14	1.048045e-19	6.400751e-20	1.612286e-14
9.652088e+04	1.573171e-14	1.259353e-19	7.757436e-20	1.609062e-14
9.655334e+04	1.571716e-14	1.421594e-19	8.807904e-20	1.606914e-14
9.660434e+04	1.569400e-14	1.720802e-19	1.075660e-19	1.603525e-14
9.663680e+04	1.567985e-14	1.932568e-19	1.214655e-19	1.601415e-14
9.668317e+04	1.566021e-14	2.275374e-19	1.441008e-19	1.598378e-14
9.672027e+04	1.564332e-14	2.580179e-19	1.643697e-19	1.595959e-14
9.676664e+04	1.562284e-14	3.001713e-19	1.925955e-19	1.593061e-14
9.680373e+04	1.560752e-14	3.388664e-19	2.186345e-19	1.590865e-14
9.685474e+04	1.558568e-14	3.941248e-19	2.561789e-19	1.587774e-14
9.689184e+04	1.557054e-14	4.387822e-19	2.867024e-19	1.585468e-14
9.694284e+04	1.555019e-14	5.063642e-19	3.331811e-19	1.582590e-14
9.697994e+04	1.553405e-14	5.597672e-19	3.701430e-19	1.580391e-14
9.703095e+04	1.551435e-14	6.409860e-19	4.266551e-19	1.577429e-14
9.706804e+04	1.549953e-14	7.005482e-19	4.684827e-19	1.575406e-14
9.712369e+04	1.547690e-14	8.014141e-19	5.395931e-19	1.572255e-14
9.716078e+04	1.546259e-14	8.738506e-19	5.909629e-19	1.570356e-14
9.725816e+04	1.542418e-14	1.085048e-18	7.419860e-19	1.565134e-14
9.735554e+04	1.538676e-14	1.331383e-18	9.200355e-19	1.560041e-14
9.745291e+04	1.535084e-14	1.615122e-18	1.127234e-18	1.555191e-14
9.755493e+04	1.531417e-14	1.960322e-18	1.381672e-18	1.550130e-14
9.766158e+04	1.527502e-14	2.375370e-18	1.690545e-18	1.545056e-14
9.776823e+04	1.523805e-14	2.849457e-18	2.046659e-18	1.540062e-14
9.787488e+04	1.520031e-14	3.386474e-18	2.453621e-18	1.535280e-14
9.798617e+04	1.516379e-14	4.007405e-18	2.928573e-18	1.530307e-14
9.810209e+04	1.512459e-14	4.720382e-18	3.478971e-18	1.525454e-14
9.821802e+04	1.508790e-14	5.476995e-18	4.069132e-18	1.520581e-14
9.833858e+04	1.504908e-14	6.281292e-18	4.703736e-18	1.515666e-14
9.845914e+04	1.501122e-14	7.069898e-18	5.334115e-18	1.510836e-14
9.858434e+04	1.497330e-14	7.827641e-18	5.949570e-18	1.506013e-14
9.871418e+04	1.493429e-14	8.465382e-18	6.481145e-18	1.501253e-14
9.884401e+04	1.489620e-14	8.920829e-18	6.876978e-18	1.496505e-14
9.897849e+04	1.485733e-14	9.181240e-18	7.125721e-18	1.491831e-14
9.911760e+04	1.481878e-14	9.177404e-18	7.170123e-18	1.487047e-14
9.925671e+04	1.478225e-14	9.013156e-18	7.086232e-18	1.482521e-14
9.940045e+04	1.474418e-14	8.792356e-18	6.955421e-18	1.477839e-14
9.954884e+04	1.470532e-14	8.656875e-18	6.889763e-18	1.473176e-14
