E, cm-1	Sigma_00, cm2	Sigma_01, cm2	Sigma_10, cm2	Sigma_11, cm2	
9.308950e+04	4.021239e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.308961e+04	3.929704e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.308972e+04	3.840253e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.308983e+04	3.752838e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.308994e+04	4.641570e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309006e+04	4.535915e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309018e+04	4.432665e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309031e+04	4.331765e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309043e+04	4.233162e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309056e+04	4.136803e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309070e+04	4.042638e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309083e+04	3.950617e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309097e+04	4.766283e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309112e+04	4.657790e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309126e+04	4.551765e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309141e+04	4.448155e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309156e+04	4.346902e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309172e+04	4.247955e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309188e+04	5.023024e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309204e+04	4.908686e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309221e+04	4.796951e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309238e+04	4.687759e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309256e+04	4.581052e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309273e+04	4.476775e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309292e+04	5.206458e-14	0.000000e+00	0.000000e+00	0.000000e+00
