R E0 E1 E2 E3 E4 E5 E6 E7
1.97 5507.61 99267.30 98690.98 107895.54 109993.91 111818.05 110331.09 112248.97
1.98 5295.67 99094.76 98596.06 107780.76 109817.00 111629.84 110179.35 112057.42
1.99 5091.46 98928.60 98504.73 107670.65 109647.21 111449.25 110033.98 111873.87
2.00 4894.69 98768.58 98416.87 107565.02 109484.27 111276.00 109894.76 111698.09
2.01 4705.12 98614.47 98332.33 107463.69 109327.94 111109.79 109761.43 111529.78
2.02 4522.49 98466.07 98250.97 107366.54 109178.00 110950.36 109633.81 111368.70
2.03 4346.57 98323.11 98172.69 107273.32 109034.16 110797.49 109511.61 111214.64
2.04 4177.11 98185.45 98097.34 107183.92 108896.24 110650.92 109394.67 111067.34
2.05 4013.86 98052.88 98024.79 107098.23 108763.96 110510.43 109282.78 110926.63
2.06 3856.66 97925.18 97955.00 107016.04 108637.19 110375.81 109175.74 110792.26
2.07 3705.27 97802.21 97887.79 106937.27 108515.67 110246.80 109073.38 110664.06
2.08 3559.47 97683.74 97823.11 106861.75 108399.22 110123.24 108975.48 110541.83
2.09 3419.09 97569.65 97760.81 106789.37 108287.62 110004.91 108881.88 110425.48
2.10 3283.92 97459.79 97700.86 106720.12 108180.82 109891.64 108792.49 110314.76
2.15 2680.00 96967.89 97432.49 106413.92 107710.03 109394.68 108400.87 109839.61
2.20 2181.18 96559.38 97209.37 106169.96 107334.23 108999.06 108091.66 109483.27
2.25 1769.87 96219.38 97023.05 105974.66 107034.05 108687.48 107847.11 109229.80
2.30 1431.35 95935.65 96866.70 105820.40 106796.34 108445.05 107655.21 109062.59
2.35 1153.25 95697.88 96734.21 105699.91 106609.35 108258.52 107505.56 108962.78
2.40 925.25 95497.64 96621.07 105607.03 106463.35 108116.26 107389.79 108911.76
2.45 738.71 95327.96 96523.24 105536.99 106350.34 108008.52 107301.21 108893.36
2.50 586.46 95183.25 96438.06 105485.56 106263.75 107927.39 107234.46 108895.87
2.55 462.47 95058.82 96362.72 105448.54 106198.03 107866.50 107184.84 108910.91
2.60 361.80 94950.87 96295.37 105422.95 106148.83 107820.92 107148.77 108933.05
2.65 280.28 94856.30 96234.30 105406.23 106112.32 107786.53 107123.12 108958.56
2.70 214.48 94772.65 96178.25 105396.50 106086.04 107760.49 107105.92 108985.09
2.75 161.55 94697.87 96126.24 105392.05 106067.43 107740.25 107095.06 109010.95
2.80 119.14 94630.35 96077.46 105391.58 106054.64 107723.87 107088.95 109035.06
2.85 85.32 94568.84 96031.32 105393.98 106046.17 107709.90 107086.41 109056.69
