R Im<0|V|1> Im<0|V|2> Im<0|V|3> Im<0|V|4> Im<0|V|5> Im<0|V|6> Im<0|V|7> Im<1|V|3> Im<1|V|4> Im<1|V|5> Im<1|V|6> Im<1|V|7> Im<2|V|3> Im<2|V|4> Im<2|V|5> Im<2|V|6> Im<2|V|7> Im<3|V|4> Im<3|V|5> Im<3|V|6> Im<3|V|7> Im<4|V|5> Im<4|V|6> Im<4|V|7> Im<5|V|6> Im<5|V|7> Im<6|V|7>
1.97 60.21 -32.78 -110.17 -1.98 -101.61 18.10 36.29 -4.71 -3.99 -2.36 22.37 -2.93 -11.52 12.69 -1.68 34.12 2.48 -493.27 330.29 1330.51 -276.08 412.26 478.12 -91.74 -575.43 -17.82 141.87
1.98 59.89 -32.61 -110.04 -2.04 -101.30 18.06 36.18 -4.56 -4.37 -2.37 22.59 -2.91 -11.57 12.79 -1.75 33.79 2.49 -472.87 327.25 1283.94 -275.47 417.15 467.89 -96.38 -581.00 -18.32 137.70
1.99 59.58 -32.44 -109.91 -2.10 -100.97 18.03 36.07 -4.42 -4.72 -2.37 22.80 -2.89 -11.61 12.87 -1.82 33.50 2.50 -453.16 324.25 1239.04 -274.80 422.04 458.00 -101.03 -586.31 -18.82 133.48
2.00 59.28 -32.27 -109.77 -2.16 -100.64 17.99 35.96 -4.27 -5.08 -2.38 23.01 -2.87 -11.66 12.95 -1.89 33.19 2.50 -434.11 321.28 1195.73 -274.09 426.91 448.43 -105.69 -591.40 -19.30 129.23
2.01 58.96 -32.10 -109.63 -2.22 -100.31 17.95 35.85 -4.13 -5.42 -2.39 23.21 -2.85 -11.71 13.03 -1.95 32.90 2.51 -415.70 318.37 1153.97 -273.33 431.78 439.19 -110.38 -596.23 -19.78 124.91
2.02 58.64 -31.93 -109.49 -2.28 -99.97 17.91 35.73 -3.98 -5.73 -2.39 23.41 -2.82 -11.75 13.10 -2.00 32.61 2.51 -397.93 315.48 1113.74 -272.53 436.63 430.23 -115.07 -600.84 -20.24 120.56
2.03 58.33 -31.76 -109.35 -2.35 -99.63 17.86 35.62 -3.84 -6.05 -2.39 23.60 -2.80 -11.80 13.17 -2.06 32.33 2.51 -380.75 312.63 1074.93 -271.66 441.49 421.59 -119.78 -605.20 -20.70 116.14
2.04 58.03 -31.60 -109.20 -2.40 -99.29 17.82 35.51 -3.70 -6.35 -2.40 23.78 -2.78 -11.84 13.23 -2.11 32.04 2.51 -364.15 309.81 1037.50 -270.76 446.33 413.22 -124.50 -609.32 -21.14 111.70
2.05 57.71 -31.43 -109.05 -2.47 -98.94 17.78 35.39 -3.55 -6.65 -2.40 23.97 -2.75 -11.89 13.29 -2.16 31.76 2.51 -348.10 307.04 1001.43 -269.80 451.15 405.14 -129.22 -613.21 -21.57 107.21
2.06 57.39 -31.26 -108.90 -2.53 -98.59 17.74 35.27 -3.41 -6.94 -2.39 24.13 -2.73 -11.93 13.36 -2.21 31.49 2.51 -332.61 304.28 966.67 -268.81 455.96 397.33 -133.95 -616.89 -21.98 102.69
