R Im<0|V|1> Im<0|V|2> Im<0|V|3> Im<0|V|4> Im<0|V|5> Im<0|V|6> Im<0|V|7> Im<1|V|3> Im<1|V|4> Im<1|V|5> Im<1|V|6> Im<1|V|7> Im<2|V|3> Im<2|V|4> Im<2|V|5> Im<2|V|6> Im<2|V|7> Im<3|V|4> Im<3|V|5> Im<3|V|6> Im<3|V|7> Im<4|V|5> Im<4|V|6> Im<4|V|7> Im<5|V|6> Im<5|V|7> Im<6|V|7>
1.970000 0.013329 0.023716 -0.000538 -0.000152 0.002661 0.000075 0.006975 0.010689 -0.040941 -0.023874 -0.067582 0.003987 -0.005812 0.022185 0.010696 0.037368 -0.005996 0.051529 0.134007 0.078268 -0.046624 0.090281 0.045224 -0.031790 -0.131530 0.000249 0.051825
1.980000 0.013004 0.023140 -0.000551 -0.000155 0.002579 0.000076 0.006764 0.010034 -0.040143 -0.023320 -0.065259 0.003735 -0.005456 0.021747 0.010245 0.036146 -0.006106 0.052826 0.137380 0.080238 -0.047798 0.092553 0.046363 -0.032591 -0.134840 0.000255 0.053130
1.990000 0.012682 0.022567 -0.000565 -0.000159 0.002493 0.000077 0.006542 0.009451 -0.039312 -0.022778 -0.063060 0.003486 -0.005139 0.021292 0.009802 0.034993 -0.006216 0.054121 0.140748 0.082205 -0.048970 0.094822 0.047499 -0.033390 -0.138146 0.000261 0.054432
2.000000 0.012360 0.021997 -0.000578 -0.000162 0.002401 0.000077 0.006306 0.008931 -0.038458 -0.022249 -0.060973 0.003241 -0.004857 0.020823 0.009367 0.033899 -0.006326 0.055411 0.144104 0.084166 -0.050137 0.097083 0.048632 -0.034186 -0.141440 0.000268 0.055730
2.010000 0.012041 0.021430 -0.000591 -0.000165 0.002305 0.000078 0.006059 0.008465 -0.037585 -0.021730 -0.058985 0.002999 -0.004604 0.020344 0.008939 0.032859 -0.006436 0.056694 0.147439 0.086113 -0.051298 0.099330 0.049757 -0.034977 -0.144713 0.000274 0.057020
2.020000 0.011724 0.020867 -0.000605 -0.000168 0.002205 0.000079 0.005799 0.008047 -0.036698 -0.021223 -0.057087 0.002761 -0.004377 0.019858 0.008518 0.031868 -0.006546 0.057964 0.150743 0.088043 -0.052447 0.101556 0.050872 -0.035761 -0.147956 0.000280 0.058298
2.030000 0.011409 0.020306 -0.000618 -0.000171 0.002099 0.000079 0.005526 0.007670 -0.035803 -0.020727 -0.055270 0.002526 -0.004172 0.019368 0.008106 0.030920 -0.006654 0.059219 0.154007 0.089949 -0.053583 0.103755 0.051974 -0.036535 -0.151159 0.000286 0.059560
2.040000 0.011096 0.019749 -0.000631 -0.000174 0.001989 0.000080 0.005241 0.007329 -0.034902 -0.020241 -0.053527 0.002296 -0.003987 0.018874 0.007701 0.030011 -0.006761 0.060455 0.157221 0.091826 -0.054701 0.105920 0.053058 -0.037297 -0.154314 0.000292 0.060803
2.050000 0.010785 0.019195 -0.000643 -0.000177 0.001873 0.000080 0.004943 0.007021 -0.033998 -0.019764 -0.051851 0.002070 -0.003820 0.018379 0.007303 0.029139 -0.006867 0.061668 0.160375 0.093668 -0.055798 0.108045 0.054123 -0.038046 -0.157409 0.000297 0.062023
2.060000 0.010475 0.018645 -0.000655 -0.000180 0.001753 0.000080 0.004633 0.006739 -0.033095 -0.019297 -0.050237 0.001849 -0.003667 0.017884 0.006914 0.028299 -0.006970 0.062854 0.163459 0.095470 -0.056871 0.110122 0.055164 -0.038777 -0.160436 0.000303 0.063216
2.070000 0.010168 0.018098 -0.000667 -0.000183 0.001628 0.000081 0.004311 0.006483 -0.032194 -0.018839 -0.048679 0.001632 -0.003528 0.017390 0.006533 0.027489 -0.007071 0.064009 0.166462 0.097224 -0.057916 0.112146 0.056177 -0.039490 -0.163384 0.000308 0.064377
2.080000 0.009863 0.017555 -0.000679 -0.000185 0.001499 0.000081 0.003976 0.006247 -0.031298 -0.018390 -0.047173 0.001420 -0.003400 0.016900 0.006160 0.026706 -0.007169 0.065129 0.169375 0.098925 -0.058930 0.114108 0.057160 -0.040181 -0.166244 0.000314 0.065504
2.090000 0.009560 0.017015 -0.000690 -0.000188 0.001365 0.000081 0.003628 0.006030 -0.030408 -0.017950 -0.045715 0.001213 -0.003282 0.016412 0.005795 0.025949 -0.007264 0.066210 0.172187 0.100568 -0.059908 0.116003 0.058109 -0.040848 -0.169004 0.000319 0.066592
2.100000 0.009260 0.016479 -0.000701 -0.000190 0.001226 0.000081 0.003269 0.005829 -0.029526 -0.017517 -0.044302 0.001010 -0.003173 0.015929 0.005438 0.025214 -0.007354 0.067249 0.174888 0.102145 -0.060848 0.117822 0.059021 -0.041489 -0.171655 0.000324 0.067636
2.150000 0.007789 0.013853 -0.000747 -0.000200 0.000463 0.000080 0.001295 0.005003 -0.025271 -0.015464 -0.037802 0.000082 -0.002725 0.013601 0.003785 0.021831 -0.007736 0.071671 0.186389 0.108862 -0.064849 0.125571 0.062902 -0.044217 -0.182943 0.000344 0.072084
2.200000 0.006375 0.011324 -0.000776 -0.000205 -0.000397 0.000076 -0.000934 0.004349 -0.021342 -0.013566 -0.032054 -0.000693 -0.002370 0.011455 0.002362 0.018815 -0.007958 0.074522 0.193804 0.113193 -0.067429 0.130566 0.065405 -0.045976 -0.190221 0.000358 0.074953
