R Re<0|V|3> Re<0|V|4> Re<0|V|5> Re<0|V|6> Re<0|V|7> Re<1|V|2> Re<1|V|3> Re<1|V|4> Re<1|V|5> Re<1|V|6> Re<1|V|7> Re<2|V|3> Re<2|V|4> Re<2|V|5> Re<2|V|6> Re<2|V|7> Re<3|V|4> Re<3|V|5> Re<3|V|6> Re<3|V|7> Re<4|V|5> Re<4|V|6> Re<4|V|7> Re<5|V|6> Re<5|V|7>
1.97 64.04 3.39 -21.66 -139.44 4.94 -1586.44 -8.11 -2.33 11.05 2.91 21.49 -19.84 7.42 7.88 4.44 -18.19 -870.70 -364.22 1023.37 354.41 -136.06 1131.77 38.10 46.67 -237.83
1.98 63.96 3.49 -21.59 -139.16 4.92 -1526.75 -7.85 -2.55 11.10 2.94 21.35 -19.91 7.48 8.21 4.40 -18.26 -834.71 -360.86 987.55 353.63 -137.67 1107.55 40.02 47.13 -244.53
1.99 63.89 3.60 -21.52 -138.86 4.91 -1469.17 -7.60 -2.76 11.13 2.96 21.20 -19.99 7.53 8.53 4.36 -18.30 -799.91 -357.55 953.01 352.76 -139.29 1084.14 41.95 47.56 -251.12
2.00 63.81 3.70 -21.45 -138.55 4.89 -1413.65 -7.35 -2.97 11.16 2.99 21.05 -20.07 7.57 8.83 4.32 -18.34 -766.29 -354.29 919.71 351.86 -140.90 1061.49 43.89 47.97 -257.58
2.01 63.73 3.80 -21.38 -138.25 4.88 -1360.13 -7.10 -3.17 11.19 3.02 20.88 -20.15 7.62 9.12 4.28 -18.37 -733.80 -351.07 887.59 350.88 -142.50 1039.60 45.83 48.36 -263.93
2.02 63.65 3.91 -21.31 -137.93 4.86 -1308.52 -6.86 -3.35 11.20 3.04 20.72 -20.23 7.66 9.39 4.24 -18.39 -702.42 -347.89 856.64 349.85 -144.10 1018.40 47.78 48.73 -270.14
2.03 63.57 4.02 -21.24 -137.61 4.85 -1258.78 -6.61 -3.53 11.22 3.07 20.56 -20.31 7.70 9.64 4.21 -18.40 -672.09 -344.75 826.79 348.74 -145.71 997.94 49.74 49.09 -276.20
2.04 63.48 4.12 -21.17 -137.29 4.83 -1210.82 -6.36 -3.71 11.23 3.09 20.39 -20.39 7.74 9.89 4.17 -18.40 -642.78 -341.64 798.00 347.58 -147.31 978.15 51.69 49.42 -282.09
2.05 63.39 4.23 -21.09 -136.96 4.81 -1164.59 -6.12 -3.89 11.23 3.12 20.19 -20.47 7.77 10.12 4.13 -18.39 -614.47 -338.58 770.26 346.35 -148.90 959.01 53.66 49.74 -287.82
2.06 63.30 4.34 -21.02 -136.63 4.80 -1120.03 -5.87 -4.05 11.21 3.14 20.01 -20.55 7.81 10.34 4.10 -18.36 -587.12 -335.53 743.52 345.08 -150.48 940.52 55.62 50.04 -293.34
2.07 63.22 4.44 -20.94 -136.30 4.78 -1077.09 -5.64 -4.21 11.19 3.16 19.80 -20.61 7.84 10.56 4.06 -18.33 -560.71 -332.53 717.74 343.72 -152.07 922.63 57.59 50.31 -298.65
2.08 63.13 4.56 -20.87 -135.96 4.77 -1035.71 -5.40 -4.36 11.18 3.18 19.60 -20.69 7.87 10.76 4.03 -18.29 -535.21 -329.56 692.91 342.31 -153.65 905.33 59.55 50.58 -303.75
2.09 63.04 4.66 -20.79 -135.61 4.75 -995.83 -5.17 -4.52 11.15 3.20 19.38 -20.76 7.90 10.95 3.99 -18.24 -510.56 -326.62 668.96 340.85 -155.23 888.63 61.52 50.82 -308.58
2.10 62.94 4.77 -20.71 -135.27 4.73 -957.36 -4.93 -4.67 11.12 3.22 19.17 -20.83 7.92 11.13 3.96 -18.18 -486.85 -323.71 645.94 339.32 -156.80 872.41 63.48 51.05 -313.14
2.15 62.48 5.33 -20.32 -133.52 4.65 -785.22 -3.83 -5.32 10.86 3.31 17.96 -21.10 8.02 11.93 3.79 -17.77 -378.99 -309.57 542.09 330.86 -164.56 800.06 73.21 51.93 -331.57
2.20 62.01 5.89 -19.92 -131.73 4.56 -642.40 -2.82 -5.86 10.47 3.37 16.61 -21.26 8.07 12.52 3.63 -17.16 -290.36 -296.27 456.89 321.23 -172.04 737.72 82.63 52.45 -340.85
2.25 61.54 6.47 -19.51 -129.93 4.47 -523.99 -1.87 -6.17 9.50 3.43 15.33 -21.24 8.33 12.12 3.52 -16.09 -215.93 -283.78 385.77 310.83 -179.20 685.97 91.54 52.66 -339.42
2.30 61.07 7.06 -19.11 -128.14 4.38 -425.80 -1.04 -6.38 8.56 3.47 13.99 -21.11 8.50 11.73 3.40 -14.99 -154.28 -272.26 326.79 300.09 -185.89 642.65 99.74 52.65 -327.36
2.35 60.63 7.66 -18.70 -126.38 4.29 -344.66 -0.34 -6.53 7.64 3.48 12.62 -20.90 8.59 11.33 3.29 -13.86 -103.40 -261.80 277.88 289.45 -192.00 606.52 107.10 52.47 -306.96
2.40 60.20 8.27 -18.29 -124.66 4.19 -277.51 0.25 -6.62 6.75 3.47 11.29 -20.58 8.62 10.91 3.17 -12.76 -61.59 -252.43 237.35 279.25 -197.45 576.40 113.55 52.18 -281.42
2.45 59.79 8.90 -17.89 -122.97 4.10 -222.12 0.74 -6.63 5.89 3.44 10.01 -20.21 8.59 10.46 3.06 -11.68 -27.21 -244.11 203.64 269.73 -202.16 551.21 119.07 51.83 -253.92
2.50 59.40 9.53 -17.48 -121.31 4.01 -176.24 1.14 -6.60 5.09 3.39 8.82 -19.76 8.53 9.98 2.95 -10.65 1.06 -236.77 175.51 261.02 -206.09 529.95 123.69 51.44 -226.56
2.55 59.01 10.17 -17.07 -119.69 3.91 -138.36 1.48 -6.53 4.32 3.33 7.71 -19.26 8.44 9.47 2.84 -9.66 24.15 -230.33 152.18 253.15 -209.24 512.06 127.46 51.01 -200.62
2.60 58.65 10.83 -16.66 -118.09 3.81 -107.08 1.76 -6.42 3.60 3.27 6.68 -18.75 8.33 8.94 2.74 -8.71 42.89 -224.64 132.86 246.09 -211.61 496.75 130.45 50.56 -176.75
2.65 58.28 11.50 -16.25 -116.49 3.71 -81.28 1.99 -6.29 2.93 3.19 5.75 -18.20 8.19 8.40 2.63 -7.82 58.09 -219.62 116.78 239.80 -213.26 483.44 132.76 50.09 -155.06
2.70 57.93 12.18 -15.83 -114.92 3.61 -59.99 2.19 -6.14 2.30 3.12 4.89 -17.65 8.04 7.85 2.53 -6.97 70.27 -215.12 103.47 234.16 -214.15 471.81 134.39 49.57 -135.63
2.75 57.57 12.87 -15.41 -113.34 3.51 -42.46 2.35 -5.98 1.70 3.04 4.11 -17.09 7.88 7.28 2.43 -6.17 80.01 -211.03 92.40 229.09 -214.34 461.35 135.44 49.02 -118.27
2.80 57.21 13.56 -14.98 -111.76 3.41 -28.04 2.49 -5.81 1.15 2.95 3.41 -16.52 7.71 6.72 2.34 -5.43 87.71 -207.26 83.19 224.52 -213.88 451.79 135.97 48.43 -102.81
2.85 56.85 14.25 -14.55 -110.17 3.31 -16.18 2.60 -5.64 0.64 2.87 2.77 -15.96 7.53 6.17 2.25 -4.73 93.70 -203.75 75.48 220.35 -212.81 442.85 136.03 47.80 -89.04
2.90 56.48 14.94 -14.12 -108.58 3.20 -6.40 2.71 -5.45 0.16 2.79 2.17 -15.41 7.34 5.62 2.16 -4.06 98.29 -200.43 69.00 216.52 -211.16 434.35 135.66 47.13 -76.74
3.00 55.70 16.28 -13.25 -105.35 3.00 7.95 2.87 -5.10 -0.68 2.62 1.17 -14.35 6.97 4.58 1.98 -2.88 104.07 -194.13 58.91 209.63 -206.33 418.07 133.81 45.64 -55.94
3.10 54.85 17.57 -12.38 -102.04 2.78 17.34 2.98 -4.75 -1.38 2.46 0.33 -13.35 6.58 3.60 1.82 -1.84 106.48 -188.06 51.54 203.44 -199.74 402.11 130.74 43.98 -39.23
3.20 53.94 18.78 -11.51 -98.69 2.58 23.10 3.05 -4.41 -1.49 2.31 0.86 -12.38 6.20 2.47 1.67 -1.61 106.47 -182.01 45.99 197.66 -191.72 386.03 126.70 42.19 -25.65
3.30 52.95 19.89 -10.66 -95.29 2.37 26.51 3.07 -4.09 -1.47 2.16 1.60 -11.50 5.82 1.42 1.53 -1.57 104.78 -175.89 41.61 192.09 -182.60 369.71 121.90 40.27 -14.57
3.40 51.86 20.87 -9.83 -91.83 2.17 28.19 3.07 -3.79 -1.43 2.02 2.18 -10.67 5.44 0.54 1.39 -1.51 101.80 -169.66 38.05 186.60 -172.69 353.02 116.56 38.27 -5.45
3.50 50.68 21.70 -9.02 -88.32 1.98 28.70 3.03 -3.50 -1.39 1.88 2.61 -9.90 5.07 -0.19 1.27 -1.43 97.93 -163.26 35.04 181.10 -162.25 336.08 110.82 36.22 2.02
3.60 49.41 22.39 -8.25 -84.76 1.80 28.34 2.96 -3.24 -1.35 1.75 2.92 -9.18 4.69 -0.78 1.15 -1.35 93.32 -156.72 32.42 175.49 -151.55 318.94 104.86 34.15 8.19
3.70 48.05 22.92 -7.51 -81.19 1.62 27.48 2.86 -2.99 -1.31 1.63 3.11 -8.50 4.33 -1.23 1.05 -1.25 88.35 -150.03 30.00 169.72 -140.78 301.85 98.76 32.10 13.18
3.80 46.58 23.28 -6.81 -77.57 1.45 26.12 2.75 -2.76 -1.27 1.51 3.21 -7.88 3.98 -1.58 0.95 -1.15 83.09 -143.22 27.75 163.80 -130.13 284.86 92.65 30.07 17.19
3.90 45.02 23.48 -6.14 -73.91 1.30 24.54 2.62 -2.54 -1.20 1.39 3.25 -7.30 3.65 -1.83 0.86 -1.06 77.63 -136.31 25.65 157.67 -119.74 268.08 86.61 28.10 20.32
4.00 43.37 23.52 -5.51 -70.23 1.15 22.74 2.48 -2.34 -1.13 1.28 3.22 -6.75 3.33 -2.00 0.78 -0.97 72.08 -129.33 23.67 151.33 -109.73 251.61 80.69 26.20 22.73
4.10 41.64 23.41 -4.92 -66.54 1.01 20.93 2.33 -2.15 -1.07 1.18 3.14 -6.24 3.02 -2.09 0.71 -0.88 66.50 -122.31 21.78 144.80 -100.18 235.53 74.96 24.37 24.43
4.20 39.83 23.15 -4.36 -62.83 0.89 19.07 2.17 -1.98 -1.00 1.08 3.04 -5.76 2.73 -2.12 0.64 -0.81 61.00 -115.27 19.97 138.08 -91.15 219.92 69.45 22.62 25.55
4.30 37.96 22.76 -3.85 -59.14 0.77 17.31 2.01 -1.82 -0.93 0.99 2.90 -5.33 2.46 -2.12 0.58 -0.72 55.62 -108.26 18.25 131.19 -82.67 204.83 64.17 20.96 26.14
4.40 36.04 22.24 -3.37 -55.47 0.66 15.64 1.86 -1.67 -0.87 0.91 2.74 -4.91 2.22 -2.08 0.52 -0.65 50.42 -101.30 16.63 124.16 -74.77 190.27 59.16 19.38 26.29
4.50 34.08 21.59 -2.93 -51.84 0.56 14.08 1.70 -1.53 -0.80 0.83 2.57 -4.52 1.98 -2.01 0.47 -0.59 45.43 -94.44 15.09 117.07 -67.45 176.31 54.41 17.89 26.06
4.60 32.09 20.85 -2.53 -48.26 0.47 12.60 1.55 -1.40 -0.72 0.75 2.41 -4.16 1.76 -1.92 0.42 -0.54 40.73 -87.70 13.68 109.91 -60.64 163.18 49.90 16.46 25.45
4.70 30.10 20.03 -2.16 -44.76 0.39 11.25 1.41 -1.28 -0.66 0.68 2.23 -3.81 1.57 -1.80 0.38 -0.49 36.28 -81.15 12.34 102.79 -54.46 150.42 45.70 15.14 24.70
4.80 28.12 19.12 -1.83 -41.38 0.32 10.01 1.29 -1.17 -0.60 0.62 2.07 -3.49 1.40 -1.70 0.34 -0.44 32.15 -74.82 11.09 95.75 -48.82 138.33 41.78 13.89 23.71
4.90 26.16 18.16 -1.53 -38.09 0.25 8.89 1.17 -1.06 -0.54 0.56 1.90 -3.20 1.24 -1.58 0.31 -0.40 28.36 -68.76 9.93 88.84 -43.71 126.90 38.12 12.73 22.59
5.00 24.25 17.17 -1.27 -34.96 0.20 7.98 1.05 -0.97 -0.48 0.50 1.74 -2.92 1.09 -1.47 0.27 -0.36 24.89 -62.96 8.87 82.11 -39.07 116.14 34.71 11.64 21.36
5.10 22.40 16.15 -1.04 -31.98 0.15 7.07 0.94 -0.88 -0.43 0.46 1.58 -2.66 0.96 -1.35 0.25 -0.32 21.75 -57.47 7.91 75.61 -34.89 106.06 31.55 10.62 20.12
5.20 20.62 15.11 -0.84 -29.16 0.11 6.28 0.84 -0.79 -0.39 0.41 1.44 -2.42 0.85 -1.25 0.22 -0.28 18.90 -52.32 7.07 69.39 -31.11 96.62 28.63 9.67 18.84
5.30 18.91 14.09 -0.67 -26.51 0.08 5.59 0.75 -0.72 -0.34 0.37 1.32 -2.20 0.75 -1.14 0.20 -0.26 16.40 -47.48 6.29 63.49 -27.73 87.89 25.94 8.79 17.56
5.40 17.30 13.08 -0.53 -24.04 0.05 4.97 0.68 -0.65 -0.30 0.33 1.20 -1.99 0.66 -1.05 0.18 -0.23 14.13 -43.00 5.63 57.90 -24.70 79.74 23.47 7.97 16.39
5.50 15.78 12.09 -0.40 -21.74 0.03 4.42 0.60 -0.59 -0.26 0.30 1.08 -1.81 0.58 -0.96 0.16 -0.21 12.15 -38.86 5.04 52.67 -21.98 72.26 21.20 7.22 15.19
5.60 14.35 11.14 -0.31 -19.62 0.01 3.90 0.55 -0.54 -0.24 0.27 0.98 -1.63 0.51 -0.86 0.14 -0.19 10.41 -35.04 4.51 47.79 -19.56 65.38 19.13 6.53 14.05
5.70 13.02 10.23 -0.22 -17.68 -0.01 3.44 0.48 -0.48 -0.21 0.24 0.88 -1.47 0.45 -0.78 0.13 -0.17 8.90 -31.54 4.06 43.25 -17.40 59.06 17.24 5.89 12.96
5.80 11.79 9.37 -0.15 -15.89 -0.02 3.03 0.43 -0.43 -0.18 0.21 0.80 -1.33 0.39 -0.72 0.11 -0.15 7.58 -28.34 3.67 39.07 -15.47 53.30 15.51 5.31 11.94
5.90 10.66 8.56 -0.09 -14.26 -0.03 2.68 0.38 -0.39 -0.16 0.19 0.72 -1.19 0.34 -0.64 0.10 -0.14 6.43 -25.43 3.32 35.22 -13.75 48.03 13.94 4.77 10.97
6.00 9.61 7.81 -0.05 -12.77 -0.03 2.37 0.34 -0.35 -0.14 0.17 0.64 -1.08 0.30 -0.60 0.09 -0.11 5.44 -22.80 3.01 31.70 -12.22 43.26 12.52 4.29 10.07
6.20 7.78 6.43 0.01 -10.22 -0.04 1.86 0.27 -0.28 -0.12 0.14 0.53 -0.86 0.23 -0.49 0.07 -0.09 3.85 -18.25 2.51 25.56 -9.65 34.94 10.07 3.45 8.45
6.40 6.26 5.25 0.05 -8.13 -0.04 1.17 0.21 -0.22 -0.08 0.11 0.42 -0.68 0.18 -0.40 0.05 -0.07 2.69 -14.57 2.10 20.50 -7.64 28.09 8.08 2.76 7.04
6.60 5.01 4.26 0.07 -6.44 -0.04 0.88 0.17 -0.17 -0.07 0.08 0.33 -0.55 0.14 -0.31 0.04 -0.06 1.83 -11.58 1.79 16.36 -6.03 22.49 6.46 2.20 5.84
6.80 3.99 3.44 0.07 -5.09 -0.04 0.66 0.13 -0.14 -0.05 0.07 0.27 -0.43 0.11 -0.25 0.03 -0.05 1.22 -9.18 1.53 13.00 -4.74 18.03 5.14 1.74 4.86
7.00 3.17 2.77 0.07 -4.00 -0.03 0.50 0.10 -0.11 -0.04 0.05 0.21 -0.34 0.08 -0.20 0.03 -0.04 0.78 -7.24 1.32 10.28 -3.72 14.36 4.08 1.38 4.00
7.20 2.50 2.21 0.07 -3.13 -0.03 0.38 0.08 -0.08 -0.03 0.04 0.17 -0.26 0.06 -0.17 0.02 -0.03 0.46 -5.71 1.13 8.11 -2.92 11.41 3.22 1.08 3.29
7.40 1.97 1.76 0.06 -2.46 -0.02 0.29 0.06 -0.07 -0.02 0.03 0.13 -0.21 0.05 -0.12 0.02 -0.02 0.24 -4.49 0.97 6.37 -2.29 9.03 2.54 0.85 2.69
7.60 1.55 1.39 0.05 -1.91 -0.02 0.24 0.05 -0.05 -0.02 0.02 0.10 -0.17 0.03 -0.10 0.01 -0.01 0.09 -3.52 0.83 4.99 -1.79 7.13 2.00 0.66 2.17
7.80 1.21 1.10 0.05 -1.49 -0.02 0.20 0.04 -0.04 -0.02 0.02 0.08 -0.13 0.03 -0.08 0.01 -0.01 0.00 -2.74 0.71 3.89 -1.39 5.61 1.57 0.52 1.75
