R Re<0|V|1> Re<0|V|2> Re<0|V|3> Re<0|V|4> Re<0|V|5> Re<0|V|6> Re<0|V|7> Re<1|V|3> Re<1|V|4> Re<1|V|5> Re<1|V|6> Re<1|V|7> Re<2|V|3> Re<2|V|4> Re<2|V|5> Re<2|V|6> Re<2|V|7> Re<3|V|4> Re<3|V|5> Re<3|V|6> Re<3|V|7> Re<4|V|5> Re<4|V|6> Re<4|V|7> Re<5|V|6> Re<5|V|7> Re<6|V|7>
1.970000 -0.000003 -0.000008 0.000313 0.000260 0.000567 -0.000579 0.000949 0.018398 -0.023936 0.111864 -0.008790 -0.029251 -0.010005 0.012974 -0.050090 0.004864 0.043955 0.090958 -0.147773 0.060201 0.059853 -0.029796 0.107051 0.013200 0.010668 0.003325 0.000318
1.980000 -0.000003 -0.000008 0.000320 0.000266 0.000550 -0.000585 0.000920 0.017270 -0.023469 0.109267 -0.008488 -0.027400 -0.009393 0.012717 -0.047980 0.004705 0.044757 0.093247 -0.151492 0.061716 0.061359 -0.030546 0.109746 0.013533 0.010937 0.003407 0.000326
1.990000 -0.000003 -0.000008 0.000328 0.000271 0.000531 -0.000591 0.000890 0.016267 -0.022984 0.106729 -0.008202 -0.025574 -0.008848 0.012451 -0.045906 0.004555 0.045563 0.095534 -0.155207 0.063229 0.062864 -0.031295 0.112436 0.013864 0.011205 0.003489 0.000334
2.000000 -0.000003 -0.000008 0.000336 0.000277 0.000512 -0.000596 0.000858 0.015372 -0.022484 0.104247 -0.007930 -0.023773 -0.008361 0.012177 -0.043866 0.004412 0.046371 0.097812 -0.158908 0.064737 0.064363 -0.032041 0.115117 0.014195 0.011472 0.003571 0.000342
2.010000 -0.000003 -0.000007 0.000344 0.000282 0.000491 -0.000601 0.000824 0.014570 -0.021974 0.101819 -0.007672 -0.021999 -0.007926 0.011897 -0.041862 0.004277 0.047178 0.100075 -0.162585 0.066235 0.065852 -0.032782 0.117781 0.014524 0.011738 0.003653 0.000350
2.020000 -0.000003 -0.000007 0.000351 0.000288 0.000470 -0.000605 0.000789 0.013850 -0.021455 0.099442 -0.007425 -0.020252 -0.007535 0.011613 -0.039893 0.004148 0.047981 0.102317 -0.166228 0.067719 0.067328 -0.033517 0.120420 0.014849 0.012001 0.003733 0.000358
2.030000 -0.000003 -0.000007 0.000359 0.000293 0.000447 -0.000609 0.000752 0.013202 -0.020932 0.097116 -0.007188 -0.018534 -0.007183 0.011326 -0.037960 0.004025 0.048777 0.104533 -0.169827 0.069185 0.068785 -0.034243 0.123028 0.015171 0.012261 0.003813 0.000366
2.040000 -0.000003 -0.000007 0.000367 0.000298 0.000424 -0.000613 0.000713 0.012616 -0.020405 0.094838 -0.006962 -0.016846 -0.006865 0.011037 -0.036063 0.003906 0.049564 0.106714 -0.173371 0.070629 0.070221 -0.034957 0.125595 0.015487 0.012517 0.003891 0.000374
2.050000 -0.000003 -0.000007 0.000374 0.000303 0.000399 -0.000616 0.000673 0.012084 -0.019877 0.092606 -0.006744 -0.015189 -0.006576 0.010747 -0.034203 0.003793 0.050337 0.108855 -0.176849 0.072046 0.071630 -0.035659 0.128115 0.015798 0.012768 0.003968 0.000381
2.060000 -0.000003 -0.000006 0.000381 0.000308 0.000374 -0.000618 0.000630 0.011600 -0.019348 0.090418 -0.006534 -0.013564 -0.006313 0.010458 -0.032380 0.003684 0.051095 0.110948 -0.180250 0.073431 0.073007 -0.036344 0.130578 0.016102 0.013013 0.004043 0.000388
2.070000 -0.000002 -0.000006 0.000388 0.000313 0.000347 -0.000620 0.000587 0.011158 -0.018822 0.088273 -0.006331 -0.011973 -0.006073 0.010170 -0.030594 0.003578 0.051834 0.112987 -0.183562 0.074781 0.074349 -0.037012 0.132978 0.016398 0.013252 0.004116 0.000396
2.080000 -0.000002 -0.000006 0.000395 0.000317 0.000320 -0.000622 0.000541 0.010753 -0.018298 0.086169 -0.006135 -0.010416 -0.005853 0.009883 -0.028846 0.003476 0.052552 0.114964 -0.186774 0.076089 0.075650 -0.037660 0.135305 0.016684 0.013484 0.004187 0.000402
