State0	Sigma0	State1	Sigma1	State2	Sigma2	State3	Sigma3	State4	Sigma4	State5	Sigma5	State6	Sigma6	State7	Sigma7	
3.697000e+00	9.144451e-15	9.362494e+04	2.313351e-14	9.510906e+04	2.236492e-14	1.053701e+05	3.830745e-14	1.059419e+05	3.279937e-14	1.067773e+05	4.714622e-14	1.069205e+05	4.777224e-14	1.084515e+05	4.855199e-14
3.915535e+00	9.560349e-15	9.362516e+04	2.234712e-14	9.510928e+04	2.200825e-14	1.053704e+05	3.794090e-14	1.059421e+05	3.290058e-14	1.067775e+05	4.599725e-14	1.069208e+05	4.649644e-14	1.084517e+05	4.699057e-14
4.144369e+00	1.041485e-14	9.362538e+04	2.455293e-14	9.510950e+04	2.343484e-14	1.053706e+05	3.859696e-14	1.059424e+05	3.946266e-14	1.067777e+05	4.914440e-14	1.069210e+05	5.007707e-14	1.084519e+05	5.157806e-14
4.383988e+00	1.224535e-14	9.362562e+04	2.397315e-14	9.510974e+04	2.317498e-14	1.053708e+05	3.837320e-14	1.059426e+05	3.902231e-14	1.067780e+05	4.851885e-14	1.069212e+05	4.937351e-14	1.084522e+05	5.067521e-14
4.634900e+00	1.679578e-14	9.362587e+04	2.335662e-14	9.510999e+04	2.287832e-14	1.053711e+05	3.816473e-14	1.059428e+05	3.860934e-14	1.067782e+05	4.775294e-14	1.069215e+05	4.850213e-14	1.084524e+05	4.957833e-14
4.897637e+00	2.346284e-14	9.362614e+04	2.271783e-14	9.511026e+04	2.255832e-14	1.053713e+05	3.794025e-14	1.059431e+05	3.821967e-14	1.067785e+05	4.682248e-14	1.069217e+05	4.744937e-14	1.084527e+05	4.825419e-14
5.172756e+00	2.025816e-14	9.362641e+04	2.207485e-14	9.511053e+04	2.223105e-14	1.053716e+05	3.764591e-14	1.059434e+05	3.783528e-14	1.067788e+05	4.570511e-14	1.069220e+05	4.619881e-14	1.084529e+05	4.670847e-14
5.460842e+00	1.524601e-14	9.362670e+04	2.365796e-14	9.511082e+04	2.328711e-14	1.053719e+05	3.794033e-14	1.059437e+05	5.010909e-14	1.067791e+05	4.844754e-14	1.069223e+05	4.931703e-14	1.084532e+05	5.079709e-14
5.762504e+00	1.296922e-14	9.362700e+04	2.317048e-14	9.511112e+04	2.304233e-14	1.053722e+05	3.773043e-14	1.059440e+05	4.800524e-14	1.067794e+05	4.779362e-14	1.069226e+05	4.853970e-14	1.084535e+05	4.983265e-14
6.078384e+00	1.206995e-14	9.362732e+04	2.265637e-14	9.511144e+04	2.277228e-14	1.053725e+05	3.744636e-14	1.059443e+05	4.625160e-14	1.067797e+05	4.698473e-14	1.069229e+05	4.762432e-14	1.084538e+05	4.865707e-14
6.409150e+00	1.183467e-14	9.362765e+04	2.212910e-14	9.511177e+04	2.248666e-14	1.053729e+05	3.720682e-14	1.059446e+05	4.473805e-14	1.067800e+05	4.599601e-14	1.069233e+05	4.653235e-14	1.084542e+05	4.724576e-14
6.755504e+00	1.206062e-14	9.362800e+04	2.324042e-14	9.511212e+04	2.325509e-14	1.053732e+05	3.742505e-14	1.059450e+05	5.923737e-14	1.067803e+05	4.811571e-14	1.069236e+05	4.895332e-14	1.084545e+05	5.051738e-14
7.118182e+00	1.273029e-14	9.362836e+04	2.284023e-14	9.511248e+04	2.303335e-14	1.053736e+05	3.716579e-14	1.059453e+05	5.726695e-14	1.067807e+05	4.750919e-14	1.069240e+05	4.825009e-14	1.084549e+05	4.960684e-14
7.497953e+00	1.399949e-14	9.362874e+04	2.241677e-14	9.511286e+04	2.279026e-14	1.053739e+05	3.699877e-14	1.059457e+05	5.482113e-14	1.067811e+05	4.674971e-14	1.069243e+05	4.737857e-14	1.084553e+05	4.848252e-14
7.895621e+00	1.607034e-14	9.362914e+04	2.198081e-14	9.511326e+04	2.253576e-14	1.053743e+05	3.680943e-14	1.059461e+05	5.232838e-14	1.067815e+05	4.581045e-14	1.069247e+05	4.631950e-14	1.084557e+05	4.711710e-14
8.312031e+00	1.885783e-14	9.362955e+04	2.282408e-14	9.511367e+04	2.311418e-14	1.053748e+05	3.683678e-14	1.059465e+05	6.083040e-14	1.067819e+05	4.761280e-14	1.069252e+05	4.841431e-14	1.084561e+05	4.997638e-14
8.748066e+00	2.119428e-14	9.362999e+04	2.248566e-14	9.511411e+04	2.292188e-14	1.053752e+05	3.670421e-14	1.059470e+05	6.014054e-14	1.067823e+05	4.699970e-14	1.069256e+05	4.768843e-14	1.084565e+05	4.904535e-14
9.204651e+00	2.150389e-14	9.363044e+04	2.212918e-14	9.511456e+04	2.271143e-14	1.053757e+05	3.656569e-14	1.059474e+05	5.863236e-14	1.067828e+05	4.622790e-14	1.069261e+05	4.679748e-14	1.084570e+05	4.788994e-14
9.682753e+00	2.030854e-14	9.363092e+04	2.176290e-14	9.511504e+04	2.249183e-14	1.053761e+05	3.640981e-14	1.059479e+05	5.651555e-14	1.067833e+05	4.526925e-14	1.069265e+05	4.571753e-14	1.084575e+05	4.648259e-14
1.018339e+01	1.912375e-14	9.363142e+04	2.240525e-14	9.511554e+04	2.296202e-14	1.053766e+05	3.650919e-14	1.059484e+05	6.138592e-14	1.067838e+05	4.696950e-14	1.069270e+05	4.764460e-14	1.084580e+05	4.920426e-14
1.070762e+01	1.858958e-14	9.363195e+04	2.210711e-14	9.511607e+04	2.277995e-14	1.053772e+05	3.635199e-14	1.059489e+05	6.042257e-14	1.067843e+05	4.630014e-14	1.069276e+05	4.685491e-14	1.084585e+05	4.818039e-14
1.125655e+01	1.878553e-14	9.363250e+04	2.179603e-14	9.511662e+04	2.258662e-14	1.053777e+05	3.618223e-14	1.059495e+05	5.901947e-14	1.067848e+05	4.545816e-14	1.069281e+05	4.589318e-14	1.084590e+05	4.691556e-14
1.183136e+01	1.962709e-14	9.363307e+04	2.224693e-14	9.511719e+04	2.293277e-14	1.053783e+05	3.626548e-14	1.059500e+05	6.146045e-14	1.067854e+05	4.677778e-14	1.069287e+05	4.738906e-14	1.084596e+05	4.909808e-14
1.243325e+01	2.088353e-14	9.363367e+04	2.199056e-14	9.511779e+04	2.277482e-14	1.053789e+05	3.616668e-14	1.059506e+05	6.053886e-14	1.067860e+05	4.616239e-14	1.069293e+05	4.664944e-14	1.084602e+05	4.814887e-14
1.306352e+01	2.215274e-14	9.363430e+04	2.171981e-14	9.511842e+04	2.260648e-14	1.053795e+05	3.604823e-14	1.059513e+05	5.928509e-14	1.067867e+05	4.538249e-14	1.069299e+05	4.575457e-14	1.084608e+05	4.696353e-14
1.372348e+01	2.297273e-14	9.363496e+04	2.204132e-14	9.511908e+04	2.287453e-14	1.053802e+05	3.599744e-14	1.059519e+05	6.054091e-14	1.067873e+05	4.645525e-14	1.069306e+05	4.698546e-14	1.084615e+05	4.880755e-14
