R	E0	E1	E2	E3	E4
1.97	107895.54	109993.91	111818.05	110331.09	112248.97
1.98	107780.76	109817	111629.84	110179.35	112057.42
1.99	107670.65	109647.21	111449.25	110033.98	111873.87
2	107565.02	109484.27	111276	109894.76	111698.09
2.01	107463.69	109327.94	111109.79	109761.43	111529.78
2.02	107366.54	109178	110950.36	109633.81	111368.7
2.03	107273.32	109034.16	110797.49	109511.61	111214.64
2.04	107183.92	108896.24	110650.92	109394.67	111067.34
2.05	107098.23	108763.96	110510.43	109282.78	110926.63
2.06	107016.04	108637.19	110375.81	109175.74	110792.26
2.07	106937.27	108515.67	110246.8	109073.38	110664.06
2.08	106861.75	108399.22	110123.24	108975.48	110541.83
2.09	106789.37	108287.62	110004.91	108881.88	110425.48
2.1	106720.12	108180.82	109891.64	108792.49	110314.76
2.15	106413.92	107710.03	109394.68	108400.87	109839.61
2.2	106169.96	107334.23	108999.06	108091.66	109483.27
2.25	105974.66	107034.05	108687.48	107847.11	109229.8
2.3	105820.4	106796.34	108445.05	107655.21	109062.59
2.35	105699.91	106609.35	108258.52	107505.56	108962.78
2.4	105607.03	106463.35	108116.26	107389.79	108911.76
2.45	105536.99	106350.34	108008.52	107301.21	108893.36
2.5	105485.56	106263.75	107927.39	107234.46	108895.87
2.55	105448.54	106198.03	107866.5	107184.84	108910.91
2.6	105422.95	106148.83	107820.92	107148.77	108933.05
2.65	105406.23	106112.32	107786.53	107123.12	108958.56
2.7	105396.5	106086.04	107760.49	107105.92	108985.09
2.75	105392.05	106067.43	107740.25	107095.06	109010.95
2.8	105391.58	106054.64	107723.87	107088.95	109035.06
2.85	105393.98	106046.17	107709.9	107086.41	109056.69
2.9	105398.49	106040.82	107697.2	107086.41	109075.39
3	105411.14	106036.06	107672.42	107091.13	109103.15
3.1	105425.87	106035.13	107645.32	107098.7	109117.89
3.2	105440.51	106035.16	107613.99	107106.61	109120.46
3.3	105453.77	106034.45	107578.05	107113.39	109112.35
3.4	105465.14	106032.41	107537.91	107118.5	109095.49
3.5	105474.34	106028.8	107494.42	107121.63	109071.7
3.6	105481.39	106023.79	107448.69	107122.89	109042.89
3.7	105486.14	106017.47	107401.8	107122.28	109010.51
3.8	105488.86	106010.25	107354.73	107120.07	108976.04
3.9	105489.74	106002.46	107308.35	107116.52	108940.65
4	105488.99	105994.39	107263.39	107111.85	108905.25
4.1	105486.82	105986.33	107220.38	107106.28	108870.59
4.2	105483.4	105978.47	107179.68	107099.94	108837.11
4.3	105478.97	105971	107141.53	107092.99	108805.15
4.4	105473.76	105964.06	107106.11	107085.58	108775.06
4.5	105467.95	105957.73	107073.42	107077.79	108746.84
4.6	105461.71	105952.36	107043.62	107070.01	108720.64
4.7	105455.24	105947.38	107016.26	107061.78	108696.4
4.8	105448.63	105943.09	106991.35	107053.45	108673.96
4.9	105442.06	105939.48	106968.81	107045.13	108653.34
5	105435.65	105936.49	106948.44	107036.84	108634.4
5.1	105429.42	105934.09	106930.04	107028.65	108617.05
5.2	105423.51	105932.2	106913.48	107020.65	108601.16
5.3	105417.87	105930.75	106898.56	107012.85	108586.64
5.4	105412.64	105929.69	106885.18	107005.32	108573.54
5.5	105407.8	105928.99	106873.16	106998.13	108561.48
5.6	105403.3	105928.57	106862.41	106991.28	108550.49
5.7	105399.18	105928.39	106852.75	106984.81	108540.48
5.8	105395.45	105928.37	106844.1	106978.71	108531.38
5.9	105392.04	105928.53	106836.35	106973.01	108523.09
6	105388.97	105928.75	106829.43	106967.68	108515.58
6.2	105383.71	105929.46	106817.65	106958.21	108502.55
6.4	105379.59	105930.29	106808.32	106950.18	108491.84
6.6	105376.25	105931.16	106800.76	106943.43	108483.03
6.8	105373.66	105932.07	106794.8	106937.92	108475.96
7	105371.6	105932.88	106790.03	106933.38	108470.09
7.2	105370.04	105933.57	106786.23	106929.69	108465.34
7.4	105368.84	105934.2	106783.21	106926.73	108461.49
7.6	105367.92	105934.73	106780.82	106924.35	108458.36
7.8	105367.24	105935.17	106778.95	106922.45	108455.9
8	105366.75	105935.55	106777.48	106920.96	108453.93
8.2	105366.06	105935.61	106776.34	106919.56	108452.33
8.4	105365.84	105935.93	106775.45	106918.7	108451.15
8.6	105365.7	105936.2	106774.78	106918.02	108450.15
8.8	105365.59	105936.42	106774.22	106917.49	108449.36
9	105365.54	105936.6	106773.82	106917.09	108448.74
9.2	105365.51	105936.77	106773.54	106916.8	108448.24
9.4	105365.57	105936.96	106773.29	106916.64	108447.82
9.6	105365.58	105937.05	106773.11	106916.46	108447.52
9.8	105365.58	105937.13	106772.96	106916.32	108447.29
10	105365.56	105937.2	106772.84	106916.23	108447.1
10.5	105365.59	105937.29	106772.71	106916.05	108446.98
11	105365.51	105937.27	106772.65	106915.91	108446.83
