R	Im<0|V|1>	Im<0|V|2>	Im<0|V|3>	Im<0|V|4>	Im<1|V|2>	Im<1|V|3>	Im<1|V|4>	Im<2|V|3>	Im<2|V|4>	Im<3|V|4>
1.97	-493.27	330.29	1330.51	-276.08	412.26	478.12	-91.74	-575.43	-17.82	141.87
1.98	-472.87	327.25	1283.94	-275.47	417.15	467.89	-96.38	-581	-18.32	137.7
1.99	-453.16	324.25	1239.04	-274.8	422.04	458	-101.03	-586.31	-18.82	133.48
2	-434.11	321.28	1195.73	-274.09	426.91	448.43	-105.69	-591.4	-19.3	129.23
2.01	-415.7	318.37	1153.97	-273.33	431.78	439.19	-110.38	-596.23	-19.78	124.91
2.02	-397.93	315.48	1113.74	-272.53	436.63	430.23	-115.07	-600.84	-20.24	120.56
2.03	-380.75	312.63	1074.93	-271.66	441.49	421.59	-119.78	-605.2	-20.7	116.14
2.04	-364.15	309.81	1037.5	-270.76	446.33	413.22	-124.5	-609.32	-21.14	111.7
2.05	-348.1	307.04	1001.43	-269.8	451.15	405.14	-129.22	-613.21	-21.57	107.21
2.06	-332.61	304.28	966.67	-268.81	455.96	397.33	-133.95	-616.89	-21.98	102.69
2.07	-317.65	301.56	933.16	-267.76	460.78	389.77	-138.68	-620.32	-22.38	98.11
2.08	-303.2	298.86	900.86	-266.66	465.56	382.46	-143.42	-623.53	-22.76	93.49
2.09	-289.24	296.19	869.73	-265.51	470.33	375.41	-148.15	-626.54	-23.12	88.83
2.1	-275.81	293.56	839.8	-264.32	475.09	368.55	-152.88	-629.33	-23.46	84.13
2.15	-214.7	280.73	704.78	-257.73	498.6	337.99	-176.3	-640.2	-24.84	60.19
2.2	-164.49	268.67	594.01	-250.24	521.28	311.65	-199	-646.63	-25.54	35.73
2.25	-122.33	257.35	501.54	-242.13	542.96	289.79	-220.46	-649.27	-25.43	11.28
2.3	-87.4	246.9	424.87	-233.76	563.23	271.49	-240.21	-649.08	-24.53	-12.55
2.35	-58.58	237.41	361.28	-225.47	581.76	256.23	-257.93	-646.87	-23	-35.13
2.4	-34.89	228.92	308.59	-217.53	598.26	243.5	-273.46	-643.34	-21.09	-55.91
2.45	-15.42	221.37	264.76	-210.11	612.54	232.86	-286.75	-639	-19.03	-74.54
2.5	0.6	214.72	228.19	-203.33	624.44	223.88	-297.88	-634.13	-16.98	-90.85
2.55	13.68	208.87	197.86	-197.2	633.98	216.32	-306.96	-628.9	-15.03	-104.85
2.6	24.3	203.72	172.73	-191.7	641.16	209.86	-314.17	-623.31	-13.24	-116.63
2.65	32.91	199.16	151.82	-186.8	646.18	204.23	-319.72	-617.51	-11.62	-126.4
2.7	39.81	195.08	134.53	-182.41	648.86	199.32	-323.65	-611.18	-10.16	-134.24
2.75	45.33	191.37	120.14	-178.46	649.45	194.9	-326.17	-604.41	-8.86	-140.39
2.8	49.69	187.96	108.16	-174.89	648.04	190.86	-327.45	-597.13	-7.7	-145.02
2.85	53.08	184.77	98.13	-171.65	644.8	187.09	-327.59	-589.33	-6.67	-148.3
2.9	55.68	181.76	89.71	-168.67	639.81	183.49	-326.7	-581	-5.75	-150.37
3	58.96	176.04	76.59	-163.3	625.18	176.61	-322.26	-562.68	-4.19	-151.47
3.1	60.32	170.54	67	-158.47	605.2	169.87	-314.86	-542.28	-2.94	-149.26
3.2	60.32	165.06	59.8	-153.97	580.91	163.08	-305.12	-520.09	-1.92	-144.53
3.3	59.36	159.51	54.1	-149.64	553.28	156.18	-293.58	-496.46	-1.09	-137.93
3.4	57.67	153.85	49.47	-145.36	523.24	149.14	-280.7	-471.81	-0.41	-130.03
3.5	55.48	148.05	45.56	-141.07	491.61	141.98	-266.9	-446.55	0.15	-121.26
3.6	52.87	142.12	42.15	-136.7	459.18	134.74	-252.52	-421.08	0.61	-112.04
3.7	50.05	136.06	39	-132.21	426.56	127.52	-237.84	-395.72	0.99	-102.66
3.8	47.07	129.88	36.08	-127.59	394.3	120.34	-223.13	-370.77	1.29	-93.4
3.9	43.98	123.61	33.35	-122.82	362.82	113.25	-208.57	-346.47	1.52	-84.44
4	40.83	117.28	30.77	-117.89	332.48	106.3	-194.33	-322.98	1.7	-75.94
4.1	37.67	110.91	28.31	-112.8	303.55	99.5	-180.53	-300.43	1.83	-68.01
4.2	34.56	104.54	25.96	-107.56	276.17	92.9	-167.25	-278.87	1.91	-60.69
4.3	31.51	98.18	23.73	-102.19	250.48	86.53	-154.55	-258.36	1.96	-54.04
4.4	28.56	91.86	21.62	-96.72	226.54	80.38	-142.46	-238.92	1.97	-48.04
4.5	25.74	85.64	19.62	-91.2	204.36	74.49	-131.04	-220.53	1.95	-42.67
4.6	23.08	79.53	17.78	-85.62	183.73	68.93	-120.18	-202.96	1.91	-37.83
4.7	20.55	73.59	16.05	-80.07	165.01	63.55	-110.07	-186.64	1.85	-33.64
4.8	18.22	67.85	14.42	-74.59	147.93	58.44	-100.61	-171.3	1.78	-29.95
4.9	16.06	62.35	12.91	-69.21	132.43	53.61	-91.79	-156.93	1.69	-26.72
5	14.1	57.1	11.53	-63.96	118.39	49.07	-83.59	-143.48	1.6	-23.88
5.1	12.32	52.12	10.29	-58.9	105.7	44.8	-75.99	-130.92	1.51	-21.39
5.2	10.71	47.45	9.19	-54.06	94.27	40.82	-68.95	-119.21	1.41	-19.19
5.3	9.29	43.06	8.18	-49.46	84.02	37.13	-62.48	-108.36	1.32	-17.24
5.4	8.01	39	7.32	-45.11	74.85	33.69	-56.52	-98.32	1.23	-15.52
5.5	6.88	35.24	6.56	-41.03	66.61	30.53	-51.06	-89.03	1.14	-13.99
5.6	5.9	31.77	5.87	-37.23	59.28	27.62	-46.07	-80.47	1.05	-12.61
5.7	5.04	28.6	5.28	-33.69	52.72	24.95	-41.51	-72.62	0.97	-11.39
5.8	4.29	25.7	4.77	-30.43	46.88	22.52	-37.36	-65.44	0.89	-10.29
5.9	3.64	23.06	4.32	-27.44	41.66	20.29	-33.58	-58.86	0.82	-9.27
6	3.08	20.68	3.91	-24.69	37.03	18.27	-30.16	-52.87	0.75	-8.37
6.2	2.18	16.55	3.27	-19.91	29.22	14.76	-24.25	-42.49	0.63	-6.81
6.4	1.53	13.21	2.73	-15.97	23.15	11.87	-19.47	-34.07	0.53	-5.56
6.6	1.04	10.5	2.32	-12.74	18.28	9.5	-15.57	-27.17	0.44	-4.52
6.8	0.69	8.32	1.99	-10.12	14.35	7.62	-12.38	-21.5	0.36	-3.64
7	0.44	6.57	1.71	-8.01	11.28	6.07	-9.82	-16.97	0.3	-2.91
7.2	0.26	5.18	1.47	-6.32	8.86	4.82	-7.76	-13.35	0.25	-2.33
7.4	0.14	4.07	1.26	-4.96	6.94	3.82	-6.12	-10.46	0.2	-1.87
7.6	0.05	3.19	1.07	-3.88	5.42	3.01	-4.81	-8.18	0.16	-1.48
7.8	0	2.49	0.93	-3.03	4.22	2.37	-3.77	-6.37	0.13	-1.17
8	-0.03	1.94	0.78	-2.36	3.29	1.85	-2.95	-4.94	0.11	-0.92
8.2	0.08	1.49	0.45	-1.83	2.56	1.53	-2.3	-3.8	0.08	-0.73
8.4	0.04	1.15	0.39	-1.41	1.99	1.19	-1.78	-2.92	0.07	-0.57
8.6	0.02	0.89	0.33	-1.08	1.53	0.92	-1.37	-2.25	0.06	-0.45
8.8	0	0.67	0.28	-0.82	1.18	0.7	-1.06	-1.72	0.04	-0.35
9	-0.01	0.51	0.24	-0.63	0.9	0.53	-0.82	-1.31	0.03	-0.27
9.2	-0.02	0.38	0.2	-0.48	0.66	0.41	-0.61	-0.97	0.02	-0.19
9.4	-0.07	0.29	0.23	-0.36	0.5	0.28	-0.46	-0.72	0.02	-0.14
9.6	-0.07	0.22	0.2	-0.26	0.36	0.2	-0.34	-0.54	0.01	-0.11
9.8	-0.07	0.16	0.17	-0.19	0.27	0.14	-0.25	-0.39	0.01	-0.07
10	-0.06	0.11	0.15	-0.13	0.19	0.09	-0.17	-0.28	0.01	-0.05
10.5	-0.05	0.04	0.1	-0.04	0.07	0.01	-0.06	-0.1	0	-0.02
11	0	0	0	0	0	0	0	0	0	0
