R	Im<0|V|1>	Im<0|V|2>	Im<0|V|3>	Im<0|V|4>	Im<1|V|2>	Im<1|V|3>	Im<1|V|4>	Im<2|V|3>	Im<2|V|4>	Im<3|V|4>
1.97	0.051529	0.134007	0.078268	-0.046624	0.090281	0.045224	-0.03179	-0.13153	0.000249	0.051825
1.98	0.052826	0.13738	0.080238	-0.047798	0.092553	0.046363	-0.032591	-0.13484	0.000255	0.05313
1.99	0.054121	0.140748	0.082205	-0.04897	0.094822	0.047499	-0.03339	-0.138146	0.000261	0.054432
2	0.055411	0.144104	0.084166	-0.050137	0.097083	0.048632	-0.034186	-0.14144	0.000268	0.05573
2.01	0.056694	0.147439	0.086113	-0.051298	0.09933	0.049757	-0.034977	-0.144713	0.000274	0.05702
2.02	0.057964	0.150743	0.088043	-0.052447	0.101556	0.050872	-0.035761	-0.147956	0.00028	0.058298
2.03	0.059219	0.154007	0.089949	-0.053583	0.103755	0.051974	-0.036535	-0.151159	0.000286	0.05956
2.04	0.060455	0.157221	0.091826	-0.054701	0.10592	0.053058	-0.037297	-0.154314	0.000292	0.060803
2.05	0.061668	0.160375	0.093668	-0.055798	0.108045	0.054123	-0.038046	-0.157409	0.000297	0.062023
2.06	0.062854	0.163459	0.09547	-0.056871	0.110122	0.055164	-0.038777	-0.160436	0.000303	0.063216
2.07	0.064009	0.166462	0.097224	-0.057916	0.112146	0.056177	-0.03949	-0.163384	0.000308	0.064377
2.08	0.065129	0.169375	0.098925	-0.05893	0.114108	0.05716	-0.040181	-0.166244	0.000314	0.065504
2.09	0.06621	0.172187	0.100568	-0.059908	0.116003	0.058109	-0.040848	-0.169004	0.000319	0.066592
2.1	0.067249	0.174888	0.102145	-0.060848	0.117822	0.059021	-0.041489	-0.171655	0.000324	0.067636
2.15	0.071671	0.186389	0.108862	-0.064849	0.125571	0.062902	-0.044217	-0.182943	0.000344	0.072084
2.2	0.074522	0.193804	0.113193	-0.067429	0.130566	0.065405	-0.045976	-0.190221	0.000358	0.074953
2.25	0.075557	0.196496	0.114765	-0.068366	0.13238	0.066313	-0.046615	-0.192863	0.000362	0.075994
2.3	0.074767	0.19444	0.113565	-0.06765	0.130994	0.065619	-0.046127	-0.190845	0.000358	0.075199
2.35	0.072384	0.188243	0.109945	-0.065495	0.12682	0.063528	-0.044657	-0.184763	0.000346	0.072803
2.4	0.06883	0.179	0.104547	-0.062279	0.120593	0.060409	-0.042465	-0.17569	0.000328	0.069229
2.45	0.064615	0.168038	0.098144	-0.058465	0.113208	0.056709	-0.039864	-0.164932	0.000307	0.06499
2.5	0.060241	0.156663	0.0915	-0.054507	0.105544	0.05287	-0.037166	-0.153766	0.000286	0.060591
2.55	0.056127	0.145966	0.085253	-0.050785	0.098337	0.04926	-0.034628	-0.143267	0.000266	0.056454
2.6	0.052578	0.136736	0.079862	-0.047574	0.092119	0.046146	-0.032439	-0.134208	0.000249	0.052884
2.65	0.04978	0.129458	0.075611	-0.045042	0.087216	0.043689	-0.030712	-0.127065	0.000235	0.05007
2.7	0.047816	0.124351	0.072628	-0.043265	0.083775	0.041966	-0.0295	-0.122051	0.000226	0.048094
2.75	0.046696	0.121438	0.070927	-0.042251	0.081813	0.040983	-0.028809	-0.119193	0.00022	0.046968
2.8	0.046379	0.120615	0.070446	-0.041965	0.081258	0.040705	-0.028614	-0.118385	0.000219	0.04665
2.85	0.046794	0.121694	0.071077	-0.042341	0.081986	0.041069	-0.02887	-0.119444	0.000221	0.047067
2.9	0.047854	0.124451	0.072687	-0.0433	0.083843	0.042	-0.029524	-0.12215	0.000226	0.048133
3	0.051535	0.134023	0.078278	-0.04663	0.090292	0.04523	-0.031795	-0.131545	0.000244	0.051835
3.1	0.056672	0.147382	0.08608	-0.051278	0.099292	0.049738	-0.034964	-0.144657	0.000269	0.057002
3.2	0.062525	0.162604	0.09497	-0.056574	0.109546	0.054875	-0.038575	-0.159597	0.000297	0.062888
