R	Re<0|V|1>	Re<0|V|2>	Re<0|V|3>	Re<0|V|4>	Re<1|V|2>	Re<1|V|3>	Re<1|V|4>	Re<2|V|3>	Re<2|V|4>
1.97	-870.7	-364.22	1023.37	354.41	-136.06	1131.77	38.1	46.67	-237.83
1.98	-834.71	-360.86	987.55	353.63	-137.67	1107.55	40.02	47.13	-244.53
1.99	-799.91	-357.55	953.01	352.76	-139.29	1084.14	41.95	47.56	-251.12
2	-766.29	-354.29	919.71	351.86	-140.9	1061.49	43.89	47.97	-257.58
2.01	-733.8	-351.07	887.59	350.88	-142.5	1039.6	45.83	48.36	-263.93
2.02	-702.42	-347.89	856.64	349.85	-144.1	1018.4	47.78	48.73	-270.14
2.03	-672.09	-344.75	826.79	348.74	-145.71	997.94	49.74	49.09	-276.2
2.04	-642.78	-341.64	798	347.58	-147.31	978.15	51.69	49.42	-282.09
2.05	-614.47	-338.58	770.26	346.35	-148.9	959.01	53.66	49.74	-287.82
2.06	-587.12	-335.53	743.52	345.08	-150.48	940.52	55.62	50.04	-293.34
2.07	-560.71	-332.53	717.74	343.72	-152.07	922.63	57.59	50.31	-298.65
2.08	-535.21	-329.56	692.91	342.31	-153.65	905.33	59.55	50.58	-303.75
2.09	-510.56	-326.62	668.96	340.85	-155.23	888.63	61.52	50.82	-308.58
2.1	-486.85	-323.71	645.94	339.32	-156.8	872.41	63.48	51.05	-313.14
2.15	-378.99	-309.57	542.09	330.86	-164.56	800.06	73.21	51.93	-331.57
2.2	-290.36	-296.27	456.89	321.23	-172.04	737.72	82.63	52.45	-340.85
2.25	-215.93	-283.78	385.77	310.83	-179.2	685.97	91.54	52.66	-339.42
2.3	-154.28	-272.26	326.79	300.09	-185.89	642.65	99.74	52.65	-327.36
2.35	-103.4	-261.8	277.88	289.45	-192	606.52	107.1	52.47	-306.96
2.4	-61.59	-252.43	237.35	279.25	-197.45	576.4	113.55	52.18	-281.42
2.45	-27.21	-244.11	203.64	269.73	-202.16	551.21	119.07	51.83	-253.92
2.5	1.06	-236.77	175.51	261.02	-206.09	529.95	123.69	51.44	-226.56
2.55	24.15	-230.33	152.18	253.15	-209.24	512.06	127.46	51.01	-200.62
2.6	42.89	-224.64	132.86	246.09	-211.61	496.75	130.45	50.56	-176.75
2.65	58.09	-219.62	116.78	239.8	-213.26	483.44	132.76	50.09	-155.06
2.7	70.27	-215.12	103.47	234.16	-214.15	471.81	134.39	49.57	-135.63
2.75	80.01	-211.03	92.4	229.09	-214.34	461.35	135.44	49.02	-118.27
2.8	87.71	-207.26	83.19	224.52	-213.88	451.79	135.97	48.43	-102.81
2.85	93.7	-203.75	75.48	220.35	-212.81	442.85	136.03	47.8	-89.04
2.9	98.29	-200.43	69	216.52	-211.16	434.35	135.66	47.13	-76.74
3	104.07	-194.13	58.91	209.63	-206.33	418.07	133.81	45.64	-55.94
3.1	106.48	-188.06	51.54	203.44	-199.74	402.11	130.74	43.98	-39.23
3.2	106.47	-182.01	45.99	197.66	-191.72	386.03	126.7	42.19	-25.65
3.3	104.78	-175.89	41.61	192.09	-182.6	369.71	121.9	40.27	-14.57
3.4	101.8	-169.66	38.05	186.6	-172.69	353.02	116.56	38.27	-5.45
3.5	97.93	-163.26	35.04	181.1	-162.25	336.08	110.82	36.22	2.02
3.6	93.32	-156.72	32.42	175.49	-151.55	318.94	104.86	34.15	8.19
3.7	88.35	-150.03	30	169.72	-140.78	301.85	98.76	32.1	13.18
3.8	83.09	-143.22	27.75	163.8	-130.13	284.86	92.65	30.07	17.19
3.9	77.63	-136.31	25.65	157.67	-119.74	268.08	86.61	28.1	20.32
4	72.08	-129.33	23.67	151.33	-109.73	251.61	80.69	26.2	22.73
4.1	66.5	-122.31	21.78	144.8	-100.18	235.53	74.96	24.37	24.43
4.2	61	-115.27	19.97	138.08	-91.15	219.92	69.45	22.62	25.55
4.3	55.62	-108.26	18.25	131.19	-82.67	204.83	64.17	20.96	26.14
4.4	50.42	-101.3	16.63	124.16	-74.77	190.27	59.16	19.38	26.29
4.5	45.43	-94.44	15.09	117.07	-67.45	176.31	54.41	17.89	26.06
4.6	40.73	-87.7	13.68	109.91	-60.64	163.18	49.9	16.46	25.45
4.7	36.28	-81.15	12.34	102.79	-54.46	150.42	45.7	15.14	24.7
4.8	32.15	-74.82	11.09	95.75	-48.82	138.33	41.78	13.89	23.71
4.9	28.36	-68.76	9.93	88.84	-43.71	126.9	38.12	12.73	22.59
5	24.89	-62.96	8.87	82.11	-39.07	116.14	34.71	11.64	21.36
5.1	21.75	-57.47	7.91	75.61	-34.89	106.06	31.55	10.62	20.12
5.2	18.9	-52.32	7.07	69.39	-31.11	96.62	28.63	9.67	18.84
5.3	16.4	-47.48	6.29	63.49	-27.73	87.89	25.94	8.79	17.56
5.4	14.13	-43	5.63	57.9	-24.7	79.74	23.47	7.97	16.39
5.5	12.15	-38.86	5.04	52.67	-21.98	72.26	21.2	7.22	15.19
5.6	10.41	-35.04	4.51	47.79	-19.56	65.38	19.13	6.53	14.05
5.7	8.9	-31.54	4.06	43.25	-17.4	59.06	17.24	5.89	12.96
5.8	7.58	-28.34	3.67	39.07	-15.47	53.3	15.51	5.31	11.94
5.9	6.43	-25.43	3.32	35.22	-13.75	48.03	13.94	4.77	10.97
6	5.44	-22.8	3.01	31.7	-12.22	43.26	12.52	4.29	10.07
6.2	3.85	-18.25	2.51	25.56	-9.65	34.94	10.07	3.45	8.45
6.4	2.69	-14.57	2.1	20.5	-7.64	28.09	8.08	2.76	7.04
6.6	1.83	-11.58	1.79	16.36	-6.03	22.49	6.46	2.2	5.84
6.8	1.22	-9.18	1.53	13	-4.74	18.03	5.14	1.74	4.86
7	0.78	-7.24	1.32	10.28	-3.72	14.36	4.08	1.38	4
