R	Re<0|V|1>	Re<0|V|2>	Re<0|V|3>	Re<0|V|4>	Re<1|V|2>	Re<1|V|3>	Re<1|V|4>	Re<2|V|3>	Re<2|V|4>	Re<3|V|4>
1.97	0.090958	-0.147773	0.060201	0.059853	-0.029796	0.107051	0.0132	0.010668	0.003325	0.000318
1.98	0.093247	-0.151492	0.061716	0.061359	-0.030546	0.109746	0.013533	0.010937	0.003407	0.000326
1.99	0.095534	-0.155207	0.063229	0.062864	-0.031295	0.112436	0.013864	0.011205	0.003489	0.000334
2	0.097812	-0.158908	0.064737	0.064363	-0.032041	0.115117	0.014195	0.011472	0.003571	0.000342
2.01	0.100075	-0.162585	0.066235	0.065852	-0.032782	0.117781	0.014524	0.011738	0.003653	0.00035
2.02	0.102317	-0.166228	0.067719	0.067328	-0.033517	0.12042	0.014849	0.012001	0.003733	0.000358
2.03	0.104533	-0.169827	0.069185	0.068785	-0.034243	0.123028	0.015171	0.012261	0.003813	0.000366
2.04	0.106714	-0.173371	0.070629	0.070221	-0.034957	0.125595	0.015487	0.012517	0.003891	0.000374
2.05	0.108855	-0.176849	0.072046	0.07163	-0.035659	0.128115	0.015798	0.012768	0.003968	0.000381
2.06	0.110948	-0.18025	0.073431	0.073007	-0.036344	0.130578	0.016102	0.013013	0.004043	0.000388
2.07	0.112987	-0.183562	0.074781	0.074349	-0.037012	0.132978	0.016398	0.013252	0.004116	0.000396
2.08	0.114964	-0.186774	0.076089	0.07565	-0.03766	0.135305	0.016684	0.013484	0.004187	0.000402
2.09	0.116873	-0.189875	0.077352	0.076906	-0.038285	0.137551	0.016961	0.013708	0.004255	0.000409
2.1	0.118706	-0.192854	0.078566	0.078112	-0.038886	0.139709	0.017228	0.013923	0.00432	0.000416
2.15	0.126513	-0.205536	0.083732	0.083249	-0.041443	0.148896	0.01836	0.014839	0.004597	0.000443
2.2	0.131546	-0.213713	0.087063	0.086561	-0.043092	0.15482	0.019091	0.015429	0.004773	0.000461
2.25	0.133373	-0.216681	0.088273	0.087763	-0.04369	0.15697	0.019356	0.015643	0.004831	0.000467
