T, K	k_01, cm3/s	k_02, cm3/s	k_03, cm3/s	k_04, cm3/s	k_10, cm3/s	k_12, cm3/s	k_13, cm3/s	k_14, cm3/s	k_20, cm3/s	k_21, cm3/s	k_23, cm3/s	k_24, cm3/s	k_30, cm3/s	k_31, cm3/s	k_32, cm3/s	k_34, cm3/s	k_40, cm3/s	k_41, cm3/s	k_42, cm3/s	k_43, cm3/s	
3.000000e+02	6.651167e-15	1.026162e-19	3.048244e-18	8.727600e-23	3.532345e-14	1.006900e-17	5.671767e-14	1.387819e-21	2.946609e-18	5.791153e-17	1.064032e-08	3.258707e-15	9.503237e-16	1.412857e-12	1.119914e-08	2.041319e-18	2.207487e-17	4.232678e-17	1.419222e-12	6.368005e-16
3.500000e+02	1.641212e-14	2.541140e-19	1.324981e-17	1.300082e-21	7.123383e-14	1.817360e-17	1.700196e-13	1.383920e-20	4.497971e-18	9.220414e-17	1.285740e-08	1.671548e-14	1.816945e-15	2.482348e-12	1.277757e-08	9.745601e-18	4.472797e-17	8.478610e-17	2.484587e-12	1.199973e-15
4.000000e+02	3.506336e-14	4.973342e-19	4.229367e-17	1.012645e-20	1.281604e-13	2.889350e-17	4.046244e-13	8.154736e-20	7.518283e-18	1.513082e-16	1.478864e-08	5.733357e-14	3.091127e-15	3.990736e-12	1.413647e-08	3.207813e-17	7.865235e-17	1.538406e-16	3.849694e-12	2.003553e-15
4.500000e+02	6.625580e-14	8.344378e-19	1.086131e-16	5.089712e-20	2.094424e-13	4.288050e-17	8.207485e-13	3.411160e-19	1.296444e-17	2.471068e-16	1.646442e-08	1.502661e-13	4.847267e-15	5.997875e-12	1.531585e-08	8.230586e-17	1.250915e-16	2.630084e-16	5.487793e-12	3.075197e-15
5.000000e+02	1.131523e-13	1.262641e-18	2.393966e-16	1.877038e-19	3.167030e-13	6.191746e-17	1.482031e-12	1.131982e-18	2.194096e-17	3.940918e-16	1.792043e-08	3.260691e-13	7.205489e-15	8.549023e-12	1.634801e-08	1.773268e-16	1.849568e-16	4.319011e-16	7.369001e-12	4.445705e-15
5.500000e+02	1.780476e-13	1.785697e-18	4.744055e-16	5.519979e-19	4.500745e-13	8.967875e-17	2.450638e-12	3.189286e-18	3.561055e-17	6.108361e-16	1.919028e-08	6.165399e-13	1.037011e-14	1.167341e-11	1.725872e-08	3.365667e-16	2.592482e-16	6.864609e-16	9.463889e-12	6.158734e-15
6.000000e+02	2.622642e-13	2.429506e-18	8.731479e-16	1.369675e-18	6.086140e-13	1.327876e-16	3.783294e-12	7.948006e-18	5.514403e-17	9.216005e-16	2.030315e-08	1.051104e-12	1.465625e-14	1.538441e-11	1.806837e-08	5.813336e-16	3.494457e-16	1.058185e-15	1.174503e-11	8.278294e-15
6.500000e+02	3.662505e-13	3.262903e-18	1.524679e-15	2.983890e-18	7.907692e-13	2.022218e-16	5.528459e-12	1.795995e-17	8.172217e-17	1.357530e-15	2.128349e-08	1.654422e-12	2.050021e-14	1.968103e-11	1.879309e-08	9.348312e-16	4.577616e-16	1.582573e-15	1.418754e-11	1.089197e-14
7.000000e+02	4.897901e-13	4.423657e-18	2.558012e-15	5.873858e-18	9.948083e-13	3.150063e-16	7.724659e-12	3.738314e-17	1.165759e-16	1.957119e-15	2.215146e-08	2.445231e-12	2.845463e-14	2.455005e-11	1.944569e-08	1.422651e-15	5.872133e-16	2.297129e-15	1.676908e-11	1.410947e-14
7.500000e+02	6.322513e-13	6.147833e-18	4.150887e-15	1.067205e-17	1.219166e-12	4.960051e-16	1.039983e-11	7.246877e-17	1.610406e-16	2.765850e-15	2.292356e-08	3.436126e-12	3.917165e-14	2.996848e-11	2.003635e-08	2.073404e-15	7.415298e-16	3.239213e-15	1.946963e-11	1.805743e-14
8.000000e+02	7.928251e-13	8.798937e-18	6.535152e-15	1.818147e-17	1.462688e-12	7.795421e-16	1.357144e-11	1.319591e-16	2.166013e-16	3.835093e-15	2.361332e-08	4.633948e-12	5.337795e-14	3.590601e-11	2.057331e-08	2.919145e-15	9.249351e-16	4.444017e-15	2.227125e-11	2.287170e-14
8.500000e+02	9.707248e-13	1.289250e-17	9.997874e-15	2.939239e-17	1.724774e-12	1.210567e-15	1.724720e-11	2.273223e-16	2.849146e-16	5.220426e-15	2.423189e-08	6.040490e-12	7.184527e-14	4.232709e-11	2.106324e-08	3.995391e-15	1.141866e-15	5.942827e-15	2.515769e-11	2.868874e-14
9.000000e+02	1.165334e-12	1.911214e-17	1.487807e-14	4.549601e-17	2.005432e-12	1.845141e-15	2.142609e-11	3.727793e-16	3.678004e-16	6.979615e-15	2.478849e-08	7.653326e-12	9.535938e-14	4.919285e-11	2.151163e-08	5.340636e-15	1.396676e-15	7.761687e-15	2.811411e-11	3.563732e-14
9.500000e+02	1.376300e-12	2.831430e-17	2.155955e-14	6.789105e-17	2.305264e-12	2.750124e-15	2.609957e-11	5.851133e-16	4.672062e-16	9.170444e-15	2.529084e-08	9.466631e-12	1.246900e-13	5.646249e-11	2.192305e-08	6.995420e-15	1.693361e-15	9.920512e-15	3.112684e-11	4.383139e-14
1.000000e+03	1.603584e-12	4.152081e-17	3.046081e-14	9.818030e-17	2.625397e-12	4.002062e-15	3.125280e-11	8.832813e-16	5.851506e-16	1.184861e-14	2.574541e-08	1.147194e-11	1.605631e-13	6.409448e-11	2.230136e-08	9.001087e-15	2.035340e-15	1.243263e-14	3.418321e-11	5.336467e-14
1.050000e+03	1.847458e-12	5.989978e-17	4.202287e-14	1.381551e-16	2.967376e-12	5.685369e-15	3.686587e-11	1.287873e-15	7.236530e-16	1.506579e-14	2.615772e-08	1.365881e-11	2.036380e-13	7.204739e-11	2.264983e-08	1.139836e-14	2.425294e-15	1.530471e-14	3.727131e-11	6.430711e-14
