T, K	k_01, cm3/s	k_02, cm3/s	k_03, cm3/s	k_04, cm3/s	k_10, cm3/s	k_12, cm3/s	k_13, cm3/s	k_14, cm3/s	k_20, cm3/s	k_21, cm3/s	k_23, cm3/s	k_24, cm3/s	k_30, cm3/s	k_31, cm3/s	k_32, cm3/s	k_34, cm3/s	k_40, cm3/s	k_41, cm3/s	k_42, cm3/s	k_43, cm3/s	
3.000000e+02	1.741436e-12	9.849120e-17	4.695067e-18	3.097641e-20	2.698434e-11	1.730391e-14	7.501444e-16	3.598482e-19	8.391738e-14	9.497924e-13	4.147043e-12	1.990315e-18	7.931749e-15	8.188381e-14	8.242283e-12	1.241109e-17	2.030137e-10	2.417927e-09	1.391090e-14	1.994742e-14
3.500000e+02	2.735721e-12	3.557002e-16	1.989049e-17	2.641191e-19	2.866062e-11	4.050538e-14	1.982360e-15	2.091148e-18	1.156464e-13	1.254513e-12	6.637746e-12	1.151568e-17	1.163159e-14	1.106805e-13	1.195954e-11	8.156874e-17	1.620229e-10	1.930756e-09	1.743696e-14	4.471099e-14
4.000000e+02	3.899993e-12	9.837987e-16	6.296664e-17	1.310563e-18	3.046344e-11	7.867250e-14	4.299291e-15	7.767190e-18	1.552816e-13	1.586332e-12	9.788103e-12	4.978720e-17	1.661442e-14	1.451805e-13	1.638440e-11	3.559840e-16	1.331865e-10	1.587709e-09	2.561377e-14	8.811072e-14
4.500000e+02	5.211677e-12	2.257698e-15	1.625769e-16	4.535228e-18	3.239837e-11	1.343646e-13	8.120972e-15	2.142773e-17	2.031234e-13	1.940374e-12	1.358749e-11	1.685672e-16	2.309714e-14	1.854689e-13	2.147891e-11	1.160569e-15	1.119962e-10	1.335440e-09	3.984767e-14	1.553125e-13
5.000000e+02	6.656705e-12	4.515997e-15	3.609171e-16	1.220006e-17	3.447200e-11	2.091646e-13	1.386734e-14	4.804342e-17	2.591383e-13	2.312664e-12	1.801500e-11	4.672210e-16	3.124365e-14	2.316217e-13	2.720320e-11	3.053248e-15	9.588668e-11	1.143551e-09	6.138269e-14	2.501241e-13
5.500000e+02	8.227029e-12	8.133281e-15	7.129503e-16	2.733517e-17	3.668892e-11	3.038337e-13	2.193988e-14	9.270390e-17	3.230168e-13	2.700046e-12	2.304302e-11	1.102219e-15	4.114852e-14	2.836933e-13	3.351613e-11	6.828409e-15	8.330228e-11	9.935849e-10	9.107033e-14	3.745601e-13
6.000000e+02	9.918129e-12	1.348926e-14	1.283384e-15	5.341231e-17	3.905026e-11	4.185061e-13	3.270875e-14	1.599214e-16	3.942346e-13	3.100010e-12	2.863880e-11	2.284124e-15	5.283399e-14	3.416934e-13	4.037474e-11	1.346286e-14	7.325022e-11	8.737528e-10	1.292629e-13	5.287679e-13
6.500000e+02	1.172705e-11	2.094046e-14	2.142143e-15	9.395518e-17	4.155343e-11	5.528595e-13	4.650226e-14	2.532049e-16	4.721108e-13	3.510493e-12	3.476491e-11	4.262356e-15	6.625613e-14	4.055617e-13	4.773342e-11	2.402157e-14	6.507038e-11	7.762105e-10	1.758157e-13	7.112373e-13
7.000000e+02	1.365103e-11	3.079772e-14	3.359296e-15	1.521944e-16	4.419220e-11	7.062435e-13	6.359728e-14	3.748953e-16	5.558572e-13	3.929693e-12	4.137938e-11	7.302301e-15	8.131588e-14	4.751487e-13	5.554322e-11	3.955008e-14	5.830848e-11	6.955567e-10	2.301624e-13	9.191732e-13
7.500000e+02	1.568660e-11	4.331073e-14	5.000298e-15	2.308206e-16	4.695721e-11	8.777654e-13	8.421058e-14	5.261865e-16	6.446213e-13	4.355930e-12	4.843585e-11	1.166063e-14	9.787175e-14	5.502041e-13	6.375157e-11	6.097744e-14	5.264277e-11	6.279637e-10	2.914246e-13	1.148919e-12
8.000000e+02	1.782915e-11	5.865932e-14	7.122092e-15	3.318449e-16	4.983648e-11	1.066347e-12	1.084922e-13	7.072506e-16	7.375211e-13	4.787544e-12	5.588404e-11	1.756369e-14	1.157525e-13	6.303766e-13	7.230262e-11	8.904443e-14	4.783962e-11	5.706511e-10	3.585275e-13	1.396352e-12
8.500000e+02	2.007269e-11	7.695081e-14	9.770349e-15	4.565516e-16	5.281606e-11	1.270765e-12	1.365214e-13	9.174091e-16	8.336744e-13	5.222856e-12	6.367052e-11	2.519178e-14	1.347684e-13	7.152218e-13	8.113801e-11	1.242621e-13	4.372575e-11	5.215558e-10	4.303021e-13	1.657217e-12
9.000000e+02	2.240989e-11	9.822193e-14	1.297789e-14	6.055182e-16	5.588056e-11	1.489676e-12	1.683061e-13	1.155311e-15	9.322218e-13	5.660145e-12	7.173980e-11	3.467014e-14	1.547211e-13	8.042172e-13	9.019800e-11	1.668985e-13	4.017019e-11	4.791180e-10	5.055673e-13	1.927367e-12
9.500000e+02	2.483219e-11	1.224443e-13	1.676415e-14	7.786801e-16	5.901372e-11	1.721649e-12	2.037858e-13	1.419102e-15	1.032345e-12	6.097673e-12	8.003545e-11	4.606617e-14	1.754115e-13	8.967822e-13	9.942272e-11	2.169880e-13	3.707232e-11	4.421390e-10	5.831897e-13	2.202941e-12
1.000000e+03	2.733002e-11	1.495320e-13	2.113552e-14	9.754193e-16	6.219893e-11	1.965186e-12	2.428365e-13	1.706570e-15	1.133279e-12	6.533703e-12	8.850133e-11	5.939152e-14	1.966461e-13	9.922986e-13	1.087534e-10	2.743558e-13	3.435368e-11	4.096840e-10	6.621236e-13	2.480461e-12
1.050000e+03	2.989303e-11	1.793507e-13	2.608631e-14	1.194663e-15	6.541959e-11	2.218752e-12	2.852794e-13	2.015271e-15	1.234322e-12	6.966535e-12	9.708271e-11	7.460763e-14	2.182413e-13	1.090131e-12	1.181336e-10	3.386517e-13	3.195232e-11	3.810144e-10	7.414333e-13	2.756883e-12
