T, K	k_01, cm3/s	k_02, cm3/s	k_03, cm3/s	k_04, cm3/s	k_10, cm3/s	k_12, cm3/s	k_13, cm3/s	k_14, cm3/s	k_20, cm3/s	k_21, cm3/s	k_23, cm3/s	k_24, cm3/s	k_30, cm3/s	k_31, cm3/s	k_32, cm3/s	k_34, cm3/s	k_40, cm3/s	k_41, cm3/s	k_42, cm3/s	k_43, cm3/s	
3.000000e+02	1.744008e-12	9.828415e-17	4.692248e-18	3.093312e-20	2.704774e-11	1.728216e-14	7.492869e-16	3.594715e-19	8.374043e-14	9.485976e-13	4.141899e-12	1.978428e-18	7.927779e-15	8.179079e-14	8.232086e-12	1.233885e-17	4.986613e-11	3.119232e-10	7.795379e-15	1.905155e-14
3.500000e+02	2.738753e-12	3.548847e-16	1.985634e-17	2.638549e-19	2.871125e-11	4.044612e-14	1.978599e-15	2.089585e-18	1.153818e-13	1.252676e-12	6.624340e-12	1.148397e-17	1.161221e-14	1.104712e-13	1.193541e-11	8.131709e-17	3.992088e-11	2.496104e-10	1.255614e-14	4.395119e-14
4.000000e+02	3.903207e-12	9.811004e-16	6.280581e-17	1.309584e-18	3.050411e-11	7.853011e-14	4.288348e-15	7.762781e-18	1.548576e-13	1.583459e-12	9.761853e-12	4.978413e-17	1.657241e-14	1.448118e-13	1.634049e-11	3.556280e-16	3.289539e-11	2.055932e-10	2.162697e-14	8.751173e-14
4.500000e+02	5.214680e-12	2.250496e-15	1.620804e-16	4.532617e-18	3.243016e-11	1.340700e-13	8.096398e-15	2.141818e-17	2.024786e-13	1.936117e-12	1.354434e-11	1.690191e-16	2.302693e-14	1.849087e-13	2.141072e-11	1.161755e-15	2.771636e-11	1.731462e-10	3.659268e-14	1.550414e-13
5.000000e+02	6.658967e-12	4.500058e-15	3.597390e-16	1.219458e-17	3.449498e-11	2.086318e-13	1.382125e-14	4.802683e-17	2.582281e-13	2.306768e-12	1.795200e-11	4.698932e-16	3.114189e-14	2.308529e-13	2.710809e-11	3.063085e-15	2.376929e-11	1.484191e-10	5.884564e-14	2.505613e-13
5.500000e+02	8.227893e-12	8.102880e-15	7.106249e-16	2.732584e-17	3.670258e-11	3.029703e-13	2.186430e-14	9.268159e-17	3.218148e-13	2.692367e-12	2.295863e-11	1.112194e-15	4.101446e-14	2.827173e-13	3.339340e-11	6.866986e-15	2.067968e-11	1.290649e-10	8.937643e-14	3.763543e-13
6.000000e+02	9.916851e-12	1.343767e-14	1.279392e-15	5.339980e-17	3.905387e-11	4.172252e-13	3.259748e-14	1.599038e-16	3.927333e-13	3.090515e-12	2.853303e-11	2.312839e-15	5.266972e-14	3.405324e-13	4.022564e-11	1.357411e-14	1.820765e-11	1.135804e-10	1.286661e-13	5.328518e-13
6.500000e+02	1.172286e-11	2.086071e-14	2.136026e-15	9.394442e-17	4.154626e-11	5.510912e-13	4.635313e-14	2.532209e-16	4.703198e-13	3.499257e-12	3.463944e-11	4.331304e-15	6.606693e-14	4.042626e-13	4.756115e-11	2.428571e-14	1.619318e-11	1.009631e-10	1.766799e-13	7.188007e-13
7.000000e+02	1.364319e-11	3.068347e-14	3.350816e-15	1.521987e-16	4.417371e-11	7.039446e-13	6.341469e-14	3.750048e-16	5.538028e-13	3.916893e-12	4.123760e-11	7.446677e-15	8.111051e-14	4.737859e-13	5.535292e-11	4.009506e-14	1.452589e-11	9.052112e-11	2.329345e-13	9.316034e-13
7.500000e+02	1.567448e-11	4.315722e-14	4.989624e-15	2.308668e-16	4.692717e-11	8.749274e-13	8.400809e-14	5.264941e-16	6.423446e-13	4.341837e-12	4.828293e-11	1.193223e-14	9.766263e-14	5.488822e-13	6.355030e-11	6.198715e-14	1.312740e-11	8.176342e-11	2.966040e-13	1.167724e-12
8.000000e+02	1.781229e-11	5.846426e-14	7.110003e-15	3.319798e-16	4.979502e-11	1.063003e-12	1.082948e-13	7.079191e-16	7.350769e-13	4.772518e-12	5.572688e-11	1.803254e-14	1.155557e-13	6.292304e-13	7.209930e-11	9.076230e-14	1.194072e-11	7.433278e-11	3.666353e-13	1.423084e-12
8.500000e+02	2.005082e-11	7.671513e-14	9.758422e-15	4.568474e-16	5.276370e-11	1.266989e-12	1.363673e-13	9.186703e-16	8.311296e-13	5.207329e-12	6.351767e-11	2.594637e-14	1.346033e-13	7.144145e-13	8.094322e-11	1.269898e-13	1.092348e-11	6.796383e-11	4.418542e-13	1.693396e-12
9.000000e+02	2.238300e-11	9.795041e-14	1.296866e-14	6.060781e-16	5.581825e-11	1.485592e-12	1.682478e-13	1.157473e-15	9.296532e-13	5.644618e-12	7.160121e-11	3.581622e-14	1.546103e-13	8.039375e-13	9.002375e-11	1.709902e-13	1.004364e-11	6.245571e-11	5.210526e-13	1.974427e-12
9.500000e+02	2.480050e-11	1.221459e-13	1.676122e-14	7.796419e-16	5.894281e-11	1.717423e-12	2.038901e-13	1.422551e-15	1.029837e-12	6.082696e-12	7.992229e-11	4.772449e-14	1.753800e-13	8.972392e-13	9.928214e-11	2.228416e-13	9.276524e-12	5.765389e-11	6.030536e-13	2.262182e-12
1.000000e+03	2.729402e-11	1.492201e-13	2.114362e-14	9.769578e-16	6.212109e-11	1.961026e-12	2.431844e-13	1.711768e-15	1.130923e-12	6.519863e-12	8.842566e-11	6.169475e-14	1.967204e-13	9.937162e-13	1.086604e-10	2.824020e-13	8.602894e-12	5.343779e-11	6.867570e-13	2.553021e-12
1.050000e+03	2.985349e-11	1.790429e-13	2.611131e-14	1.196990e-15	6.533683e-11	2.214902e-12	2.859642e-13	2.022750e-15	1.232211e-12	6.954441e-12	9.705720e-11	7.769690e-14	2.184490e-13	1.092742e-12	1.181026e-10	3.493420e-13	8.007526e-12	4.971204e-11	7.711665e-13	2.843725e-12
