T, K	k_01, cm3/s	k_02, cm3/s	k_03, cm3/s	k_04, cm3/s	k_10, cm3/s	k_12, cm3/s	k_13, cm3/s	k_14, cm3/s	k_20, cm3/s	k_21, cm3/s	k_23, cm3/s	k_24, cm3/s	k_30, cm3/s	k_31, cm3/s	k_32, cm3/s	k_34, cm3/s	k_40, cm3/s	k_41, cm3/s	k_42, cm3/s	k_43, cm3/s	
3.000000e+02	1.861379e-12	7.123263e-17	2.306540e-18	2.333482e-22	2.886805e-11	1.427239e-14	3.225348e-16	2.915127e-21	6.071452e-14	7.833697e-13	4.850423e-12	3.213102e-18	3.914617e-15	3.522112e-14	9.640279e-12	3.131911e-17	5.706945e-12	7.807885e-11	1.264804e-14	4.828532e-14
3.500000e+02	2.919435e-12	2.711919e-16	1.149189e-17	2.032744e-21	3.060540e-11	3.299261e-14	9.703940e-16	1.768756e-20	8.818981e-14	1.021805e-12	7.660759e-12	2.182709e-17	6.739791e-15	5.419934e-14	1.380276e-11	1.884433e-16	4.566758e-12	6.247755e-11	2.346773e-14	1.018001e-13
4.000000e+02	4.155680e-12	7.782239e-16	4.090964e-17	1.033375e-20	3.247722e-11	6.374900e-14	2.330498e-15	7.061202e-20	1.228426e-13	1.285396e-12	1.112328e-11	9.618399e-17	1.081351e-14	7.872124e-14	1.861939e-11	7.510527e-16	3.761351e-12	5.145702e-11	4.141977e-14	1.847785e-13
4.500000e+02	5.544894e-12	1.833654e-15	1.147288e-16	3.675291e-20	3.448377e-11	1.088400e-13	4.776894e-15	2.148721e-19	1.649649e-13	1.571758e-12	1.520886e-11	3.150990e-16	1.631608e-14	1.091225e-13	2.404195e-11	2.261948e-15	3.167664e-12	4.333344e-11	6.797491e-14	3.018402e-13
5.000000e+02	7.070398e-12	3.739445e-15	2.697972e-16	1.019751e-19	3.662630e-11	1.699215e-13	8.718300e-15	5.433052e-19	2.145496e-13	1.878767e-12	1.988465e-11	8.335648e-16	2.336833e-14	1.456463e-13	3.002644e-11	5.572918e-15	2.715238e-12	3.714272e-11	1.042474e-13	4.558504e-13
5.500000e+02	8.721497e-12	6.833127e-15	5.547953e-16	2.365560e-19	3.890444e-11	2.480745e-13	1.457150e-14	1.202412e-18	2.713280e-13	2.204559e-12	2.511596e-11	1.878084e-15	3.202794e-14	1.884429e-13	3.653123e-11	1.181820e-14	2.361132e-12	3.229727e-11	1.508503e-13	6.477076e-13
6.000000e+02	1.049105e-11	1.145909e-14	1.027308e-15	4.803402e-19	4.131517e-11	3.439020e-13	2.273895e-14	2.404730e-18	3.348218e-13	2.547442e-12	3.086643e-11	3.736691e-15	4.229324e-14	2.375666e-13	4.351525e-11	2.232495e-14	2.077841e-12	2.842074e-11	2.078422e-13	8.763730e-13
6.500000e+02	1.237360e-11	1.794185e-14	1.749657e-15	8.810406e-19	4.385255e-11	4.576159e-13	3.359036e-14	4.434665e-18	4.043985e-13	2.905803e-12	3.709761e-11	6.736166e-15	5.411116e-14	2.929704e-13	5.093633e-11	3.848634e-14	1.847017e-12	2.526207e-11	2.747605e-13	1.139126e-12
7.000000e+02	1.436412e-11	2.656473e-14	2.784395e-15	1.492362e-18	4.650799e-11	5.891042e-13	4.744780e-14	7.644094e-18	4.793212e-13	3.278019e-12	4.376844e-11	1.121249e-14	6.738697e-14	3.545021e-13	5.875007e-11	6.162849e-14	1.656002e-12	2.264807e-11	3.507158e-13	1.431962e-12
7.500000e+02	1.645719e-11	3.755514e-14	4.190154e-15	2.371834e-18	4.927055e-11	7.379789e-13	6.457396e-14	1.243727e-17	5.587928e-13	3.662389e-12	5.083490e-11	1.748117e-14	8.199431e-14	4.219037e-13	6.690927e-11	9.289649e-14	1.495809e-12	2.045578e-11	4.345145e-13	1.750046e-12
8.000000e+02	1.864661e-11	5.107650e-14	6.018283e-15	3.578421e-18	5.212750e-11	9.036109e-13	8.516384e-14	1.924762e-17	6.419916e-13	4.057105e-12	5.825013e-11	2.581258e-14	9.778455e-14	4.948159e-13	7.536393e-11	1.331739e-13	1.359903e-12	1.859576e-11	5.247817e-13	2.088125e-12
8.500000e+02	2.092521e-11	6.722583e-14	8.310467e-15	5.170037e-18	5.506478e-11	1.085160e-12	1.093401e-13	2.851061e-17	7.281000e-13	4.460255e-12	6.596482e-11	3.641478e-14	1.145952e-13	5.727895e-13	8.406180e-11	1.830396e-13	1.243427e-12	1.700156e-11	6.200712e-13	2.440890e-12
9.000000e+02	2.328486e-11	8.603577e-14	1.109733e-14	7.201101e-18	5.806743e-11	1.281604e-12	1.371519e-13	4.063707e-17	8.163267e-13	4.869839e-12	7.392799e-11	4.942468e-14	1.322571e-13	6.553005e-13	9.294929e-11	2.427590e-13	1.142704e-12	1.562290e-11	7.189506e-13	2.803232e-12
9.500000e+02	2.571655e-11	1.074798e-13	1.439793e-14	9.720343e-18	6.112012e-11	1.491767e-12	1.685777e-13	5.599021e-17	9.059230e-13	5.283811e-12	8.208796e-11	6.490629e-14	1.506004e-13	7.417691e-13	1.019725e-10	3.123007e-13	1.054907e-12	1.442108e-11	8.200642e-13	3.170431e-12
1.000000e+03	2.821061e-11	1.314795e-13	1.821997e-14	1.276900e-17	6.420741e-11	1.714354e-12	2.035304e-13	7.486833e-17	9.961943e-13	5.700121e-12	9.039330e-11	8.285472e-14	1.694594e-13	8.315795e-13	1.110785e-10	3.913714e-13	9.778273e-13	1.336590e-11	9.221731e-13	3.538262e-12
1.050000e+03	3.075689e-11	1.579128e-13	2.256055e-14	1.637952e-17	6.731420e-11	1.947980e-12	2.418648e-13	9.749391e-17	1.086507e-12	6.116759e-12	9.879384e-11	1.032038e-13	1.886761e-13	9.240988e-13	1.202159e-10	4.794601e-13	9.097207e-13	1.243349e-11	1.024178e-12	3.903048e-12
