T, K	k_01, cm3/s	k_02, cm3/s	k_03, cm3/s	k_04, cm3/s	k_10, cm3/s	k_12, cm3/s	k_13, cm3/s	k_14, cm3/s	k_20, cm3/s	k_21, cm3/s	k_23, cm3/s	k_24, cm3/s	k_30, cm3/s	k_31, cm3/s	k_32, cm3/s	k_34, cm3/s	k_40, cm3/s	k_41, cm3/s	k_42, cm3/s	k_43, cm3/s	
3.000000e+02	7.336142e-15	1.121953e-17	1.501473e-17	1.902714e-20	3.691706e-14	1.040078e-14	9.742277e-15	1.732477e-17	3.002948e-15	1.457306e-13	1.822804e-10	1.409599e-16	5.818134e-15	2.428332e-13	1.910009e-10	3.805988e-16	3.441789e-15	2.485719e-13	1.877559e-14	1.009427e-13
3.500000e+02	1.727551e-14	5.657108e-17	7.387409e-17	2.245297e-19	7.147237e-14	2.827193e-14	2.893237e-14	1.562782e-16	6.880391e-15	2.833716e-13	2.214161e-10	4.995885e-16	1.117230e-14	4.156957e-13	2.239606e-10	2.018175e-15	5.193347e-15	4.277899e-13	5.380430e-14	1.967875e-13
4.000000e+02	3.565278e-14	1.989634e-16	2.493386e-16	1.424544e-18	1.252731e-13	6.392704e-14	6.733131e-14	8.196500e-16	1.333426e-14	4.872823e-13	2.584007e-10	1.644407e-15	1.833822e-14	6.394968e-13	2.557381e-10	7.249061e-15	7.114495e-15	6.499505e-13	1.294773e-13	3.322903e-13
4.500000e+02	6.572080e-14	5.436336e-16	6.460196e-16	5.986488e-18	2.009621e-13	1.251363e-13	1.319224e-13	2.986166e-15	2.275341e-14	7.614374e-13	2.935042e-10	4.983791e-15	2.696765e-14	9.066770e-13	2.865156e-10	1.991650e-14	9.163362e-15	9.047020e-13	2.671007e-13	5.057765e-13
5.000000e+02	1.102035e-13	1.235807e-15	1.385038e-15	1.887822e-17	2.995031e-13	2.193687e-13	2.278918e-13	8.412632e-15	3.524524e-14	1.105336e-12	3.270024e-10	1.336282e-14	3.676181e-14	1.208296e-12	3.164334e-10	4.510897e-14	1.132606e-14	1.181024e-12	4.860316e-13	7.124475e-13
5.500000e+02	1.709529e-13	2.446897e-15	2.586948e-15	4.834347e-17	4.204460e-13	3.535221e-13	3.582243e-13	1.962893e-14	5.069480e-14	1.516098e-12	3.591287e-10	3.139780e-14	4.761663e-14	1.536823e-12	3.455952e-10	8.845377e-14	1.360239e-14	1.468724e-12	8.001889e-13	9.458506e-13
6.000000e+02	2.488624e-13	4.356580e-15	4.364543e-15	1.059270e-16	5.623106e-13	5.339302e-13	5.240186e-13	3.972085e-14	6.884745e-14	1.989779e-12	3.900634e-10	6.538726e-14	5.966485e-14	1.887437e-12	3.740729e-10	1.553010e-13	1.599543e-14	1.759175e-12	1.216410e-12	1.199043e-12
6.500000e+02	3.439531e-13	7.136052e-15	6.826187e-15	2.058623e-16	7.229653e-13	7.663547e-13	7.251311e-13	7.198667e-14	8.938180e-14	2.521921e-12	4.199378e-10	1.228142e-13	7.324289e-14	2.258142e-12	4.019116e-10	2.500480e-13	1.850530e-14	2.045538e-12	1.734491e-12	1.465351e-12
7.000000e+02	4.555470e-13	1.093528e-14	1.008450e-14	3.640257e-16	8.999432e-13	1.055847e-12	9.608193e-13	1.195748e-13	1.119608e-13	3.107670e-12	4.488425e-10	2.116051e-13	8.881755e-14	2.649200e-12	4.291341e-10	3.757235e-13	2.112635e-14	2.322678e-12	2.348311e-12	1.738778e-12
7.500000e+02	5.824617e-13	1.587490e-14	1.426453e-14	5.967134e-16	1.090677e-12	1.406509e-12	1.230209e-12	1.851826e-13	1.362616e-13	3.741754e-12	4.768354e-10	3.393494e-13	1.069027e-13	3.062286e-12	4.557438e-10	5.338396e-13	2.384667e-14	2.586951e-12	3.047428e-12	2.014192e-12
8.000000e+02	7.231910e-13	2.204230e-14	1.950753e-14	9.194639e-16	1.292659e-12	1.821248e-12	1.532541e-12	2.708553e-13	1.619896e-13	4.418489e-12	5.039499e-10	5.126350e-13	1.279854e-13	3.499651e-12	4.817294e-10	7.244528e-13	2.664906e-14	2.835931e-12	3.818707e-12	2.287352e-12
8.500000e+02	8.760529e-13	2.949083e-14	2.596946e-14	1.346073e-15	1.503533e-12	2.301588e-12	1.867240e-12	3.778895e-13	1.888817e-13	5.131840e-12	5.302005e-10	7.365863e-13	1.524714e-13	3.963452e-12	5.070682e-10	9.463605e-13	2.951257e-14	3.068162e-12	4.647735e-12	2.554863e-12
9.000000e+02	1.039303e-12	3.824135e-14	3.381494e-14	1.887881e-15	1.721149e-12	2.847596e-12	2.233861e-12	5.068258e-13	2.167053e-13	5.875542e-12	5.555892e-10	1.014619e-12	1.806525e-13	4.455280e-12	5.317295e-10	1.197363e-12	3.241417e-14	3.282926e-12	5.519926e-12	2.814090e-12
9.500000e+02	1.211217e-12	4.828520e-14	4.320855e-14	2.553336e-15	1.943577e-12	3.457907e-12	2.631981e-12	6.575046e-13	2.452540e-13	6.643251e-12	5.801090e-10	1.348388e-12	2.126924e-13	4.975906e-12	5.556784e-10	1.474540e-12	3.533032e-14	3.480057e-12	6.421308e-12	3.063055e-12
1.000000e+03	1.390138e-12	5.958800e-14	5.430542e-14	3.347827e-15	2.169108e-12	4.129847e-12	3.061078e-12	8.291632e-13	2.743433e-13	7.428703e-12	6.037480e-10	1.737885e-12	2.486280e-13	5.525187e-12	5.788783e-10	1.774509e-12	3.823816e-14	3.659790e-12	7.339032e-12	3.300338e-12
1.050000e+03	1.574519e-12	7.209387e-14	6.724248e-14	4.273723e-15	2.396242e-12	4.859622e-12	3.520434e-12	1.020550e-12	3.038070e-13	8.225850e-12	6.264921e-10	2.181628e-12	2.883807e-13	6.102091e-12	6.012933e-10	2.093650e-12	4.111638e-14	3.822641e-12	8.261658e-12	3.524981e-12
