T, K	k_01, cm3/s	k_02, cm3/s	k_03, cm3/s	k_04, cm3/s	k_10, cm3/s	k_12, cm3/s	k_13, cm3/s	k_14, cm3/s	k_20, cm3/s	k_21, cm3/s	k_23, cm3/s	k_24, cm3/s	k_30, cm3/s	k_31, cm3/s	k_32, cm3/s	k_34, cm3/s	k_40, cm3/s	k_41, cm3/s	k_42, cm3/s	k_43, cm3/s	
3.000000e+02	3.594775e-15	4.710487e-20	1.667462e-18	3.220843e-23	5.873108e-14	1.019586e-16	2.681249e-14	1.464944e-21	2.291255e-17	3.017309e-15	7.213295e-09	1.207893e-15	2.108462e-15	2.801814e-12	1.438820e-08	9.929723e-19	6.292907e-17	1.189169e-16	3.700106e-12	1.274234e-15
3.500000e+02	9.979937e-15	1.537154e-19	7.931915e-18	4.976145e-22	1.074123e-13	1.589455e-16	8.610547e-14	1.165718e-20	2.640168e-17	2.671946e-15	8.856693e-09	6.407382e-15	3.297305e-15	4.604933e-12	1.602831e-08	5.068727e-18	1.195103e-16	1.780028e-16	6.235101e-12	2.203544e-15
4.000000e+02	2.301932e-14	4.140445e-19	2.720850e-17	4.001742e-21	1.811447e-13	2.199264e-16	2.168438e-13	6.168022e-20	3.094210e-17	2.407225e-15	1.032699e-08	2.265976e-14	4.926478e-15	7.016933e-12	1.737570e-08	1.773218e-17	1.996449e-16	2.705260e-16	9.330413e-12	3.411639e-15
4.500000e+02	4.587034e-14	9.736688e-19	7.400675e-17	2.066219e-20	2.826648e-13	2.846409e-16	4.610416e-13	2.439515e-19	3.661774e-17	2.212576e-15	1.163365e-08	6.106727e-14	7.071870e-15	1.009302e-11	1.849795e-08	4.799742e-17	3.038416e-16	4.071750e-16	1.288074e-11	4.889077e-15
5.000000e+02	8.150956e-14	2.051723e-18	1.704737e-16	7.784155e-20	4.124891e-13	3.563868e-16	8.660826e-13	7.763228e-19	4.338227e-17	2.083997e-15	1.279360e-08	1.359011e-13	9.880800e-15	1.386923e-11	1.944503e-08	1.081551e-16	4.310375e-16	6.006471e-16	1.678590e-11	6.618429e-15
5.500000e+02	1.323694e-13	3.941008e-18	3.483125e-16	2.323794e-19	5.694165e-13	4.414918e-16	1.480873e-12	2.086496e-18	5.118072e-17	2.023674e-15	1.382511e-08	2.628552e-13	1.360086e-14	1.836125e-11	2.025400e-08	2.126526e-16	5.789953e-16	8.636214e-16	2.095483e-11	8.575654e-15
6.000000e+02	2.001633e-13	6.997716e-18	6.518080e-16	5.812386e-19	7.511271e-13	5.489077e-16	2.352197e-12	4.897053e-18	6.002287e-17	2.039004e-15	1.474529e-08	4.572091e-13	1.857733e-14	2.356470e-11	2.095244e-08	3.766011e-16	7.447134e-16	1.206521e-15	2.530583e-11	1.073145e-14
6.500000e+02	2.858709e-13	1.162366e-17	1.141294e-15	1.266687e-18	9.547157e-13	6.898605e-16	3.521662e-12	1.028358e-17	7.000875e-17	2.141209e-15	1.556915e-08	7.323171e-13	2.522365e-14	2.945654e-11	2.156103e-08	6.142914e-16	9.247879e-16	1.635919e-15	2.976610e-11	1.305284e-14
7.000000e+02	3.898247e-13	1.824419e-17	1.895654e-15	2.474167e-18	1.177096e-12	8.774029e-16	5.023425e-12	1.968373e-17	8.131928e-17	2.343664e-15	1.630948e-08	1.098591e-12	3.397724e-14	3.599745e-11	2.209532e-08	9.379772e-16	1.115702e-15	2.153886e-15	3.427129e-11	1.550486e-14
7.500000e+02	5.118432e-13	2.728471e-17	3.012598e-15	4.423362e-18	1.415273e-12	1.125785e-15	6.882762e-12	3.485005e-17	9.418731e-17	2.660183e-15	1.697696e-08	1.562979e-12	4.525346e-14	4.313471e-11	2.256713e-08	1.357048e-15	1.314038e-15	2.758141e-15	3.876530e-11	1.805222e-14
8.000000e+02	6.513677e-13	3.914845e-17	4.606221e-15	7.354585e-18	1.666489e-12	1.449675e-15	9.115422e-12	5.775540e-17	1.088625e-16	3.103482e-15	1.758041e-08	2.128866e-12	5.940720e-14	5.080536e-11	2.298552e-08	1.877604e-15	1.516624e-15	3.442739e-15	4.320008e-11	2.066077e-14
8.500000e+02	8.075828e-13	5.419722e-17	6.802141e-15	1.151316e-17	1.928299e-12	1.863311e-15	1.172766e-11	9.046979e-17	1.255788e-16	3.683980e-15	1.812716e-08	2.796283e-12	7.670652e-14	5.893940e-11	2.335748e-08	2.502388e-15	1.720619e-15	4.199006e-15	4.753536e-11	2.329855e-14
9.000000e+02	9.795089e-13	7.273642e-17	9.731066e-15	1.713425e-17	2.198570e-12	2.379713e-15	1.471682e-11	1.350298e-16	1.445295e-16	4.409015e-15	1.862324e-08	3.562314e-12	9.731923e-14	6.746272e-11	2.368848e-08	3.230984e-15	1.923557e-15	5.016488e-15	5.173827e-11	2.593666e-14
9.500000e+02	1.166069e-12	9.500472e-17	1.352181e-14	2.442982e-17	2.475464e-12	3.010017e-15	1.807226e-11	1.933186e-16	1.658512e-16	5.282460e-15	1.907367e-08	4.421616e-12	1.213107e-13	7.629986e-11	2.398286e-08	4.060195e-15	2.123354e-15	5.883826e-15	5.578277e-11	2.854961e-14
1.000000e+03	1.366135e-12	1.211686e-16	1.829465e-14	3.357878e-17	2.757393e-12	3.763004e-15	2.177654e-11	2.669689e-16	1.896161e-16	6.304682e-15	1.948265e-08	5.366968e-12	1.486500e-13	8.537615e-11	2.424411e-08	4.984522e-15	2.318297e-15	6.789450e-15	5.964904e-11	3.111557e-14
1.050000e+03	1.578554e-12	1.513207e-16	2.415578e-14	4.472056e-17	3.042981e-12	4.644827e-15	2.580671e-11	3.572943e-16	2.158320e-16	7.472766e-15	1.985374e-08	6.389803e-12	1.792217e-13	9.461960e-11	2.447512e-08	5.996675e-15	2.507019e-15	7.722117e-15	6.332275e-11	3.361633e-14
