R	E0	E1
1.97	99267.3	98690.98
1.98	99094.76	98596.06
1.99	98928.6	98504.73
2	98768.58	98416.87
2.01	98614.47	98332.33
2.02	98466.07	98250.97
2.03	98323.11	98172.69
2.04	98185.45	98097.34
2.05	98052.88	98024.79
2.06	97925.18	97955
2.07	97802.21	97887.79
2.08	97683.74	97823.11
2.09	97569.65	97760.81
2.1	97459.79	97700.86
2.15	96967.89	97432.49
2.2	96559.38	97209.37
2.25	96219.38	97023.05
2.3	95935.65	96866.7
2.35	95697.88	96734.21
2.4	95497.64	96621.07
2.45	95327.96	96523.24
2.5	95183.25	96438.06
2.55	95058.82	96362.72
2.6	94950.87	96295.37
2.65	94856.3	96234.3
2.7	94772.65	96178.25
2.75	94697.87	96126.24
2.8	94630.35	96077.46
2.85	94568.84	96031.32
2.9	94512.1	95987.31
3	94410.76	95904.61
3.1	94321.67	95827.74
3.2	94242.18	95755.78
3.3	94170.38	95688.39
3.4	94105.38	95625.63
3.5	94046.52	95567.42
3.6	93993.41	95513.84
3.7	93945.49	95464.81
3.8	93902.67	95420.28
3.9	93864.53	95380.08
4	93830.84	95344.07
4.1	93801	95311.88
4.2	93774.73	95283.19
4.3	93751.79	95257.97
4.4	93731.81	95235.88
4.5	93714.49	95216.53
4.6	93699.52	95199.64
4.7	93686.62	95185.04
4.8	93675.56	95172.38
4.9	93666.13	95161.5
5	93658.16	95152.35
5.1	93651.32	95144.37
5.2	93645.56	95137.58
5.3	93640.71	95131.84
5.4	93636.63	95127.01
5.5	93633.23	95122.89
5.6	93630.39	95119.37
5.7	93628.04	95116.44
5.8	93626.1	95114.01
5.9	93624.51	95111.97
6	93623.24	95110.29
6.2	93621.34	95107.73
6.4	93620.66	95106.2
6.6	93619.92	95105.09
6.8	93619.48	95104.37
7	93619.25	95103.97
7.2	93619.17	95103.73
7.4	93619.16	95103.62
7.6	93619.21	95103.6
7.8	93619.28	95103.61
8	93619.39	95103.66
8.2	93619.48	95103.72
8.4	93619.58	95103.73
8.6	93619.66	95103.79
8.8	93619.71	95103.87
9	93619.78	95103.92
9.2	93619.85	95103.99
9.4	93619.92	95104.1
9.6	93619.98	95104.16
9.8	93620.03	95104.21
10	93620.08	95104.25
10.5	93620.18	95104.35
11	93620.3	95104.42
