R	Re<0|V|1>
1.97	-1586.44
1.98	-1526.75
1.99	-1469.17
2	-1413.65
2.01	-1360.13
2.02	-1308.52
2.03	-1258.78
2.04	-1210.82
2.05	-1164.59
2.06	-1120.03
2.07	-1077.09
2.08	-1035.71
2.09	-995.83
2.1	-957.36
2.15	-785.22
2.2	-642.4
2.25	-523.99
2.3	-425.8
2.35	-344.66
2.4	-277.51
2.45	-222.12
2.5	-176.24
2.55	-138.36
2.6	-107.08
2.65	-81.28
2.7	-59.99
2.75	-42.46
2.8	-28.04
2.85	-16.18
2.9	-6.4
3	7.95
3.1	17.34
3.2	23.1
3.3	26.51
3.4	28.19
3.5	28.7
3.6	28.34
3.7	27.48
3.8	26.12
3.9	24.54
4	22.74
4.1	20.93
4.2	19.07
4.3	17.31
4.4	15.64
4.5	14.08
4.6	12.6
4.7	11.25
4.8	10.01
4.9	8.89
5	7.98
5.1	7.07
5.2	6.28
5.3	5.59
5.4	4.97
5.5	4.42
5.6	3.9
5.7	3.44
5.8	3.03
5.9	2.68
6	2.37
6.2	1.86
6.4	1.17
6.6	0.88
6.8	0.66
7	0.5
7.2	0.38
7.4	0.29
7.6	0.24
7.8	0.2
8	0.15
8.2	0.13
8.4	0.06
8.6	0.04
8.8	0.03
9	0.02
9.2	0.01
9.4	0.05
9.6	0.04
9.8	0.04
10	0.04
10.5	0.03
11	0
