T, K	k_01, cm3/s	k_10, cm3/s	
3.000000e+02	1.147019e-16	4.723167e-14
3.500000e+02	1.105405e-15	1.758813e-13
4.000000e+02	6.398934e-15	4.992985e-13
4.500000e+02	2.599803e-14	1.167292e-12
5.000000e+02	8.175662e-14	2.362037e-12
5.500000e+02	2.122520e-13	4.279105e-12
6.000000e+02	4.755062e-13	7.107861e-12
6.500000e+02	9.486536e-13	1.101513e-11
7.000000e+02	1.724675e-12	1.613383e-11
7.500000e+02	2.907020e-12	2.255683e-11
8.000000e+02	4.603208e-12	3.033520e-11
8.500000e+02	6.918397e-12	3.947986e-11
9.000000e+02	9.949690e-12	4.996566e-11
9.500000e+02	1.378161e-11	6.173667e-11
1.000000e+03	1.848294e-11	7.471216e-11
1.050000e+03	2.410488e-11	8.879259e-11
