T, K	k_01, cm3/s	k_10, cm3/s	
3.000000e+02	1.153806e-18	1.420774e-15
3.500000e+02	8.560947e-18	3.814468e-15
4.000000e+02	4.490865e-17	9.335327e-15
4.500000e+02	1.750554e-16	2.011139e-14
5.000000e+02	5.376181e-16	3.843386e-14
5.500000e+02	1.368712e-15	6.637203e-14
6.000000e+02	3.005904e-15	1.054813e-13
6.500000e+02	5.869491e-15	1.566531e-13
7.000000e+02	1.042694e-14	2.200971e-13
7.500000e+02	1.715031e-14	2.954148e-13
8.000000e+02	2.647581e-14	3.817240e-13
8.500000e+02	3.877172e-14	4.777983e-13
9.000000e+02	5.431728e-14	5.821990e-13
9.500000e+02	7.329269e-14	6.933885e-13
1.000000e+03	9.577843e-14	8.098188e-13
1.050000e+03	1.217616e-13	9.299978e-13
