T, K	k_01, cm3/s	k_10, cm3/s	
3.000000e+02	1.154154e-18	1.421229e-15
3.500000e+02	8.561827e-18	3.814883e-15
4.000000e+02	4.491100e-17	9.335834e-15
4.500000e+02	1.750642e-16	2.011243e-14
5.000000e+02	5.376547e-16	3.843650e-14
5.500000e+02	1.368842e-15	6.637833e-14
6.000000e+02	3.006283e-15	1.054946e-13
6.500000e+02	5.870427e-15	1.566781e-13
7.000000e+02	1.042896e-14	2.201398e-13
7.500000e+02	1.715422e-14	2.954822e-13
8.000000e+02	2.648274e-14	3.818239e-13
8.500000e+02	3.878313e-14	4.779389e-13
9.000000e+02	5.433497e-14	5.823887e-13
9.500000e+02	7.331876e-14	6.936351e-13
1.000000e+03	9.581525e-14	8.101301e-13
1.050000e+03	1.218117e-13	9.303807e-13
