T, K	k_01, cm3/s	k_10, cm3/s	
3.000000e+02	6.719891e-19	8.274899e-16
3.500000e+02	4.625994e-18	2.061199e-15
4.000000e+02	2.211570e-17	4.597281e-15
4.500000e+02	7.965380e-17	9.151105e-15
5.000000e+02	2.304903e-16	1.647756e-14
5.500000e+02	5.620175e-16	2.725354e-14
6.000000e+02	1.196449e-15	4.198501e-14
6.500000e+02	2.283959e-15	6.095747e-14
7.000000e+02	3.990262e-15	8.422844e-14
7.500000e+02	6.481895e-15	1.116509e-13
8.000000e+02	9.912288e-15	1.429138e-13
8.500000e+02	1.441070e-14	1.775885e-13
9.000000e+02	2.007497e-14	2.151733e-13
9.500000e+02	2.696800e-14	2.551319e-13
1.000000e+03	3.511759e-14	2.969237e-13
1.050000e+03	4.451861e-14	3.400268e-13
