T, K	k_01, cm3/s	k_10, cm3/s	
3.000000e+02	7.050761e-17	2.639988e-14
3.500000e+02	5.684545e-16	8.081529e-14
4.000000e+02	2.775980e-15	1.906081e-13
4.500000e+02	9.624888e-15	3.756864e-13
5.000000e+02	2.616196e-14	6.509214e-13
5.500000e+02	5.945363e-14	1.024722e-12
6.000000e+02	1.179746e-13	1.499070e-12
6.500000e+02	2.107139e-13	2.070409e-12
7.000000e+02	3.462565e-13	2.730915e-12
7.500000e+02	5.320207e-13	3.469830e-12
8.000000e+02	7.737416e-13	4.274673e-12
8.500000e+02	1.075208e-12	5.132252e-12
9.000000e+02	1.438220e-12	6.029436e-12
9.500000e+02	1.862708e-12	6.953710e-12
1.000000e+03	2.346961e-12	7.893542e-12
1.050000e+03	2.887906e-12	8.838587e-12
