T, K	k_01, cm3/s	k_10, cm3/s	
3.000000e+02	1.137442e-16	4.668573e-14
3.500000e+02	1.082552e-15	1.708046e-13
4.000000e+02	6.133483e-15	4.711825e-13
4.500000e+02	2.418411e-14	1.059908e-12
5.000000e+02	7.329468e-14	2.047820e-12
5.500000e+02	1.824344e-13	3.523118e-12
6.000000e+02	3.904673e-13	5.538606e-12
6.500000e+02	7.426427e-13	8.108589e-12
7.000000e+02	1.285782e-12	1.121286e-11
7.500000e+02	2.063477e-12	1.480447e-11
8.000000e+02	3.112233e-12	1.881845e-11
8.500000e+02	4.458991e-12	2.317992e-11
9.000000e+02	6.120025e-12	2.781065e-11
9.500000e+02	8.101011e-12	3.263396e-11
1.000000e+03	1.039791e-11	3.757809e-11
1.050000e+03	1.299835e-11	4.257810e-11
