E, cm-1	Sigma_00, cm2	Sigma_01, cm2	Sigma_10, cm2	Sigma_11, cm2	
9.362494e+04	3.183274e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362957e+04	2.951736e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363421e+04	2.815975e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363885e+04	2.762335e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364349e+04	4.008101e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364812e+04	2.829248e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.365276e+04	3.357189e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.365740e+04	3.721514e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.366203e+04	3.093866e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.366667e+04	3.012135e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.367131e+04	2.995257e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.367594e+04	3.319010e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.368058e+04	3.389489e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.368522e+04	3.096343e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.368985e+04	3.782271e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.369449e+04	3.450625e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.369913e+04	3.389314e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.370377e+04	3.577350e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.370840e+04	3.637535e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.371304e+04	3.684482e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.371768e+04	3.760801e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.372231e+04	4.185715e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.372695e+04	4.117814e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.373159e+04	3.955128e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.373623e+04	4.131434e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.374086e+04	3.688406e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.374550e+04	4.314162e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.375014e+04	3.391370e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.375477e+04	4.022389e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.375941e+04	4.323516e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.376405e+04	3.618271e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.376868e+04	3.956143e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.377332e+04	3.982581e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.377796e+04	3.910846e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.378260e+04	3.786247e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.378723e+04	3.648843e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.379187e+04	3.691255e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.379651e+04	4.116573e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.380114e+04	3.610362e-14	0.000000e+00	0.000000e+00	0.000000e+00
