E, cm-1	Sigma_00, cm2	Sigma_01, cm2	Sigma_10, cm2	Sigma_11, cm2	
9.3624937000e+04	3.3264097851e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3625045010e+04	3.2116387242e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3625155535e+04	3.1011897052e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3625268635e+04	2.9951635087e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3625384369e+04	3.9879268951e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3625502800e+04	3.8684221899e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3625623988e+04	3.7506646005e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3625748000e+04	3.6351867663e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3625874900e+04	3.5224202717e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3626004756e+04	3.4127012686e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3626137637e+04	3.3062772927e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3626273613e+04	3.2033148803e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3626412756e+04	4.0116577768e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3626555141e+04	3.9047940983e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3626700842e+04	3.7986538237e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3626849937e+04	3.6938167193e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3627002504e+04	3.5907531883e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3627158626e+04	3.4898258940e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3627318384e+04	4.1402051691e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3627481863e+04	4.0451896704e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3627649150e+04	3.9491853991e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3627820333e+04	3.8529179763e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3627995504e+04	3.7570152355e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3628174756e+04	3.6619946225e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3628358182e+04	4.1770162600e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3628545882e+04	4.0925549139e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3628737953e+04	4.0060122835e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3628934498e+04	3.9181585884e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3629135621e+04	3.8296945199e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3629341429e+04	3.7412236159e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3629552031e+04	3.6532349384e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3629767539e+04	3.5660949000e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3629988066e+04	3.4800469522e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3630213730e+04	3.3952177585e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3630444651e+04	3.3116285669e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3630680950e+04	3.2292110191e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3630922753e+04	3.6673885007e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3631170189e+04	3.5852306352e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3631423388e+04	3.5038468396e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3631682485e+04	3.4233697059e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3631947617e+04	3.3438133151e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3632218925e+04	3.7081162579e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3632496553e+04	3.6304431559e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3632780647e+04	3.5533220930e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3633071358e+04	3.4769730369e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3633368842e+04	3.4014723664e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3633673254e+04	3.7063852775e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3633984757e+04	3.6336458996e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3634303516e+04	3.5614451341e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3634629700e+04	3.4900350151e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3634963482e+04	3.7458702288e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3635305038e+04	3.6782005165e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3635654550e+04	3.6107684507e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3636012204e+04	3.5439609114e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3636378188e+04	3.4779877139e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3636752697e+04	3.4128769046e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3637135929e+04	3.3484867862e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3637528089e+04	3.2845334103e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3637929382e+04	3.2206299427e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3638340023e+04	3.4513276363e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3638760229e+04	3.3912413555e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3639190223e+04	3.3315499683e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3639630233e+04	3.2718491854e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3640080492e+04	3.4707267023e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3640541239e+04	3.4140559924e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3641012718e+04	3.3575990753e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3641495179e+04	3.5280018513e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
