E, cm-1	Sigma_00, cm2	Sigma_01, cm2	Sigma_10, cm2	Sigma_11, cm2	
9.3620763700e+04	1.6526218645e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3620769069e+04	1.6062072158e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3620774501e+04	7.2249127167e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3620779995e+04	7.0941400441e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3620785554e+04	6.9648680016e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3620791176e+04	6.8370867017e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3620796864e+04	6.7107866675e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3620802617e+04	6.5859588499e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3620808437e+04	6.4625946394e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3620814324e+04	6.3406858773e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3620820280e+04	6.2202248635e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3620826305e+04	6.1012043616e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3620832399e+04	5.9836176033e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3620838564e+04	5.8674582897e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3620844800e+04	5.7527205913e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3620851108e+04	5.6393991458e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3620857490e+04	5.5274890555e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3620863945e+04	5.4169858819e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3620870476e+04	5.3078856403e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3620877081e+04	5.2001847914e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3620883764e+04	5.0938802339e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3620890523e+04	4.9889692941e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3620897361e+04	4.8854497152e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3620904278e+04	4.7833196461e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3620911276e+04	4.6825776282e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3620918354e+04	4.5832225823e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3620925514e+04	4.4852537936e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3620932757e+04	4.3886708973e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3620940084e+04	4.2934738619e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3620947496e+04	4.1996629729e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3620954994e+04	4.1072388152e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3620962578e+04	4.0162022548e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3620970250e+04	3.9265544201e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3620978012e+04	3.8382966830e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3620985863e+04	3.7514306378e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3620993804e+04	3.6659580815e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621001838e+04	3.5818809920e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621009965e+04	3.4992015066e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621018186e+04	3.4179218998e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621026502e+04	3.3380445603e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621034915e+04	3.2595719678e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621043425e+04	3.1825066695e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621052033e+04	3.1068512555e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621060741e+04	3.0326083344e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621069550e+04	2.9597805087e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621078461e+04	7.5782738088e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621087476e+04	7.4507281405e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621096594e+04	7.3240719863e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621105818e+04	7.1983556258e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621115149e+04	7.0736241170e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621124588e+04	6.9499177901e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621134136e+04	6.8272727080e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621143795e+04	6.7057210927e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621153566e+04	6.5852917207e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621163450e+04	6.4660102863e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621173448e+04	6.3478997366e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621183562e+04	6.2309805778e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621193793e+04	6.1152711555e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
