E, cm-1	Sigma_00, cm2	Sigma_01, cm2	Sigma_10, cm2	Sigma_11, cm2	
9.362494e+04	2.313350e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362957e+04	2.280722e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363421e+04	2.228608e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363885e+04	2.176969e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364349e+04	2.165430e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364812e+04	2.132071e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.365276e+04	2.116459e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.365740e+04	2.094952e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.366203e+04	2.086192e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.366667e+04	2.077154e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.367131e+04	2.059645e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.367594e+04	2.054401e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.368058e+04	2.048115e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.368522e+04	2.036433e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.368985e+04	2.031835e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.369449e+04	2.024397e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.369913e+04	2.017552e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.370377e+04	2.011503e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.370840e+04	2.006097e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.371304e+04	2.001011e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.371768e+04	1.996144e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.372231e+04	1.991552e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.372695e+04	1.987359e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.373159e+04	1.983440e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.373623e+04	1.979717e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.374086e+04	1.974914e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.374550e+04	1.971652e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.375014e+04	1.968508e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.375477e+04	1.965463e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.375941e+04	1.962523e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.376405e+04	1.958751e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.376868e+04	1.955966e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.377332e+04	1.953190e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.377796e+04	1.950498e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.378260e+04	1.947781e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.378723e+04	1.944375e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.379187e+04	1.941809e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.379651e+04	1.939178e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.380114e+04	1.936546e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.380578e+04	1.934009e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.381042e+04	1.930895e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.381505e+04	1.927875e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.381969e+04	1.925426e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.382433e+04	1.922980e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.382896e+04	1.920644e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.383360e+04	1.918230e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.383824e+04	1.915491e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.384288e+04	1.912734e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.384751e+04	1.910609e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.385215e+04	1.908506e-14	0.000000e+00	0.000000e+00	0.000000e+00
