E, cm-1	Sigma_00, cm2	Sigma_01, cm2	Sigma_10, cm2	Sigma_11, cm2	
9.362494e+04	4.021239e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362505e+04	3.929704e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362516e+04	3.840253e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362527e+04	3.752838e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362538e+04	4.641570e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362550e+04	4.535915e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362562e+04	4.432665e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362575e+04	4.331765e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362587e+04	4.233162e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362600e+04	4.136803e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362614e+04	4.042638e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362627e+04	3.950617e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362641e+04	4.766283e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362656e+04	4.657790e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362670e+04	4.551765e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362685e+04	4.448155e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362700e+04	4.346902e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362716e+04	4.247955e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362732e+04	5.023024e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362748e+04	4.908686e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362765e+04	4.796951e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362782e+04	4.687759e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362800e+04	4.581052e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362817e+04	4.476775e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362836e+04	5.206458e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362855e+04	5.087944e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362874e+04	4.972129e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362893e+04	4.858949e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362914e+04	4.748346e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362934e+04	4.640260e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362955e+04	4.534635e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362977e+04	4.431414e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362999e+04	4.330543e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363021e+04	4.231968e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363044e+04	4.135637e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363068e+04	4.041498e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363092e+04	4.635180e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363117e+04	4.529670e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363142e+04	4.426562e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363168e+04	4.325801e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363195e+04	4.227334e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363222e+04	4.791108e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363250e+04	4.682049e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363278e+04	4.575472e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363307e+04	4.471322e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363337e+04	4.369542e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363367e+04	4.901877e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363398e+04	4.790296e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363430e+04	4.681256e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363463e+04	4.574698e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363496e+04	5.086509e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363531e+04	4.970726e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363565e+04	4.857579e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363601e+04	4.747007e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363638e+04	4.638952e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363675e+04	4.533356e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363714e+04	4.430164e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363753e+04	4.329321e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363793e+04	4.230774e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363834e+04	4.667429e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363876e+04	4.561185e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363919e+04	4.457360e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363963e+04	4.355898e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364008e+04	4.772269e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364054e+04	4.663638e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364101e+04	4.557481e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364150e+04	4.962346e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364199e+04	4.849390e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364249e+04	4.739004e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364301e+04	4.631131e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364354e+04	5.014641e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364408e+04	4.900494e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364464e+04	4.788945e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364520e+04	4.679935e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364578e+04	4.573407e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364638e+04	4.469304e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364698e+04	4.367570e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364760e+04	4.705637e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364824e+04	4.598524e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364889e+04	4.493849e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364956e+04	4.819758e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.365024e+04	4.710047e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.365094e+04	4.602833e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.365165e+04	4.916268e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.365238e+04	4.804360e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.365313e+04	4.694999e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.365389e+04	4.995769e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.365467e+04	4.882051e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.365548e+04	4.770922e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.365629e+04	4.662323e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.365713e+04	4.556196e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.365799e+04	4.452484e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.365887e+04	4.721281e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.365977e+04	4.613812e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.366069e+04	4.508789e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.366163e+04	4.765699e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.366259e+04	4.657218e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.366358e+04	4.908032e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.366458e+04	4.796312e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.366561e+04	4.687134e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.366667e+04	4.926017e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.366775e+04	4.813887e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.366886e+04	4.704310e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.366999e+04	4.597227e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.367114e+04	4.492581e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.367233e+04	4.709512e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.367354e+04	4.602310e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.367478e+04	4.813072e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.367605e+04	4.703513e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.367735e+04	4.907985e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.367868e+04	4.796266e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.368004e+04	4.687090e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.368143e+04	4.880674e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.368285e+04	4.769577e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.368431e+04	4.661008e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.368580e+04	4.554910e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.368733e+04	4.733776e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.368889e+04	4.626023e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.369048e+04	4.798856e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.369212e+04	4.689621e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.369379e+04	4.856417e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.369550e+04	4.745871e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.369726e+04	4.906648e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.369905e+04	4.794959e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.370088e+04	4.685812e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.370276e+04	4.579150e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.370468e+04	4.726975e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.370664e+04	4.619376e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.370866e+04	4.761536e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.371071e+04	4.901275e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.371282e+04	4.789708e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.371498e+04	4.923794e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.371718e+04	4.811715e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.371944e+04	4.702187e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.372175e+04	4.595152e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.372411e+04	4.717888e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.372653e+04	4.838140e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.372900e+04	4.728011e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.373153e+04	4.843026e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.373412e+04	4.732785e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.373678e+04	4.842674e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.373949e+04	4.732441e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.374227e+04	4.624718e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.374511e+04	4.727210e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.374801e+04	4.827203e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.375099e+04	4.717322e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.375403e+04	4.812554e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.375715e+04	4.905264e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.376034e+04	4.793606e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.376360e+04	4.684490e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.376693e+04	4.770589e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.377035e+04	4.854225e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.377385e+04	4.743729e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.377742e+04	4.823033e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.378108e+04	4.899893e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.378483e+04	4.788357e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.378866e+04	4.679361e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.379258e+04	4.750416e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.379659e+04	4.819116e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.380070e+04	4.885458e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.380490e+04	4.774251e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.380920e+04	4.836775e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.381360e+04	4.726677e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.381810e+04	4.785525e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.382271e+04	4.842123e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.382743e+04	4.896479e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.383225e+04	4.785021e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.383719e+04	4.835956e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.384224e+04	4.725877e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.384741e+04	4.773529e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.385270e+04	4.819070e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.385811e+04	4.862515e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.386365e+04	4.903880e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.386932e+04	4.792254e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.387512e+04	4.830661e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.388106e+04	4.720702e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.388713e+04	4.756284e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.389335e+04	4.789933e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.389971e+04	4.821672e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.390622e+04	4.711918e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.391287e+04	4.741088e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.391969e+04	4.768436e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.392666e+04	4.793984e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.393380e+04	4.817757e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.394110e+04	4.708091e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.394857e+04	4.860079e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.395622e+04	4.878681e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.396405e+04	4.895613e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.397205e+04	4.784175e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.398025e+04	4.799117e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.398863e+04	4.812482e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.399721e+04	4.824297e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.400599e+04	4.834592e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.401497e+04	4.724543e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.402417e+04	4.850735e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.403357e+04	4.856642e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.404320e+04	4.861143e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.405305e+04	4.750490e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.406313e+04	4.753546e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.407344e+04	4.866518e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.408400e+04	4.865699e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.409480e+04	4.754942e-14	0.000000e+00	0.000000e+00	0.000000e+00
