R E0 E1 E2 E3 E4 E5 E6 E7 E8 E9 E10
1.97 97797.77 98659.25 101189.15 106956.96 107500.71 108005.20 110469.73 109477.17 110752.93 110177.48 111970.36
1.98 97662.65 98511.68 101000.44 106914.44 107389.40 107874.37 110299.35 109331.02 110588.15 110036.46 111791.94
1.99 97532.56 98369.60 100818.73 106872.89 107283.23 107749.26 110136.07 109190.64 110430.56 109901.44 111620.80
2.00 97407.32 98232.80 100643.76 106832.00 107182.08 107629.71 109979.64 109055.78 110279.91 109772.16 111456.59
2.01 97286.74 98101.10 100475.28 106791.38 107085.87 107515.62 109829.88 108926.20 110136.00 109648.34 111298.98
2.02 97170.64 97974.28 100313.06 106750.64 106994.51 107406.86 109686.56 108801.70 109998.58 109529.68 111147.62
2.03 97058.86 97852.16 100156.84 106709.36 106907.95 107303.35 109549.53 108682.12 109867.47 109415.86 111002.17
2.04 96951.21 97734.58 100006.43 106667.11 106826.13 107205.06 109418.67 108567.27 109742.44 109306.56 110862.29
2.05 96847.56 97621.37 99861.60 106623.43 106748.98 107111.88 109293.85 108457.00 109623.33 109201.46 110727.62
2.06 96747.73 97512.33 99722.15 106577.87 106676.36 107023.74 109174.94 108351.28 109509.93 109100.27 110597.85
2.07 96651.60 97407.34 99587.88 106530.06 106608.14 106940.53 109061.85 108249.98 109402.05 109002.73 110472.68
2.08 96559.02 97306.23 99458.59 106479.68 106544.09 106862.11 108954.49 108153.05 109299.50 108908.64 110351.91
2.09 96469.85 97208.88 99334.10 106426.51 106483.93 106788.23 108852.71 108060.45 109202.15 108817.92 110235.37
2.10 96383.97 97115.09 99214.22 106370.56 106427.33 106718.69 108756.33 107972.08 109109.76 108730.52 110122.97
2.15 95999.43 96695.40 98678.24 106059.52 106186.41 106425.12 108347.58 107589.68 108715.94 108344.12 109622.13
2.20 95679.66 96346.77 98234.10 105739.82 105996.22 106199.46 108036.56 107291.42 108416.10 108039.78 109218.65
2.25 95412.85 96056.37 97865.48 105452.23 105844.67 106023.50 107797.19 107058.63 108187.15 107804.66 108898.92
2.30 95189.25 95813.55 97558.82 105208.93 105725.70 105886.97 107612.42 106877.31 108012.27 107624.01 108647.25
2.35 95000.70 95609.42 97302.86 105008.01 105633.85 105782.08 107470.07 106736.92 107879.20 107485.87 108450.05
2.40 94840.79 95436.94 97088.38 104846.79 105564.65 105703.08 107361.16 106629.16 107778.78 107381.20 108296.34
2.45 94704.01 95290.08 96907.67 104718.31 105513.68 105644.61 107278.30 106547.32 107703.60 107302.70 108177.09
2.50 94585.94 95163.95 96754.46 104617.04 105477.28 105602.43 107215.65 106485.91 107647.88 107244.70 108085.04
2.55 94482.96 95054.63 96623.58 104538.03 105452.40 105573.04 107168.47 106440.53 107606.94 107202.65 108014.27
2.60 94392.22 94958.90 96510.84 104477.06 105436.53 105553.61 107132.90 106407.53 107577.09 107172.93 107960.01
2.65 94311.32 94874.16 96412.80 104430.55 105427.55 105541.76 107105.80 106383.88 107555.22 107152.52 107918.19
2.70 94238.41 94798.31 96326.69 104395.54 105423.78 105535.71 107084.89 106367.51 107539.19 107139.30 107886.06
2.75 94171.97 94729.74 96250.46 104369.61 105423.87 105533.90 107068.09 106356.37 107527.02 107131.31 107860.95
2.80 94110.84 94667.02 96181.91 104350.72 105426.68 105535.12 107053.85 106348.95 107517.27 107127.09 107840.87
2.85 94054.10 94609.16 96119.83 104337.26 105431.36 105538.42 107040.98 106344.10 107508.75 107125.49 107824.27
2.90 94000.89 94555.18 96062.82 104327.90 105437.19 105543.05 107028.54 106340.86 107500.68 107125.60 107809.92
3.00 93903.46 94457.18 95961.94 104317.51 105450.35 105554.14 107002.48 106336.59 107483.46 107128.40 107784.49
3.10 93815.44 94369.20 95873.28 104313.49 105463.21 105565.32 106972.27 106332.30 107462.57 107131.80 107759.67
3.20 93735.23 94289.46 95794.42 104312.05 105474.21 105574.95 106936.62 106326.13 107436.89 107133.94 107732.99
3.30 93661.57 94216.51 95723.22 104310.90 105482.51 105582.22 106895.31 106317.21 107406.39 107133.98 107703.52
