R Re<0|V|3> Re<0|V|4> Re<0|V|5> Re<0|V|6> Re<0|V|7> Re<0|V|8> Re<0|V|9> Re<0|V|10> Re<1|V|3> Re<1|V|4> Re<1|V|5> Re<1|V|6> Re<1|V|7> Re<1|V|8> Re<1|V|9> Re<1|V|10> Re<2|V|3> Re<2|V|4> Re<2|V|5> Re<2|V|6> Re<2|V|7> Re<2|V|8> Re<2|V|9> Re<2|V|10> Re<3|V|4> Re<3|V|5> Re<3|V|6> Re<3|V|7> Re<3|V|8> Re<3|V|9> Re<3|V|10> Re<4|V|5> Re<4|V|6> Re<4|V|7> Re<4|V|8> Re<4|V|9> Re<4|V|10> Re<5|V|6> Re<5|V|7> Re<5|V|8> Re<5|V|9> Re<5|V|10> Re<6|V|7> Re<6|V|8> Re<6|V|9> Re<6|V|10> Re<7|V|8> Re<7|V|9> Re<7|V|10> Re<8|V|9> Re<8|V|10> Re<9|V|10>
1.970000 0.175584 0.800903 0.797108 0.255223 -0.393306 -0.314489 0.456141 0.069553 0.125466 0.684394 0.696943 0.267116 -0.276164 -0.304448 0.542451 -0.087662 0.086630 0.350894 0.415534 0.249346 -0.097994 -0.046490 0.229647 0.044910 0.029569 0.006787 -0.014232 0.021498 0.015142 -0.023737 -0.002047 -0.021553 0.083056 0.132815 0.065821 0.120500 -0.139399 -0.122659 -0.038614 -0.099523 -0.041522 -0.025925 -0.000480 -0.071551 -0.110922 0.068907 -0.136915 0.068136 -0.087565 -0.000931 -0.070441 0.111806
1.980000 0.169770 0.872226 0.871557 0.284833 -0.423543 -0.342029 0.506049 0.072726 0.121090 0.751000 0.765465 0.292439 -0.304672 -0.328359 0.583108 -0.080875 0.083799 0.385780 0.447657 0.259573 -0.115896 -0.061782 0.253971 0.046137 0.030312 0.006961 -0.014590 0.022042 0.015523 -0.024337 -0.002099 -0.022096 0.085147 0.136158 0.067479 0.123533 -0.142906 -0.125764 -0.039586 -0.102046 -0.042566 -0.026592 -0.000477 -0.073352 -0.113729 0.070640 -0.140377 0.069852 -0.089782 -0.000970 -0.072214 0.114632
1.990000 0.164024 0.950305 0.952768 0.316940 -0.456676 -0.372060 0.560300 0.076253 0.116760 0.823519 0.840014 0.320128 -0.335926 -0.354625 0.627941 -0.073831 0.081001 0.423714 0.483284 0.271093 -0.134890 -0.078252 0.280139 0.047532 0.031055 0.007138 -0.014947 0.022588 0.015903 -0.024939 -0.002150 -0.022638 0.087237 0.139496 0.069135 0.126562 -0.146408 -0.128880 -0.040555 -0.104581 -0.043607 -0.027271 -0.000459 -0.075152 -0.116546 0.072371 -0.143849 0.071567 -0.092009 -0.001023 -0.073985 0.117467
2.000000 0.158331 1.034964 1.040581 0.351489 -0.492637 -0.404529 0.618792 0.080128 0.112460 0.901817 0.920460 0.350121 -0.369840 -0.383184 0.676829 -0.066535 0.078229 0.464628 0.522295 0.283869 -0.154979 -0.095868 0.308132 0.049092 0.031795 0.007318 -0.015304 0.023135 0.016282 -0.025542 -0.002202 -0.023178 0.089320 0.142821 0.070787 0.129580 -0.149896 -0.132001 -0.041521 -0.107125 -0.044644 -0.027963 -0.000426 -0.076946 -0.119367 0.074094 -0.147324 0.073277 -0.094239 -0.001091 -0.075750 0.120304
2.010000 0.152672 1.125584 1.134381 0.388253 -0.531165 -0.439210 0.681128 0.084324 0.108176 0.985358 1.006254 0.382202 -0.406158 -0.413822 0.729390 -0.059011 0.075475 0.508247 0.564362 0.297788 -0.176069 -0.114518 0.337790 0.050805 0.032530 0.007500 -0.015657 0.023682 0.016659 -0.026144 -0.002253 -0.023715 0.091391 0.146126 0.072429 0.132579 -0.153361 -0.135120 -0.042480 -0.109670 -0.045674 -0.028664 -0.000378 -0.078730 -0.122184 0.075806 -0.150793 0.074978 -0.096469 -0.001174 -0.077503 0.123135
2.020000 0.147029 1.220938 1.232926 0.426765 -0.571732 -0.475643 0.746504 0.088783 0.103889 1.073049 1.096281 0.415938 -0.444387 -0.446111 0.784876 -0.051312 0.072729 0.554006 0.608870 0.312623 -0.197935 -0.133981 0.368757 0.052645 0.033258 0.007684 -0.016008 0.024227 0.017032 -0.026744 -0.002304 -0.024247 0.093444 0.149399 0.074058 0.135550 -0.156793 -0.138228 -0.043429 -0.112211 -0.046693 -0.029374 -0.000314 -0.080498 -0.124992 0.077501 -0.154248 0.076664 -0.098692 -0.001273 -0.079241 0.125954
2.030000 0.141384 1.319008 1.334164 0.466254 -0.613466 -0.513066 0.813591 0.093406 0.099585 1.163082 1.188691 0.450624 -0.483724 -0.479354 0.842068 -0.043527 0.069984 0.600968 0.654828 0.328005 -0.220188 -0.153893 0.400424 0.054565 0.033977 0.007869 -0.016354 0.024769 0.017400 -0.027340 -0.002354 -0.024773 0.095474 0.152633 0.075668 0.138485 -0.160183 -0.141317 -0.044367 -0.114740 -0.047698 -0.030093 -0.000233 -0.082245 -0.127783 0.079174 -0.157678 0.078331 -0.100904 -0.001388 -0.080958 0.128753
2.040000 0.135720 1.416852 1.435091 0.505586 -0.655091 -0.550360 0.880444 0.098047 0.095249 1.252806 1.280773 0.485227 -0.523002 -0.512532 0.899192 -0.035790 0.067232 0.647755 0.700799 0.343397 -0.242245 -0.173727 0.431892 0.056495 0.034684 0.008056 -0.016695 0.025306 0.017763 -0.027930 -0.002404 -0.025291 0.097474 0.155817 0.077255 0.141376 -0.163519 -0.144380 -0.045290 -0.117253 -0.048687 -0.030817 -0.000135 -0.083967 -0.130549 0.080821 -0.161075 0.079975 -0.103097 -0.001520 -0.082648 0.131525
2.050000 0.130026 1.510552 1.531708 0.543250 -0.694905 -0.586035 0.944471 0.102509 0.090871 1.338691 1.368911 0.518373 -0.560672 -0.544289 0.953888 -0.028276 0.064466 0.692536 0.744882 0.358083 -0.263321 -0.192777 0.461955 0.058344 0.035378 0.008244 -0.017029 0.025838 0.018119 -0.028513 -0.002453 -0.025800 0.099438 0.158941 0.078814 0.144213 -0.166792 -0.147408 -0.046194 -0.119741 -0.049656 -0.031547 -0.000018 -0.085657 -0.133283 0.082436 -0.164430 0.081589 -0.105266 -0.001670 -0.084308 0.134261
2.060000 0.124296 1.595352 1.619151 0.577410 -0.730842 -0.618277 1.002520 0.106550 0.086445 1.416443 1.448710 0.548396 -0.594854 -0.572979 1.003296 -0.021206 0.061685 0.733079 0.784774 0.371195 -0.282456 -0.210189 0.489141 0.059998 0.036057 0.008432 -0.017355 0.026361 0.018466 -0.029087 -0.002501 -0.026297 0.101360 0.161996 0.080340 0.146987 -0.169991 -0.150392 -0.047078 -0.122198 -0.050603 -0.032280 0.000116 -0.087312 -0.135976 0.084014 -0.167731 0.083170 -0.107404 -0.001837 -0.085930 0.136953
