State0	Sigma0	State1	Sigma1	State2	Sigma2	State3	Sigma3	State4	Sigma4	State5	Sigma5	State6	Sigma6	State7	Sigma7	State8	Sigma8	State9	Sigma9	State10	Sigma10	
9.308730e+04	2.288541e-14	9.364357e+04	2.187663e-14	9.515801e+04	2.113798e-14	1.040229e+05	3.152420e-14	1.052420e+05	4.180197e-14	1.053992e+05	4.139046e-14	1.058182e+05	4.823255e-14	1.059520e+05	4.047767e-14	1.067958e+05	4.249349e-14	1.069344e+05	4.735819e-14	1.071273e+05	4.410894e-14
9.308752e+04	2.216731e-14	9.364379e+04	2.139343e-14	9.515823e+04	2.104179e-14	1.040231e+05	3.159293e-14	1.052422e+05	4.133249e-14	1.053994e+05	4.095333e-14	1.058184e+05	4.679803e-14	1.059523e+05	4.009709e-14	1.067960e+05	4.195025e-14	1.069346e+05	4.616055e-14	1.071275e+05	4.342624e-14
9.308774e+04	2.418327e-14	9.364401e+04	2.289392e-14	9.515845e+04	2.169208e-14	1.040233e+05	3.170678e-14	1.052424e+05	4.231357e-14	1.053996e+05	4.182456e-14	1.058186e+05	5.093544e-14	1.059525e+05	4.075337e-14	1.067963e+05	4.309745e-14	1.069348e+05	4.946716e-14	1.071277e+05	4.501322e-14
9.308798e+04	2.368714e-14	9.364425e+04	2.257159e-14	9.515869e+04	2.165660e-14	1.040236e+05	3.174082e-14	1.052427e+05	4.207501e-14	1.053999e+05	4.160014e-14	1.058189e+05	5.012083e-14	1.059527e+05	4.055338e-14	1.067965e+05	4.280087e-14	1.069351e+05	4.881804e-14	1.071280e+05	4.464345e-14
9.308823e+04	2.314503e-14	9.364450e+04	2.221716e-14	9.515894e+04	2.160120e-14	1.040238e+05	3.178166e-14	1.052429e+05	4.178592e-14	1.054001e+05	4.132976e-14	1.058191e+05	4.912956e-14	1.059530e+05	4.031770e-14	1.067968e+05	4.244811e-14	1.069353e+05	4.802077e-14	1.071282e+05	4.420030e-14
9.308850e+04	2.256688e-14	9.364477e+04	2.183602e-14	9.515921e+04	2.152752e-14	1.040241e+05	3.183118e-14	1.052432e+05	4.143151e-14	1.054004e+05	4.100120e-14	1.058194e+05	4.793697e-14	1.059532e+05	4.003454e-14	1.067970e+05	4.202623e-14	1.069356e+05	4.704946e-14	1.071285e+05	4.366557e-14
9.308877e+04	2.197151e-14	9.364504e+04	2.143824e-14	9.515948e+04	2.143975e-14	1.040244e+05	3.188721e-14	1.052435e+05	4.099697e-14	1.054006e+05	4.059900e-14	1.058197e+05	4.652238e-14	1.059535e+05	3.968964e-14	1.067973e+05	4.152106e-14	1.069358e+05	4.588104e-14	1.071288e+05	4.302018e-14
9.308906e+04	2.340750e-14	9.364533e+04	2.254596e-14	9.515977e+04	2.194092e-14	1.040246e+05	3.199154e-14	1.052438e+05	4.175398e-14	1.054009e+05	4.128944e-14	1.058200e+05	5.017852e-14	1.059538e+05	4.016079e-14	1.067976e+05	4.245928e-14	1.069361e+05	4.877731e-14	1.071291e+05	4.434971e-14
9.308936e+04	2.296815e-14	9.364563e+04	2.226653e-14	9.516007e+04	2.190161e-14	1.040249e+05	3.201393e-14	1.052441e+05	4.152224e-14	1.054012e+05	4.107912e-14	1.058203e+05	4.931470e-14	1.059541e+05	3.996748e-14	1.067979e+05	4.216430e-14	1.069364e+05	4.809380e-14	1.071294e+05	4.396838e-14
9.308968e+04	2.249903e-14	9.364595e+04	2.195903e-14	9.516039e+04	2.184565e-14	1.040253e+05	3.204411e-14	1.052444e+05	4.123622e-14	1.054015e+05	4.081373e-14	1.058206e+05	4.825729e-14	1.059544e+05	3.973667e-14	1.067982e+05	4.181003e-14	1.069367e+05	4.724728e-14	1.071297e+05	4.350872e-14
9.309001e+04	2.201156e-14	9.364628e+04	2.163199e-14	9.516072e+04	2.177421e-14	1.040256e+05	3.208247e-14	1.052447e+05	4.087786e-14	1.054019e+05	4.048032e-14	1.058209e+05	4.698117e-14	1.059548e+05	3.945517e-14	1.067985e+05	4.138261e-14	1.069371e+05	4.621035e-14	1.071300e+05	4.295156e-14
9.309036e+04	2.298564e-14	9.364663e+04	2.239463e-14	9.516107e+04	2.213710e-14	1.040259e+05	3.216625e-14	1.052451e+05	4.140465e-14	1.054022e+05	4.086323e-14	1.058213e+05	4.989251e-14	1.059551e+05	3.982952e-14	1.067989e+05	4.199506e-14	1.069374e+05	4.847427e-14	1.071303e+05	4.392071e-14
9.309072e+04	2.263818e-14	9.364699e+04	2.216329e-14	9.516143e+04	2.210568e-14	1.040263e+05	3.217523e-14	1.052454e+05	4.119530e-14	1.054026e+05	4.067873e-14	1.058216e+05	4.907604e-14	1.059555e+05	3.965302e-14	1.067992e+05	4.173167e-14	1.069378e+05	4.783395e-14	1.071307e+05	4.356416e-14
9.309110e+04	2.226586e-14	9.364737e+04	2.190821e-14	9.516181e+04	2.205818e-14	1.040267e+05	3.219089e-14	1.052458e+05	4.093349e-14	1.054030e+05	4.044922e-14	1.058220e+05	4.806635e-14	1.059558e+05	3.943962e-14	1.067996e+05	4.141408e-14	1.069382e+05	4.703373e-14	1.071311e+05	4.313347e-14
9.309150e+04	2.187646e-14	9.364777e+04	2.163547e-14	9.516221e+04	2.199510e-14	1.040271e+05	3.221379e-14	1.052462e+05	4.060106e-14	1.054034e+05	4.015434e-14	1.058224e+05	4.683624e-14	1.059562e+05	3.917755e-14	1.068000e+05	4.102645e-14	1.069386e+05	4.604263e-14	1.071315e+05	4.261045e-14
9.309191e+04	2.262384e-14	9.364818e+04	2.220779e-14	9.516262e+04	2.228257e-14	1.040275e+05	3.227127e-14	1.052466e+05	4.100737e-14	1.054038e+05	4.046506e-14	1.058228e+05	4.937019e-14	1.059567e+05	3.943838e-14	1.068004e+05	4.146915e-14	1.069390e+05	4.799351e-14	1.071319e+05	4.337442e-14
9.309235e+04	2.232658e-14	9.364862e+04	2.200835e-14	9.516306e+04	2.224611e-14	1.040279e+05	3.226702e-14	1.052470e+05	4.080491e-14	1.054042e+05	4.027378e-14	1.058232e+05	4.853526e-14	1.059571e+05	3.925984e-14	1.068009e+05	4.121601e-14	1.069394e+05	4.734184e-14	1.071323e+05	4.302254e-14
9.309280e+04	2.200696e-14	9.364907e+04	2.178881e-14	9.516351e+04	2.219334e-14	1.040284e+05	3.226901e-14	1.052475e+05	4.055159e-14	1.054047e+05	4.003872e-14	1.058237e+05	4.749889e-14	1.059576e+05	3.904610e-14	1.068013e+05	4.091028e-14	1.069399e+05	4.652216e-14	1.071328e+05	4.259577e-14
9.309328e+04	2.167261e-14	9.364955e+04	2.155308e-14	9.516399e+04	2.212369e-14	1.040289e+05	3.227673e-14	1.052480e+05	4.022617e-14	1.054052e+05	3.974288e-14	1.058242e+05	4.623355e-14	1.059580e+05	3.878209e-14	1.068018e+05	4.051461e-14	1.069404e+05	4.550492e-14	1.071333e+05	4.207547e-14
9.309378e+04	2.223600e-14	9.365005e+04	2.201356e-14	9.516449e+04	2.234880e-14	1.040294e+05	3.230029e-14	1.052485e+05	4.057275e-14	1.054057e+05	4.003280e-14	1.058247e+05	4.862624e-14	1.059585e+05	3.897819e-14	1.068023e+05	4.093480e-14	1.069409e+05	4.734686e-14	1.071338e+05	4.276671e-14
9.309431e+04	2.197395e-14	9.365058e+04	2.182827e-14	9.516502e+04	2.229423e-14	1.040299e+05	3.228265e-14	1.052490e+05	4.035917e-14	1.054062e+05	3.982019e-14	1.058252e+05	4.771097e-14	1.059591e+05	3.879789e-14	1.068028e+05	4.067960e-14	1.069414e+05	4.663312e-14	1.071343e+05	4.239685e-14
9.309486e+04	2.169401e-14	9.365113e+04	2.162635e-14	9.516557e+04	2.222322e-14	1.040304e+05	3.227168e-14	1.052496e+05	4.008715e-14	1.054067e+05	3.955976e-14	1.058258e+05	4.657862e-14	1.059596e+05	3.857598e-14	1.068034e+05	4.035665e-14	1.069419e+05	4.573528e-14	1.071348e+05	4.194608e-14
9.309543e+04	2.209326e-14	9.365170e+04	2.194917e-14	9.516614e+04	2.238166e-14	1.040310e+05	3.228335e-14	1.052501e+05	4.030147e-14	1.054073e+05	3.976580e-14	1.058263e+05	4.847001e-14	1.059602e+05	3.870796e-14	1.068040e+05	4.063864e-14	1.069425e+05	4.716722e-14	1.071354e+05	4.242908e-14
9.309603e+04	2.186672e-14	9.365230e+04	2.178680e-14	9.516674e+04	2.232506e-14	1.040316e+05	3.224988e-14	1.052507e+05	4.010417e-14	1.054079e+05	3.956612e-14	1.058269e+05	4.762086e-14	1.059608e+05	3.853724e-14	1.068046e+05	4.041160e-14	1.069431e+05	4.650989e-14	1.071360e+05	4.209475e-14
9.309666e+04	2.162334e-14	9.365293e+04	2.160838e-14	9.516737e+04	2.225258e-14	1.040322e+05	3.222398e-14	1.052514e+05	3.985639e-14	1.054085e+05	3.932055e-14	1.058276e+05	4.656287e-14	1.059614e+05	3.832935e-14	1.068052e+05	4.011629e-14	1.069437e+05	4.567630e-14	1.071367e+05	4.168679e-14
9.309732e+04	2.191073e-14	9.365359e+04	2.184131e-14	9.516803e+04	2.236141e-14	1.040329e+05	3.223685e-14	1.052520e+05	4.001376e-14	1.054092e+05	3.945006e-14	1.058282e+05	4.814264e-14	1.059621e+05	3.837591e-14	1.068058e+05	4.032037e-14	1.069444e+05	4.685811e-14	1.071373e+05	4.204439e-14
9.309801e+04	2.170566e-14	9.365428e+04	2.169526e-14	9.516872e+04	2.229825e-14	1.040336e+05	3.219353e-14	1.052527e+05	3.981917e-14	1.054099e+05	3.926543e-14	1.058289e+05	4.731687e-14	1.059628e+05	3.821131e-14	1.068065e+05	4.008691e-14	1.069451e+05	4.621797e-14	1.071380e+05	4.172497e-14
9.309874e+04	2.148708e-14	9.365501e+04	2.153525e-14	9.516945e+04	2.222363e-14	1.040343e+05	3.215881e-14	1.052534e+05	3.957516e-14	1.054106e+05	3.903579e-14	1.058296e+05	4.628482e-14	1.059635e+05	3.801284e-14	1.068073e+05	3.980599e-14	1.069458e+05	4.540616e-14	1.071387e+05	4.133636e-14
9.309950e+04	2.170675e-14	9.365577e+04	2.171104e-14	9.517021e+04	2.230505e-14	1.040351e+05	3.214887e-14	1.052542e+05	3.970029e-14	1.054114e+05	3.911977e-14	1.058304e+05	4.768389e-14	1.059642e+05	3.804876e-14	1.068080e+05	3.996315e-14	1.069466e+05	4.644527e-14	1.071395e+05	4.162513e-14
9.310029e+04	2.151923e-14	9.365656e+04	2.157657e-14	9.517100e+04	2.224508e-14	1.040359e+05	3.210297e-14	1.052550e+05	3.949726e-14	1.054122e+05	3.892870e-14	1.058312e+05	4.684539e-14	1.059650e+05	3.787821e-14	1.068088e+05	3.973722e-14	1.069474e+05	4.579506e-14	1.071403e+05	4.130993e-14
9.310112e+04	2.132154e-14	9.365739e+04	2.143114e-14	9.517183e+04	2.217578e-14	1.040367e+05	3.206597e-14	1.052558e+05	3.924643e-14	1.054130e+05	3.870164e-14	1.058320e+05	4.579834e-14	1.059659e+05	3.767501e-14	1.068096e+05	3.946002e-14	1.069482e+05	4.496962e-14	1.071411e+05	4.092517e-14
9.310199e+04	2.150125e-14	9.365826e+04	2.157623e-14	9.517270e+04	2.224702e-14	1.040376e+05	3.204611e-14	1.052567e+05	3.935755e-14	1.054139e+05	3.877649e-14	1.058329e+05	4.710167e-14	1.059667e+05	3.770394e-14	1.068105e+05	3.959344e-14	1.069491e+05	4.593760e-14	1.071420e+05	4.118427e-14
9.310290e+04	2.132960e-14	9.365917e+04	2.145402e-14	9.517361e+04	2.219446e-14	1.040385e+05	3.200383e-14	1.052576e+05	3.914724e-14	1.054148e+05	3.857742e-14	1.058338e+05	4.622074e-14	1.059677e+05	3.752855e-14	1.068114e+05	3.935931e-14	1.069500e+05	4.524855e-14	1.071429e+05	4.085912e-14
9.310386e+04	2.144888e-14	9.366013e+04	2.155578e-14	9.517457e+04	2.224856e-14	1.040394e+05	3.199024e-14	1.052586e+05	3.915846e-14	1.054157e+05	3.858977e-14	1.058348e+05	4.715916e-14	1.059686e+05	3.750410e-14	1.068124e+05	3.939966e-14	1.069509e+05	4.592395e-14	1.071438e+05	4.099700e-14
9.310485e+04	2.130145e-14	9.366112e+04	2.144993e-14	9.517556e+04	2.220940e-14	1.040404e+05	3.194379e-14	1.052596e+05	3.897609e-14	1.054167e+05	3.841751e-14	1.058358e+05	4.639929e-14	1.059696e+05	3.734568e-14	1.068134e+05	3.919114e-14	1.069519e+05	4.533134e-14	1.071448e+05	4.071452e-14
9.310590e+04	2.114496e-14	9.366217e+04	2.133542e-14	9.517661e+04	2.216212e-14	1.040415e+05	3.190585e-14	1.052606e+05	3.874959e-14	1.054178e+05	3.820590e-14	1.058368e+05	4.544339e-14	1.059707e+05	3.715891e-14	1.068144e+05	3.893809e-14	1.069530e+05	4.457687e-14	1.071459e+05	4.036878e-14
9.310700e+04	2.124834e-14	9.366327e+04	2.142967e-14	9.517771e+04	2.221942e-14	1.040426e+05	3.188357e-14	1.052617e+05	3.878337e-14	1.054189e+05	3.821879e-14	1.058379e+05	4.641804e-14	1.059717e+05	3.714374e-14	1.068155e+05	3.899102e-14	1.069541e+05	4.528303e-14	1.071470e+05	4.051529e-14
