R	E0	E1	E2	E3	E4	E5	E6	E7
1.97	106956.96	107500.71	108005.2	110469.73	109477.17	110752.93	110177.48	111970.36
1.98	106914.44	107389.4	107874.37	110299.35	109331.02	110588.15	110036.46	111791.94
1.99	106872.89	107283.23	107749.26	110136.07	109190.64	110430.56	109901.44	111620.8
2	106832	107182.08	107629.71	109979.64	109055.78	110279.91	109772.16	111456.59
2.01	106791.38	107085.87	107515.62	109829.88	108926.2	110136	109648.34	111298.98
2.02	106750.64	106994.51	107406.86	109686.56	108801.7	109998.58	109529.68	111147.62
2.03	106709.36	106907.95	107303.35	109549.53	108682.12	109867.47	109415.86	111002.17
2.04	106667.11	106826.13	107205.06	109418.67	108567.27	109742.44	109306.56	110862.29
2.05	106623.43	106748.98	107111.88	109293.85	108457	109623.33	109201.46	110727.62
2.06	106577.87	106676.36	107023.74	109174.94	108351.28	109509.93	109100.27	110597.85
2.07	106530.06	106608.14	106940.53	109061.85	108249.98	109402.05	109002.73	110472.68
2.08	106479.68	106544.09	106862.11	108954.49	108153.05	109299.5	108908.64	110351.91
2.09	106426.51	106483.93	106788.23	108852.71	108060.45	109202.15	108817.92	110235.37
2.1	106370.56	106427.33	106718.69	108756.33	107972.08	109109.76	108730.52	110122.97
2.15	106059.52	106186.41	106425.12	108347.58	107589.68	108715.94	108344.12	109622.13
2.2	105739.82	105996.22	106199.46	108036.56	107291.42	108416.1	108039.78	109218.65
2.25	105452.23	105844.67	106023.5	107797.19	107058.63	108187.15	107804.66	108898.92
2.3	105208.93	105725.7	105886.97	107612.42	106877.31	108012.27	107624.01	108647.25
2.35	105008.01	105633.85	105782.08	107470.07	106736.92	107879.2	107485.87	108450.05
2.4	104846.79	105564.65	105703.08	107361.16	106629.16	107778.78	107381.2	108296.34
2.45	104718.31	105513.68	105644.61	107278.3	106547.32	107703.6	107302.7	108177.09
2.5	104617.04	105477.28	105602.43	107215.65	106485.91	107647.88	107244.7	108085.04
2.55	104538.03	105452.4	105573.04	107168.47	106440.53	107606.94	107202.65	108014.27
2.6	104477.06	105436.53	105553.61	107132.9	106407.53	107577.09	107172.93	107960.01
2.65	104430.55	105427.55	105541.76	107105.8	106383.88	107555.22	107152.52	107918.19
2.7	104395.54	105423.78	105535.71	107084.89	106367.51	107539.19	107139.3	107886.06
2.75	104369.61	105423.87	105533.9	107068.09	106356.37	107527.02	107131.31	107860.95
2.8	104350.72	105426.68	105535.12	107053.85	106348.95	107517.27	107127.09	107840.87
2.85	104337.26	105431.36	105538.42	107040.98	106344.1	107508.75	107125.49	107824.27
2.9	104327.9	105437.19	105543.05	107028.54	106340.86	107500.68	107125.6	107809.92
3	104317.51	105450.35	105554.14	107002.48	106336.59	107483.46	107128.4	107784.49
3.1	104313.49	105463.21	105565.32	106972.27	106332.3	107462.57	107131.8	107759.67
3.2	104312.05	105474.21	105574.95	106936.62	106326.13	107436.89	107133.94	107732.99
3.3	104310.9	105482.51	105582.22	106895.31	106317.21	107406.39	107133.98	107703.52
3.4	104308.82	105487.88	105586.94	106848.99	106305.46	107371.81	107131.8	107671.25
3.5	104305.15	105490.33	105589.2	106798.59	106291.13	107334.17	107127.6	107636.68
3.6	104299.68	105490.08	105589.34	106745.33	106274.72	107294.65	107121.81	107600.59
3.7	104292.27	105487.24	105587.45	106690.23	106256.71	107254.34	107114.79	107563.86
3.8	104283.35	105482.28	105583.99	106634.17	106237.67	107214.02	107106.99	107527.15
3.9	104272.58	105475.34	105579.11	106578.11	106218.05	107174.58	107098.76	107491.19
4	104260.52	105466.73	105573.09	106522.71	106198.3	107136.7	107090.4	107456.58
4.1	104247.5	105456.91	105566.31	106468.77	106178.78	107101.03	107082.24	107423.8
4.2	104233.73	105446.07	105558.87	106416.61	106159.78	107067.74	107074.36	107393.07
4.3	104219.53	105434.53	105551.04	106366.64	106141.5	107037.12	107066.93	107364.61
4.4	104205.08	105422.44	105542.76	106318.99	106124.1	107009.13	107059.89	107338.54
4.5	104190.63	105410.1	105534.24	106273.88	106107.68	106983.82	107053.33	107314.84
4.6	104176.61	105397.65	105525.59	106231.5	106092.51	106961.2	107047.31	107293.71
4.7	104162.7	105385.32	105516.84	106191.78	106078.19	106941	107041.49	107274.52
4.8	104149.32	105373.25	105508.18	106154.79	106064.97	106923.11	107035.99	107257.39
4.9	104136.58	105361.62	105499.59	106120.53	106052.83	106907.34	107030.76	107242.16
5	104124.56	105350.5	105491.19	106088.97	106041.72	106893.49	107025.67	107228.67
5.1	104113.33	105339.94	105483.07	106060.01	106031.58	106881.35	107020.7	107216.72
5.2	104102.91	105330.04	105475.25	106033.58	106022.38	106870.74	107015.81	107206.17
5.3	104093.31	105320.81	105467.79	106009.57	106014.06	106861.43	107010.98	107196.83
5.4	104084.53	105312.25	105460.75	105987.84	106006.54	106853.27	107006.17	107188.54
5.5	104076.56	105304.4	105454.16	105968.3	105999.8	106846.11	107001.41	107181.24
5.6	104069.36	105297.21	105448.04	105950.75	105993.77	106839.83	106996.72	107174.78
5.7	104062.9	105290.69	105442.38	105935.03	105988.37	106834.29	106992.11	107169.03
5.8	104057.12	105284.75	105437.18	105921.02	105983.57	106829.38	106987.59	107163.92
5.9	104051.97	105279.41	105432.44	105908.55	105979.28	106825.06	106983.2	107159.38
6	104047.42	105274.59	105428.16	105897.47	105975.48	106821.21	106978.95	107155.33
6.2	104039.85	105266.41	105420.83	105878.92	105969.11	106814.74	106971.01	107148.48
6.4	104034.02	105259.92	105414.93	105864.38	105964.1	106809.6	106963.91	107143.02
6.6	104029.56	105254.77	105410.27	105853.01	105960.18	106805.51	106957.66	107138.61
6.8	104026.23	105250.71	105406.6	105844.16	105957.17	106802.28	106952.36	107135.19
7	104023.75	105247.53	105403.72	105837.23	105954.8	106799.71	106947.86	107132.41
7.2	104021.94	105245.07	105401.48	105831.83	105952.97	106797.69	106944.14	107130.2
7.4	104020.62	105243.15	105399.76	105827.62	105951.57	106796.11	106941.08	107128.47
7.6	104019.67	105241.26	105398.07	105824.5	105950.42	106795.04	106938.47	107127.1
7.8	104019	105240.23	105397.12	105821.95	105949.63	106794.04	106936.51	107126.03
8	104018.55	105239.46	105396.43	105819.95	105949.01	106793.3	106934.95	107125.2
8.2	104018.26	105238.87	105395.9	105818.42	105948.55	106792.72	106933.73	107124.57
8.4	104018.11	105238.41	105395.48	105817.23	105948.21	106792.3	106932.75	107124.07
8.6	104017.99	105238.1	105395.2	105816.33	105947.95	106791.95	106932	107123.7
8.8	104017.91	105237.86	105394.98	105815.62	105947.76	106791.73	106931.43	107123.4
9	104017.89	105237.68	105394.81	105815.1	105947.63	106791.56	106930.99	107123.19
9.2	104017.88	105237.56	105394.72	105814.71	105947.57	106791.44	106930.66	107123.07
