R	Re<0|V|1>	Re<0|V|2>	Re<0|V|3>	Re<0|V|4>	Re<0|V|5>	Re<0|V|6>	Re<0|V|7>	Re<1|V|2>	Re<1|V|3>	Re<1|V|4>	Re<1|V|5>	Re<1|V|6>	Re<1|V|7>	Re<2|V|3>	Re<2|V|4>	Re<2|V|5>	Re<2|V|6>	Re<2|V|7>	Re<3|V|4>	Re<3|V|5>	Re<3|V|6>	Re<3|V|7>	Re<4|V|5>	Re<4|V|6>	Re<4|V|7>	Re<5|V|6>	Re<5|V|7>	Re<6|V|7>
1.97	35.58	14.98	-27.9	67.72	21.82	22.36	510.95	869.14	854.62	-351.33	-958.27	696.81	38.79	-279.78	-1173.88	150.25	951.76	98.82	452.79	1105.92	-293.49	306.82	-281.36	1741.67	-576.35	83.96	301.58	-308.52
1.98	38.54	16.95	-26.63	65.61	26.03	11.02	476.87	836.68	813.65	-335.89	-918.09	676.88	27.09	-267.98	-1126.68	134.21	912.12	91.57	451.2	1091.86	-281.8	307.89	-272.7	1697.74	-580.68	74.63	304.71	-314.61
1.99	41.84	19.12	-25.26	63.3	31.13	-1.73	444.09	805.46	774.17	-320.66	-879.68	657.73	14.56	-257.02	-1080.86	118.82	874.07	83.31	450.05	1078.18	-270.74	308.48	-264.46	1655.6	-584.38	65.8	308	-321.03
2	45.49	21.52	-23.77	60.73	37.24	-16.08	412.71	775.49	736.13	-305.58	-842.98	639.3	1.1	-246.88	-1036.36	104.07	837.53	73.95	449.34	1064.84	-260.34	308.56	-256.67	1615.22	-587.4	57.49	311.48	-327.81
2.01	49.5	24.16	-22.11	57.85	44.42	-32.16	382.86	746.76	699.52	-290.66	-807.97	621.53	-13.4	-237.61	-993.13	90.04	802.45	63.38	449.07	1051.79	-250.62	308.09	-249.33	1576.57	-589.66	49.76	315.14	-334.98
2.02	53.89	27.04	-20.27	54.6	52.77	-50.07	354.7	719.29	664.36	-275.88	-774.61	604.32	-29	-229.2	-951.18	76.74	768.74	51.51	449.28	1038.94	-241.64	307.03	-242.48	1539.63	-591.15	42.69	319	-342.56
2.03	58.61	30.17	-18.21	50.88	62.31	-69.87	328.47	693.11	630.65	-261.24	-742.87	587.57	-45.75	-221.67	-910.46	64.28	736.32	38.32	449.97	1026.25	-233.45	305.35	-236.16	1504.36	-591.81	36.38	323.06	-350.58
2.04	63.65	33.53	-15.89	46.66	73.07	-91.53	304.43	668.21	598.42	-246.78	-712.68	571.14	-63.64	-215.04	-871.02	52.73	705.07	23.79	451.11	1013.61	-226.11	303.09	-230.37	1470.73	-591.65	30.92	327.3	-359.03
2.05	68.94	37.07	-13.3	41.88	84.99	-114.91	282.91	644.61	567.71	-232.54	-683.95	554.92	-82.55	-209.27	-832.89	42.19	674.9	8.04	452.7	1000.97	-219.67	300.27	-225.17	1438.69	-590.69	26.43	331.69	-367.9
2.06	74.35	40.75	-10.42	36.53	97.9	-139.69	264.16	622.28	538.59	-218.6	-656.65	538.75	-102.28	-204.36	-796.18	32.79	645.7	-8.72	454.7	988.24	-214.15	296.95	-220.54	1408.17	-589.03	23.04	336.19	-377.11
