R	Re<0|V|1>	Re<0|V|2>	Re<0|V|3>	Re<0|V|4>	Re<0|V|5>	Re<0|V|6>	Re<0|V|7>	Re<1|V|2>	Re<1|V|3>	Re<1|V|4>	Re<1|V|5>	Re<1|V|6>	Re<1|V|7>	Re<2|V|3>	Re<2|V|4>	Re<2|V|5>	Re<2|V|6>	Re<2|V|7>	Re<3|V|4>	Re<3|V|5>	Re<3|V|6>	Re<3|V|7>	Re<4|V|5>	Re<4|V|6>	Re<4|V|7>	Re<5|V|6>	Re<5|V|7>	Re<6|V|7>
1.97	0.029569	0.006787	-0.014232	0.021498	0.015142	-0.023737	-0.002047	-0.021553	0.083056	0.132815	0.065821	0.1205	-0.139399	-0.122659	-0.038614	-0.099523	-0.041522	-0.025925	-0.00048	-0.071551	-0.110922	0.068907	-0.136915	0.068136	-0.087565	-0.000931	-0.070441	0.111806
1.98	0.030312	0.006961	-0.01459	0.022042	0.015523	-0.024337	-0.002099	-0.022096	0.085147	0.136158	0.067479	0.123533	-0.142906	-0.125764	-0.039586	-0.102046	-0.042566	-0.026592	-0.000477	-0.073352	-0.113729	0.07064	-0.140377	0.069852	-0.089782	-0.00097	-0.072214	0.114632
1.99	0.031055	0.007138	-0.014947	0.022588	0.015903	-0.024939	-0.00215	-0.022638	0.087237	0.139496	0.069135	0.126562	-0.146408	-0.12888	-0.040555	-0.104581	-0.043607	-0.027271	-0.000459	-0.075152	-0.116546	0.072371	-0.143849	0.071567	-0.092009	-0.001023	-0.073985	0.117467
2	0.031795	0.007318	-0.015304	0.023135	0.016282	-0.025542	-0.002202	-0.023178	0.08932	0.142821	0.070787	0.12958	-0.149896	-0.132001	-0.041521	-0.107125	-0.044644	-0.027963	-0.000426	-0.076946	-0.119367	0.074094	-0.147324	0.073277	-0.094239	-0.001091	-0.07575	0.120304
2.01	0.03253	0.0075	-0.015657	0.023682	0.016659	-0.026144	-0.002253	-0.023715	0.091391	0.146126	0.072429	0.132579	-0.153361	-0.13512	-0.04248	-0.10967	-0.045674	-0.028664	-0.000378	-0.07873	-0.122184	0.075806	-0.150793	0.074978	-0.096469	-0.001174	-0.077503	0.123135
2.02	0.033258	0.007684	-0.016008	0.024227	0.017032	-0.026744	-0.002304	-0.024247	0.093444	0.149399	0.074058	0.13555	-0.156793	-0.138228	-0.043429	-0.112211	-0.046693	-0.029374	-0.000314	-0.080498	-0.124992	0.077501	-0.154248	0.076664	-0.098692	-0.001273	-0.079241	0.125954
2.03	0.033977	0.007869	-0.016354	0.024769	0.0174	-0.02734	-0.002354	-0.024773	0.095474	0.152633	0.075668	0.138485	-0.160183	-0.141317	-0.044367	-0.11474	-0.047698	-0.030093	-0.000233	-0.082245	-0.127783	0.079174	-0.157678	0.078331	-0.100904	-0.001388	-0.080958	0.128753
2.04	0.034684	0.008056	-0.016695	0.025306	0.017763	-0.02793	-0.002404	-0.025291	0.097474	0.155817	0.077255	0.141376	-0.163519	-0.14438	-0.04529	-0.117253	-0.048687	-0.030817	-0.000135	-0.083967	-0.130549	0.080821	-0.161075	0.079975	-0.103097	-0.00152	-0.082648	0.131525
2.05	0.035378	0.008244	-0.017029	0.025838	0.018119	-0.028513	-0.002453	-0.0258	0.099438	0.158941	0.078814	0.144213	-0.166792	-0.147408	-0.046194	-0.119741	-0.049656	-0.031547	-1.8E-05	-0.085657	-0.133283	0.082436	-0.16443	0.081589	-0.105266	-0.00167	-0.084308	0.134261
2.06	0.036057	0.008432	-0.017355	0.026361	0.018466	-0.029087	-0.002501	-0.026297	0.10136	0.161996	0.08034	0.146987	-0.169991	-0.150392	-0.047078	-0.122198	-0.050603	-0.03228	0.000116	-0.087312	-0.135976	0.084014	-0.167731	0.08317	-0.107404	-0.001837	-0.08593	0.136953
