T, K	k_01, cm3/s	k_02, cm3/s	k_03, cm3/s	k_04, cm3/s	k_05, cm3/s	k_06, cm3/s	k_07, cm3/s	k_10, cm3/s	k_12, cm3/s	k_13, cm3/s	k_14, cm3/s	k_15, cm3/s	k_16, cm3/s	k_17, cm3/s	k_20, cm3/s	k_21, cm3/s	k_23, cm3/s	k_24, cm3/s	k_25, cm3/s	k_26, cm3/s	k_27, cm3/s	k_30, cm3/s	k_31, cm3/s	k_32, cm3/s	k_34, cm3/s	k_35, cm3/s	k_36, cm3/s	k_37, cm3/s	k_40, cm3/s	k_41, cm3/s	k_42, cm3/s	k_43, cm3/s	k_45, cm3/s	k_46, cm3/s	k_47, cm3/s	k_50, cm3/s	k_51, cm3/s	k_52, cm3/s	k_53, cm3/s	k_54, cm3/s	k_56, cm3/s	k_57, cm3/s	k_60, cm3/s	k_61, cm3/s	k_62, cm3/s	k_63, cm3/s	k_64, cm3/s	k_65, cm3/s	k_67, cm3/s	k_70, cm3/s	k_71, cm3/s	k_72, cm3/s	k_73, cm3/s	k_74, cm3/s	k_75, cm3/s	k_76, cm3/s	
3.000000e+02	1.337236e-14	8.068857e-16	1.772313e-21	4.397532e-19	1.914943e-22	4.975810e-21	2.835175e-24	6.638288e-13	2.618776e-10	4.438524e-17	6.656254e-16	1.630789e-19	2.014741e-18	3.611972e-21	6.495037e-14	3.102120e-10	1.576256e-15	2.087547e-15	4.525664e-18	1.238038e-18	9.369816e-21	4.180643e-19	6.158110e-17	1.511910e-15	1.122419e-08	3.228223e-14	1.782160e-11	2.395576e-18	5.882569e-16	5.948306e-15	1.199579e-14	9.530284e-09	6.449475e-17	7.791408e-14	3.350440e-18	1.376502e-17	5.646320e-18	1.466233e-16	1.111578e-12	7.040584e-16	8.112391e-11	1.414296e-12	3.646947e-16	7.077520e-16	1.870692e-16	3.632055e-10	1.751129e-12	8.727708e-11	1.106148e-11	7.404879e-19	1.724619e-18	3.434126e-18	3.327185e-16	1.956856e-16	4.399750e-12	1.622547e-11
3.500000e+02	4.218826e-14	2.688465e-15	7.188891e-21	2.847998e-18	2.950543e-21	5.907419e-20	5.525984e-23	1.028293e-12	3.415277e-10	6.442602e-17	1.838723e-15	4.431776e-19	9.353181e-18	1.705493e-20	9.612609e-14	3.797347e-10	2.027215e-15	5.234966e-15	1.218357e-17	4.781107e-18	4.635026e-20	1.160151e-18	9.025045e-17	1.832798e-15	1.247078e-08	1.246095e-13	4.349661e-11	1.314100e-17	1.139621e-15	1.278542e-14	2.264294e-14	1.028391e-08	1.664543e-16	2.222698e-13	1.339141e-17	3.645136e-17	9.439563e-18	2.834336e-16	2.317181e-12	1.475988e-15	1.007057e-10	3.696427e-12	7.390888e-16	1.319544e-15	3.515758e-16	4.592824e-10	2.891252e-12	1.034873e-10	1.700038e-11	2.751148e-18	4.640448e-18	9.120597e-18	8.442887e-16	4.475605e-16	9.403490e-12	2.306500e-11
4.000000e+02	1.014915e-13	6.703929e-15	2.604470e-20	1.190714e-17	2.414839e-20	4.048590e-19	6.635095e-22	1.461552e-12	4.195568e-10	9.078444e-17	4.338324e-15	9.805628e-19	3.155100e-17	6.836776e-20	1.314239e-13	4.468319e-10	2.509524e-15	1.116208e-14	2.829776e-17	1.483156e-17	1.882033e-19	3.019018e-18	1.415133e-16	2.328091e-15	1.345084e-08	3.501605e-13	8.457206e-11	5.048890e-17	1.957164e-15	2.363455e-14	3.944576e-14	1.090827e-08	3.897032e-16	5.036172e-13	4.163472e-17	7.819320e-17	1.699558e-17	5.443111e-16	4.135621e-12	2.795095e-15	1.191468e-10	7.773033e-12	1.414575e-15	2.223970e-15	6.843019e-16	5.526567e-10	4.394357e-12	1.187793e-10	2.408791e-11	8.572371e-18	1.108100e-17	2.073639e-17	1.805938e-15	8.688494e-16	1.703800e-11	3.091156e-11
4.500000e+02	2.029526e-13	1.373367e-14	8.703577e-20	3.710122e-17	1.271622e-19	1.939274e-18	5.290056e-21	1.950462e-12	4.950301e-10	1.299225e-16	8.843644e-15	1.966127e-18	8.471109e-17	2.367649e-19	1.696409e-13	5.114478e-10	3.093816e-15	2.156707e-14	6.096826e-17	4.118708e-17	6.309860e-19	6.807972e-18	2.308681e-16	3.116865e-15	1.423090e-08	7.948386e-13	1.413464e-10	1.505044e-16	3.093099e-15	3.890738e-14	6.606905e-14	1.143443e-08	8.270400e-16	9.751335e-13	1.057303e-16	1.457673e-16	3.167569e-17	9.914727e-16	6.638124e-12	4.870460e-15	1.364421e-10	1.407723e-11	2.611343e-15	3.462793e-15	1.386277e-15	6.424357e-10	6.284831e-12	1.332278e-10	3.223523e-11	2.297174e-17	2.323521e-17	4.144171e-17	3.416982e-15	1.503531e-15	2.752605e-11	3.969663e-11
5.000000e+02	3.556499e-13	2.446756e-14	2.578383e-19	9.400583e-17	4.903442e-19	7.259642e-18	3.034026e-20	2.481933e-12	5.675541e-10	1.927212e-16	1.598299e-14	3.827786e-18	1.920003e-16	7.024886e-19	2.097432e-13	5.736007e-10	3.878320e-15	3.909246e-14	1.245543e-16	1.072638e-16	1.780462e-18	1.343279e-17	3.811618e-16	4.337707e-15	1.485936e-08	1.551937e-12	2.125399e-10	3.726783e-16	4.604613e-15	5.867720e-14	1.078064e-13	1.188404e-08	1.603391e-15	1.686990e-12	2.306042e-16	2.479437e-16	5.968673e-17	1.700235e-15	9.874053e-12	7.934145e-15	1.526781e-10	2.290094e-11	4.653045e-15	5.061834e-15	2.793634e-15	7.282468e-10	8.579305e-12	1.469386e-10	4.136150e-11	5.420338e-17	4.357186e-17	7.522051e-17	5.895485e-15	2.411824e-15	4.092292e-11	4.935738e-11
5.500000e+02	5.651991e-13	3.932946e-14	6.661037e-19	2.048335e-16	1.511466e-18	2.268118e-17	1.339447e-19	3.044092e-12	6.369955e-10	2.960919e-16	2.626451e-14	7.501527e-18	3.823859e-16	1.801108e-18	2.508875e-13	6.333265e-10	4.986736e-15	6.747460e-14	2.416520e-16	2.625462e-16	4.354178e-18	2.379616e-17	6.253805e-16	6.152966e-15	1.537139e-08	2.713353e-12	2.960021e-10	8.026030e-16	6.555181e-15	8.284139e-14	1.712168e-13	1.227268e-08	2.874481e-15	2.683568e-12	4.499633e-16	3.979703e-16	1.116832e-16	2.759120e-15	1.387661e-11	1.223937e-14	1.679786e-10	3.439847e-11	7.960545e-15	7.032393e-15	5.384729e-15	8.100016e-10	1.128680e-11	1.600268e-10	5.139439e-11	1.148608e-16	7.464363e-17	1.270863e-16	9.469785e-15	3.684153e-15	5.716265e-11	5.983677e-11
6.000000e+02	8.337691e-13	5.847517e-14	1.515094e-18	3.984556e-16	3.956246e-18	6.152851e-17	4.796658e-19	3.626748e-12	7.033467e-10	4.649271e-16	4.006956e-14	1.486924e-17	6.884341e-16	4.068184e-18	2.924088e-13	6.906639e-10	6.570472e-15	1.114634e-13	4.445038e-16	5.976950e-16	9.490625e-18	3.876449e-17	1.009097e-15	8.757228e-15	1.579275e-08	4.363716e-12	3.892621e-10	1.552259e-15	9.013940e-15	1.112799e-13	2.635397e-13	1.261187e-08	4.825218e-15	4.002017e-12	8.092743e-16	6.159606e-16	2.042606e-16	4.266674e-15	1.866668e-11	1.806254e-14	1.824764e-10	4.860860e-11	1.303044e-14	9.374874e-15	9.766749e-15	8.877660e-10	1.440906e-11	1.726022e-10	6.227146e-11	2.222408e-16	1.189963e-16	2.032438e-16	1.437794e-14	5.448112e-15	7.609959e-11	7.108622e-11
6.500000e+02	1.160598e-12	8.183245e-14	3.091789e-18	7.101181e-16	9.169383e-18	1.486735e-16	1.450154e-18	4.221474e-12	7.666604e-10	7.338815e-16	5.768660e-14	2.936289e-17	1.143887e-15	8.267258e-18	3.337961e-13	7.456525e-10	8.812549e-15	1.765580e-13	7.755431e-16	1.259045e-15	1.886240e-17	5.919896e-17	1.591665e-15	1.238375e-14	1.614257e-08	6.577151e-12	4.898776e-10	2.759280e-15	1.205365e-14	1.439626e-13	3.920745e-13	1.291033e-08	7.668714e-15	5.671688e-12	1.369402e-15	9.304329e-16	3.610034e-16	6.325507e-15	2.425529e-11	2.570632e-14	1.962975e-10	6.548176e-11	2.040589e-14	1.208307e-14	1.664870e-14	9.616862e-10	1.794126e-11	1.847625e-10	7.394120e-11	3.981285e-16	1.792100e-16	3.111950e-16	2.087551e-14	7.867504e-15	9.754083e-11	8.306721e-11
7.000000e+02	1.542700e-12	1.091571e-13	5.770091e-18	1.180964e-15	1.936844e-17	3.258566e-16	3.816643e-18	4.821485e-12	8.270186e-10	1.148469e-15	7.935822e-14	5.667976e-17	1.781574e-15	1.540443e-17	3.746663e-13	7.983348e-10	1.193024e-14	2.686456e-13	1.286861e-15	2.459483e-15	3.478950e-17	8.602679e-17	2.445755e-15	1.730561e-14	1.643526e-08	9.415926e-12	5.956244e-10	4.586727e-15	1.574797e-14	1.809988e-13	5.636503e-13	1.317482e-08	1.164584e-14	7.714131e-12	2.209616e-15	1.378713e-15	6.129100e-16	9.035242e-15	3.064536e-11	3.550126e-14	2.095543e-10	8.490574e-11	3.064620e-14	1.514801e-14	2.680800e-14	1.031947e-09	2.187291e-11	1.965903e-10	8.636280e-11	6.680648e-16	2.580458e-16	4.597882e-16	2.924825e-14	1.113531e-14	1.212695e-10	9.575102e-11
7.500000e+02	1.975574e-12	1.400894e-13	1.001364e-17	1.857388e-15	3.802500e-17	6.570162e-16	8.955849e-18	5.421432e-12	8.845178e-10	1.765182e-15	1.053225e-13	1.055142e-16	2.631941e-15	2.673880e-17	4.147398e-13	8.487583e-10	1.617474e-14	3.936276e-13	2.038597e-15	4.483888e-15	6.034635e-17	1.203224e-16	3.655386e-15	2.383133e-14	1.668180e-08	1.293030e-11	7.045783e-10	7.224232e-15	2.016851e-14	2.226386e-13	7.842394e-13	1.341068e-08	1.702471e-14	1.014347e-11	3.428981e-15	2.006263e-15	9.981713e-16	1.248597e-14	3.783302e-11	4.780464e-14	2.223434e-10	1.067270e-10	4.429952e-14	1.856086e-14	4.105619e-14	1.098750e-09	2.618883e-11	2.081528e-10	9.950474e-11	1.060250e-15	3.586376e-16	6.591913e-16	3.982483e-14	1.546325e-14	1.470605e-10	1.091169e-10
