T, K	k_01, cm3/s	k_02, cm3/s	k_03, cm3/s	k_04, cm3/s	k_05, cm3/s	k_06, cm3/s	k_07, cm3/s	k_10, cm3/s	k_12, cm3/s	k_13, cm3/s	k_14, cm3/s	k_15, cm3/s	k_16, cm3/s	k_17, cm3/s	k_20, cm3/s	k_21, cm3/s	k_23, cm3/s	k_24, cm3/s	k_25, cm3/s	k_26, cm3/s	k_27, cm3/s	k_30, cm3/s	k_31, cm3/s	k_32, cm3/s	k_34, cm3/s	k_35, cm3/s	k_36, cm3/s	k_37, cm3/s	k_40, cm3/s	k_41, cm3/s	k_42, cm3/s	k_43, cm3/s	k_45, cm3/s	k_46, cm3/s	k_47, cm3/s	k_50, cm3/s	k_51, cm3/s	k_52, cm3/s	k_53, cm3/s	k_54, cm3/s	k_56, cm3/s	k_57, cm3/s	k_60, cm3/s	k_61, cm3/s	k_62, cm3/s	k_63, cm3/s	k_64, cm3/s	k_65, cm3/s	k_67, cm3/s	k_70, cm3/s	k_71, cm3/s	k_72, cm3/s	k_73, cm3/s	k_74, cm3/s	k_75, cm3/s	k_76, cm3/s	
3.000000e+02	2.253766e-14	3.362264e-14	1.243809e-14	5.456294e-16	6.453516e-20	2.476854e-19	1.801591e-20	7.790089e-12	1.637278e-11	6.579921e-12	2.070448e-13	1.554477e-17	6.062916e-17	1.165521e-17	2.468861e-11	3.478559e-11	3.609887e-12	1.852324e-13	4.112690e-17	5.090968e-17	1.835601e-17	6.810356e-11	1.042434e-10	2.691812e-11	2.477643e-11	3.674445e-14	1.297456e-13	5.622092e-16	5.675923e-12	6.231796e-12	2.624165e-12	4.707132e-11	2.234813e-13	7.216470e-13	2.239475e-15	3.836273e-14	2.673788e-14	3.329643e-14	4.000968e-12	1.277125e-11	5.970709e-11	8.693684e-14	2.861251e-13	2.026347e-13	8.009153e-14	2.737200e-11	8.013483e-11	1.160195e-10	2.171640e-12	5.248658e-14	9.824019e-14	7.282250e-14	2.991303e-13	6.271972e-13	4.261197e-13	5.476580e-12
3.500000e+02	5.990732e-14	1.002636e-13	4.498962e-14	2.550389e-15	4.673021e-19	1.970903e-18	1.656588e-19	8.983463e-12	2.208544e-11	1.012399e-11	4.113353e-13	5.566514e-17	2.566477e-16	5.031693e-17	2.868131e-11	4.213366e-11	5.253491e-12	3.395505e-13	1.305571e-16	1.892815e-16	7.339777e-17	7.202261e-11	1.080876e-10	2.940011e-11	3.588736e-11	8.114202e-14	3.155524e-13	1.989708e-15	7.077290e-12	7.612425e-12	3.293895e-12	6.220743e-11	4.354744e-13	1.544907e-12	7.095299e-15	4.157565e-14	3.302970e-14	4.060718e-14	4.518891e-12	1.396227e-11	6.971088e-11	1.449064e-13	3.099020e-13	2.691157e-13	1.040413e-13	3.099238e-11	8.753566e-11	1.231943e-10	3.573160e-12	5.755949e-14	1.165891e-13	8.914561e-14	4.318371e-13	8.883998e-13	5.659410e-13	7.895590e-12
4.000000e+02	1.262365e-13	2.284231e-13	1.181342e-13	8.259990e-15	2.057324e-18	9.333122e-18	8.683988e-19	1.011926e-11	2.778663e-11	1.392522e-11	6.977113e-13	1.495800e-16	7.891173e-16	1.531013e-16	3.222097e-11	4.889829e-11	6.983666e-12	5.435605e-13	3.166751e-16	5.372496e-16	2.096327e-16	7.519478e-11	1.105791e-10	3.151351e-11	4.856948e-11	1.485840e-13	6.217549e-13	5.300164e-15	8.508087e-12	8.965747e-12	3.969189e-12	7.859621e-11	7.186242e-13	2.750141e-12	1.727849e-14	4.404430e-14	3.995112e-14	4.806340e-14	5.005137e-12	1.493640e-11	7.811706e-11	2.222832e-13	3.288627e-13	3.468722e-13	1.342019e-13	3.441753e-11	9.407566e-11	1.285656e-10	5.363151e-12	6.123588e-14	1.346802e-13	1.047909e-13	5.871504e-13	1.182859e-12	7.321756e-13	1.073273e-11
4.500000e+02	2.282414e-13	4.346885e-13	2.505282e-13	2.088716e-14	6.501627e-18	3.127757e-17	3.131956e-18	1.124096e-11	3.336439e-11	1.777945e-11	1.062360e-12	3.320113e-16	1.947516e-15	3.690192e-16	3.537975e-11	5.514013e-11	8.730395e-12	7.927180e-13	6.412747e-16	1.264223e-15	4.785580e-16	7.782764e-11	1.121511e-10	3.332227e-11	6.259832e-11	2.408758e-13	1.063028e-12	1.161117e-14	9.953366e-12	1.027945e-11	4.641228e-12	9.602278e-11	1.064056e-12	4.324870e-12	3.508115e-14	4.596565e-14	4.766280e-14	5.570425e-14	5.488329e-12	1.578674e-11	8.516390e-11	3.198673e-13	3.443489e-13	4.353514e-13	1.710039e-13	3.767217e-11	9.991653e-11	1.326149e-10	7.534719e-12	6.388545e-14	1.528362e-13	1.199293e-13	7.623797e-13	1.501624e-12	9.228826e-13	1.395984e-11
5.000000e+02	3.710504e-13	7.289781e-13	4.574558e-13	4.433194e-14	1.629924e-17	8.231727e-17	8.704543e-18	1.237653e-11	3.877021e-11	2.155216e-11	1.497409e-12	6.445411e-16	4.101720e-15	7.560026e-16	3.821496e-11	6.093466e-11	1.044742e-11	1.081194e-12	1.144527e-15	2.591326e-15	9.344322e-16	8.005690e-11	1.130805e-10	3.487706e-11	7.777823e-11	3.594949e-13	1.643682e-12	2.209568e-14	1.140245e-11	1.154699e-11	5.304765e-12	1.143111e-10	1.463359e-12	6.230875e-12	6.248906e-14	4.749391e-14	5.630856e-14	6.361875e-14	5.991232e-12	1.657854e-11	9.108049e-11	4.377320e-13	3.573380e-13	5.338135e-13	2.145780e-13	4.077051e-11	1.051591e-10	1.356839e-10	1.007357e-11	6.582221e-14	1.713888e-13	1.347843e-13	9.547112e-13	1.837133e-12	1.135956e-12	1.754750e-11
5.500000e+02	5.584711e-13	1.114700e-12	7.491105e-13	8.272923e-14	3.455018e-17	1.817990e-16	2.004190e-17	1.354240e-11	4.399423e-11	2.516155e-11	1.993195e-12	1.134389e-15	7.672502e-15	1.376732e-15	4.077153e-11	6.636062e-11	1.210603e-11	1.403024e-12	1.864084e-15	4.777975e-15	1.629424e-15	8.197508e-11	1.135505e-10	3.621918e-11	9.393986e-11	5.061684e-13	2.360170e-12	3.785192e-14	1.284765e-11	1.276526e-11	5.957046e-12	1.333146e-10	1.910385e-12	8.417270e-12	1.009868e-13	4.874941e-14	6.600877e-14	7.191038e-14	6.531288e-12	1.735723e-11	9.606834e-11	5.754173e-13	3.685440e-13	6.414171e-13	2.648115e-13	4.372163e-11	1.098744e-10	1.380215e-10	1.296019e-11	6.729177e-14	1.906232e-13	1.495700e-13	1.161352e-12	2.183308e-12	1.369249e-12	2.146503e-11
6.000000e+02	7.932316e-13	1.589987e-12	1.130433e-12	1.400443e-13	6.462381e-17	3.521546e-16	4.012076e-17	1.474696e-11	4.904974e-11	2.856233e-11	2.539688e-12	1.853105e-15	1.309844e-14	2.295570e-15	4.308500e-11	7.149491e-11	1.368979e-11	1.752715e-12	2.835300e-15	8.103192e-15	2.611105e-15	8.364745e-11	1.136862e-10	3.738285e-11	1.109358e-10	6.829896e-13	3.203638e-12	5.981161e-14	1.428344e-11	1.393329e-11	6.596998e-12	1.529081e-10	2.401376e-12	1.082942e-11	1.515049e-13	4.982553e-14	7.685452e-14	8.067352e-14	7.120726e-12	1.815333e-11	1.002980e-10	7.320688e-13	3.784913e-13	7.572509e-13	3.213962e-13	4.653185e-11	1.141178e-10	1.398121e-10	1.617090e-11	6.847883e-14	2.107525e-13	1.644626e-13	1.379605e-12	2.535355e-12	1.620594e-12	2.567994e-11
6.500000e+02	1.077142e-12	2.149199e-12	1.601827e-12	2.197847e-13	1.098584e-16	6.168820e-16	7.220161e-17	1.599322e-11	5.396311e-11	3.173335e-11	3.127281e-12	2.854880e-15	2.080521e-14	3.576246e-15	4.518388e-11	7.640959e-11	1.519066e-11	2.125492e-12	4.091370e-15	1.284550e-14	3.921410e-15	8.512132e-11	1.135750e-10	3.839659e-11	1.286365e-10	8.922303e-13	4.162000e-12	8.868783e-14	1.570579e-11	1.505127e-11	7.224618e-12	1.729828e-10	2.934340e-12	1.341433e-11	2.144541e-13	5.079389e-14	8.890238e-14	8.997964e-14	7.766819e-12	1.898584e-11	1.039112e-10	9.065239e-13	3.875659e-13	8.803438e-13	3.838687e-13	4.920579e-11	1.179355e-10	1.411947e-10	1.967824e-11	6.951903e-14	2.319095e-13	1.795898e-13	1.606901e-12	2.889494e-12	1.887783e-12	3.015751e-11
7.000000e+02	1.411199e-12	2.784294e-12	2.160206e-12	3.248351e-13	1.733561e-16	9.987890e-16	1.196199e-16	1.728066e-11	5.876700e-11	3.466883e-11	3.747175e-12	4.194397e-15	3.118010e-14	5.279800e-15	4.709154e-11	8.116990e-11	1.660612e-11	2.517345e-12	5.662916e-15	1.926438e-14	5.596182e-15	8.643178e-11	1.132795e-10	3.928428e-11	1.469257e-10	1.136028e-12	5.221470e-12	1.249545e-13	1.711166e-11	1.612006e-11	7.840505e-12	1.934408e-10	3.508241e-12	1.612350e-11	2.897996e-13	5.170847e-14	1.021713e-13	9.987083e-14	8.472406e-12	1.986489e-11	1.070238e-10	1.097370e-12	3.960495e-13	1.009673e-12	4.516463e-13	5.174692e-11	1.213670e-10	1.422740e-10	2.345141e-11	7.050967e-14	2.541485e-13	1.950293e-13	1.840817e-12	3.242702e-12	2.168549e-12	3.486058e-11
7.500000e+02	1.795661e-12	3.485922e-12	2.800039e-12	4.573897e-13	2.578752e-16	1.518726e-15	1.856391e-16	1.860648e-11	6.349555e-11	3.737243e-11	4.391516e-12	5.924346e-15	4.455289e-14	7.462513e-15	4.882740e-11	8.583295e-11	1.793717e-11	2.924952e-12	7.577059e-15	2.758509e-14	7.664819e-15	8.760530e-11	1.128451e-10	4.006585e-11	1.656976e-10	1.416080e-12	6.367616e-12	1.688488e-13	1.849866e-11	1.714087e-11	8.445526e-12	2.141920e-10	4.122287e-12	1.891415e-11	3.771466e-13	5.260868e-14	1.166422e-13	1.103585e-13	9.236617e-12	2.079386e-11	1.097301e-10	1.302986e-12	4.041443e-13	1.144175e-12	5.240605e-13	5.415798e-11	1.244473e-10	1.431290e-10	2.745675e-11	7.151842e-14	2.774537e-13	2.108123e-13	2.079086e-12	3.592516e-12	2.460562e-12	3.974999e-11
