T, K	k_01, cm3/s	k_02, cm3/s	k_03, cm3/s	k_04, cm3/s	k_05, cm3/s	k_06, cm3/s	k_07, cm3/s	k_10, cm3/s	k_12, cm3/s	k_13, cm3/s	k_14, cm3/s	k_15, cm3/s	k_16, cm3/s	k_17, cm3/s	k_20, cm3/s	k_21, cm3/s	k_23, cm3/s	k_24, cm3/s	k_25, cm3/s	k_26, cm3/s	k_27, cm3/s	k_30, cm3/s	k_31, cm3/s	k_32, cm3/s	k_34, cm3/s	k_35, cm3/s	k_36, cm3/s	k_37, cm3/s	k_40, cm3/s	k_41, cm3/s	k_42, cm3/s	k_43, cm3/s	k_45, cm3/s	k_46, cm3/s	k_47, cm3/s	k_50, cm3/s	k_51, cm3/s	k_52, cm3/s	k_53, cm3/s	k_54, cm3/s	k_56, cm3/s	k_57, cm3/s	k_60, cm3/s	k_61, cm3/s	k_62, cm3/s	k_63, cm3/s	k_64, cm3/s	k_65, cm3/s	k_67, cm3/s	k_70, cm3/s	k_71, cm3/s	k_72, cm3/s	k_73, cm3/s	k_74, cm3/s	k_75, cm3/s	k_76, cm3/s	
3.000000e+02	1.498724e-14	2.043061e-14	9.300892e-15	5.195406e-16	2.540559e-21	1.099771e-20	2.694308e-22	5.179758e-12	1.614566e-11	7.265825e-12	2.457548e-13	3.404886e-18	2.285098e-17	7.257570e-19	1.500190e-11	3.430306e-11	3.066170e-12	1.852441e-13	4.880871e-18	1.901089e-17	1.331830e-18	5.092611e-11	1.151100e-10	2.286374e-11	2.668015e-11	3.394204e-14	1.189826e-13	6.176383e-16	5.404498e-12	7.396889e-12	2.624311e-12	5.068807e-11	1.998688e-13	6.466148e-13	2.621032e-15	1.508860e-15	5.856689e-15	3.954481e-15	1.597241e-11	1.142192e-11	5.434800e-11	1.272231e-13	1.268666e-14	7.637356e-14	2.990655e-14	2.510134e-11	7.180292e-11	1.056061e-10	2.768897e-12	7.842583e-16	6.115133e-15	5.242815e-15	3.285821e-13	7.339549e-13	6.233694e-13	6.982773e-12
3.500000e+02	4.194628e-14	6.273089e-14	3.417211e-14	2.419730e-15	1.906439e-20	1.000250e-19	2.779756e-21	6.289641e-12	2.139896e-11	1.104184e-11	4.739547e-13	1.358030e-17	1.020739e-16	3.916166e-18	1.794473e-11	4.082403e-11	4.497945e-12	3.320993e-13	1.606043e-17	8.338536e-17	5.842859e-18	5.470516e-11	1.178869e-10	2.517184e-11	3.821617e-11	7.487317e-14	2.891780e-13	2.143529e-15	6.714685e-12	8.771272e-12	3.221596e-12	6.624421e-11	3.904134e-13	1.388491e-12	8.061857e-15	1.695087e-15	8.058140e-15	4.997628e-15	1.395398e-11	1.251755e-11	6.349386e-11	2.173800e-13	1.571355e-14	1.070336e-13	4.583256e-14	2.840196e-11	7.867303e-11	1.122075e-10	4.430201e-12	9.653317e-16	9.072538e-15	7.063965e-15	4.651900e-13	1.009341e-12	8.488170e-13	9.789384e-12
4.000000e+02	9.258710e-14	1.465182e-13	9.102713e-14	7.816905e-15	8.901256e-20	5.379134e-19	1.700228e-20	7.421495e-12	2.658852e-11	1.502690e-11	7.847412e-13	4.117135e-17	3.284879e-16	1.496503e-17	2.066761e-11	4.678987e-11	6.006065e-12	5.214983e-13	4.264656e-17	2.662733e-16	1.933465e-17	5.794057e-11	1.193274e-10	2.710212e-11	5.121184e-11	1.368342e-13	5.688705e-13	5.607538e-15	8.051670e-12	1.008408e-11	3.808074e-12	8.287212e-11	6.451664e-13	2.475331e-12	1.910974e-14	1.904774e-15	1.099647e-14	6.474635e-15	1.264349e-11	1.340963e-11	7.122274e-11	3.342388e-13	1.894223e-14	1.443942e-13	6.651225e-14	3.149007e-11	8.467507e-11	1.172189e-10	6.491229e-12	1.198520e-15	1.316322e-14	9.638324e-15	6.211753e-13	1.308157e-12	1.100800e-12	1.299024e-11
4.500000e+02	1.743855e-13	2.847565e-13	1.955848e-13	1.973102e-14	3.030860e-19	2.030050e-18	7.305115e-20	8.588200e-12	3.164147e-11	1.900910e-11	1.171406e-12	1.033960e-16	8.448428e-16	4.485028e-17	2.317663e-11	5.229273e-11	7.525300e-12	7.480924e-13	9.815943e-17	6.822188e-16	5.235181e-17	6.075924e-11	1.199076e-10	2.872265e-11	6.543075e-11	2.214116e-13	9.706005e-13	1.208832e-14	9.402409e-12	1.133457e-11	4.379942e-12	1.003676e-10	9.562772e-13	3.894182e-12	3.790582e-14	2.142072e-15	1.484335e-14	8.528249e-15	1.179481e-11	1.418773e-11	7.776459e-11	4.771430e-13	2.233984e-14	1.888585e-13	9.227853e-14	3.439666e-11	8.996644e-11	1.210929e-10	8.933580e-12	1.489753e-15	1.857460e-14	1.309728e-14	7.936875e-13	1.622477e-12	1.376534e-12	1.655156e-11
5.000000e+02	2.936888e-13	4.860887e-13	3.613998e-13	4.182332e-14	8.289043e-19	5.969372e-18	2.451498e-19	9.795804e-12	3.653551e-11	2.285586e-11	1.624097e-12	2.261931e-16	1.849431e-15	1.123829e-16	2.548205e-11	5.742240e-11	9.013414e-12	1.006052e-12	2.031472e-16	1.489162e-15	1.218184e-16	6.324664e-11	1.199208e-10	3.008985e-11	8.067425e-11	3.300047e-13	1.497377e-12	2.267844e-14	1.075720e-11	1.252390e-11	4.936078e-12	1.185674e-10	1.316487e-12	5.608435e-12	6.619707e-14	2.414727e-15	1.976078e-14	1.129339e-14	1.127458e-11	1.491464e-11	8.333549e-11	6.449197e-13	2.590444e-14	2.406926e-13	1.233108e-13	3.714149e-11	9.465413e-11	1.241461e-10	1.173501e-11	1.853486e-15	2.547684e-14	1.755218e-14	9.798726e-13	1.946100e-12	1.673525e-12	2.044163e-11
5.500000e+02	4.555078e-13	7.544768e-13	5.982217e-13	7.797161e-14	1.938437e-18	1.463640e-17	6.889017e-19	1.104537e-11	4.127785e-11	2.649178e-11	2.131996e-12	4.450004e-16	3.588520e-15	2.456690e-16	2.759592e-11	6.226324e-11	1.044512e-11	1.289956e-12	3.858567e-16	2.880369e-15	2.517467e-16	6.546334e-11	1.195536e-10	3.125002e-11	9.677521e-11	4.643128e-13	2.145126e-12	3.836277e-14	1.210879e-11	1.365419e-11	5.476967e-12	1.373384e-10	1.720653e-12	7.570291e-12	1.052000e-13	2.734575e-15	2.589408e-14	1.488633e-14	1.100497e-11	1.563339e-11	8.812188e-11	8.361032e-13	2.966355e-14	2.999990e-13	1.596388e-13	3.973797e-11	9.881842e-11	1.266048e-10	1.487097e-11	2.312765e-15	3.401478e-14	2.309203e-14	1.177010e-12	2.274356e-12	1.989482e-12	2.462971e-11
6.000000e+02	6.634911e-13	1.089793e-12	9.115904e-13	1.318899e-13	4.043045e-18	3.132983e-17	1.697372e-18	1.233471e-11	4.589257e-11	2.987944e-11	2.684537e-12	8.044479e-16	6.342913e-15	4.825156e-16	2.953087e-11	6.689302e-11	1.180684e-11	1.595169e-12	6.816639e-16	5.071551e-15	4.730426e-16	6.745400e-11	1.189287e-10	3.224105e-11	1.135919e-10	6.263690e-13	2.905102e-12	5.994107e-14	1.345174e-11	1.472796e-11	6.004011e-12	1.565691e-10	2.165740e-12	9.729172e-12	1.555950e-13	3.116782e-15	3.336321e-14	1.939662e-14	1.093673e-11	1.637204e-11	9.227870e-11	1.049049e-12	3.366632e-14	3.666988e-13	2.011516e-13	4.219570e-11	1.025237e-10	1.286335e-10	1.831498e-11	2.896865e-15	4.429835e-14	2.978039e-14	1.382577e-12	2.603765e-12	2.322221e-12	2.908482e-11
6.500000e+02	9.199972e-13	1.488781e-12	1.303209e-12	2.068566e-13	7.739880e-18	6.044973e-17	3.778013e-18	1.365974e-11	5.041248e-11	3.300551e-11	3.272012e-12	1.356890e-15	1.041101e-14	8.696415e-16	3.129951e-11	7.138204e-11	1.309276e-11	1.917917e-12	1.131346e-15	8.285919e-15	8.224275e-16	6.925269e-11	1.181281e-10	3.309383e-11	1.310023e-10	8.183135e-13	3.765813e-12	8.799123e-14	1.478194e-11	1.574783e-11	6.519057e-12	1.761642e-10	2.650180e-12	1.203667e-11	2.175892e-13	3.578206e-15	4.225425e-14	2.488213e-14	1.103571e-11	1.714728e-11	9.593222e-11	1.281980e-12	3.797261e-14	4.405281e-13	2.476115e-13	4.452180e-11	1.058233e-10	1.303529e-10	2.203853e-11	3.637419e-15	5.639325e-14	3.765197e-14	1.594267e-12	2.931705e-12	2.669580e-12	3.377472e-11
7.000000e+02	1.226219e-12	1.946050e-12	1.771667e-12	3.055583e-13	1.386551e-17	1.075518e-16	7.743644e-18	1.501531e-11	5.487356e-11	3.587125e-11	3.885803e-12	2.159914e-15	1.609068e-14	1.460760e-15	3.291408e-11	7.579223e-11	1.430202e-11	2.255215e-12	1.778551e-15	1.273942e-14	1.340633e-15	7.088600e-11	1.172083e-10	3.383357e-11	1.488993e-10	1.042086e-12	4.714417e-12	1.228623e-13	1.609619e-11	1.671642e-11	7.024074e-12	1.960393e-10	3.173114e-12	1.444903e-11	2.910031e-13	4.135448e-15	5.261336e-14	3.136724e-14	1.127600e-11	1.796729e-11	9.918386e-11	1.533003e-12	4.264218e-14	5.210482e-13	2.986702e-13	4.672181e-11	1.087627e-10	1.318518e-10	2.601098e-11	4.564253e-15	7.031467e-14	4.671004e-14	1.809984e-12	3.256142e-12	3.029358e-12	3.866539e-11
7.500000e+02	1.582333e-12	2.454926e-12	2.313251e-12	4.300254e-13	2.354499e-17	1.793662e-16	1.480103e-17	1.639581e-11	5.931113e-11	3.848640e-11	4.518425e-12	3.273174e-15	2.366196e-14	2.313792e-15	3.438622e-11	8.017648e-11	1.543677e-11	2.604735e-12	2.666922e-15	1.862777e-14	2.070122e-15	7.237508e-11	1.162087e-10	3.448077e-11	1.671872e-10	1.299151e-12	5.737671e-12	1.646871e-13	1.739192e-11	1.763622e-11	7.520924e-12	2.161176e-10	3.733767e-12	1.692818e-11	3.753570e-13	4.803072e-15	6.444430e-14	3.884399e-14	1.163635e-11	1.883408e-11	1.021141e-10	1.800111e-12	4.772584e-14	6.076694e-13	3.538889e-13	4.880015e-11	1.113804e-10	1.331950e-10	3.019972e-11	5.701958e-15	8.602555e-14	5.692595e-14	2.027832e-12	3.575444e-12	3.399278e-12	4.372108e-11
