T, K	k_01, cm3/s	k_02, cm3/s	k_03, cm3/s	k_04, cm3/s	k_05, cm3/s	k_06, cm3/s	k_07, cm3/s	k_10, cm3/s	k_12, cm3/s	k_13, cm3/s	k_14, cm3/s	k_15, cm3/s	k_16, cm3/s	k_17, cm3/s	k_20, cm3/s	k_21, cm3/s	k_23, cm3/s	k_24, cm3/s	k_25, cm3/s	k_26, cm3/s	k_27, cm3/s	k_30, cm3/s	k_31, cm3/s	k_32, cm3/s	k_34, cm3/s	k_35, cm3/s	k_36, cm3/s	k_37, cm3/s	k_40, cm3/s	k_41, cm3/s	k_42, cm3/s	k_43, cm3/s	k_45, cm3/s	k_46, cm3/s	k_47, cm3/s	k_50, cm3/s	k_51, cm3/s	k_52, cm3/s	k_53, cm3/s	k_54, cm3/s	k_56, cm3/s	k_57, cm3/s	k_60, cm3/s	k_61, cm3/s	k_62, cm3/s	k_63, cm3/s	k_64, cm3/s	k_65, cm3/s	k_67, cm3/s	k_70, cm3/s	k_71, cm3/s	k_72, cm3/s	k_73, cm3/s	k_74, cm3/s	k_75, cm3/s	k_76, cm3/s	
3.000000e+02	2.803667e-15	7.327116e-15	1.876715e-19	3.402040e-19	3.594513e-21	nan	5.564415e-22	8.619009e-14	3.556131e-11	7.539888e-16	2.344019e-16	5.981289e-18	nan	3.060057e-18	5.056862e-13	4.200930e-11	9.373808e-16	6.455377e-16	6.405862e-17	nan	4.878586e-17	1.433995e-16	1.837209e-15	1.398343e-15	3.613354e-10	2.898131e-14	nan	8.950099e-15	4.534673e-16	1.814565e-15	2.507123e-15	3.061628e-10	1.383989e-13	nan	2.891846e-14	8.593246e-17	9.893500e-16	1.447568e-15	5.894643e-13	1.570102e-12	nan	1.752720e-12	nan	nan	nan	nan	nan	nan	3.708492e-12	5.273067e-17	1.140880e-15	1.825430e-15	4.538699e-13	1.017710e-12	2.935256e-12	5.677682e-12
3.500000e+02	7.476320e-15	2.312080e-14	1.091277e-18	2.195059e-18	3.080465e-20	nan	5.997226e-21	1.185839e-13	4.595149e-11	1.236634e-15	5.876828e-16	2.343452e-17	nan	1.271915e-17	7.152370e-13	5.074228e-11	1.377646e-15	1.333467e-15	1.565370e-16	nan	1.419994e-16	2.677222e-16	2.830782e-15	2.035800e-15	4.121124e-10	7.785033e-14	nan	2.673954e-14	8.752702e-16	3.663753e-15	4.623355e-15	3.482268e-10	3.229097e-13	nan	8.238597e-14	1.348004e-16	1.860954e-15	2.323442e-15	9.046498e-13	2.254426e-12	nan	2.990359e-12	nan	nan	nan	nan	nan	nan	6.032092e-12	9.327637e-17	2.292315e-15	3.879280e-15	6.814468e-13	1.498877e-12	5.291964e-12	8.544470e-12
4.000000e+02	1.580996e-14	5.521833e-14	4.148302e-18	9.191519e-18	1.576649e-19	nan	3.796503e-20	1.560181e-13	5.588824e-11	1.919543e-15	1.344202e-15	7.159071e-17	nan	4.152467e-17	9.471229e-13	5.894510e-11	1.975607e-15	2.549409e-15	3.195003e-16	nan	3.297835e-16	4.327996e-16	4.209252e-15	2.989024e-15	4.581136e-10	1.670026e-13	nan	6.274655e-14	1.521191e-15	7.025456e-15	7.881862e-15	3.876503e-10	6.128140e-13	nan	1.840470e-13	1.932986e-16	3.272157e-15	3.645585e-15	1.297377e-12	2.983403e-12	nan	4.847782e-12	nan	nan	nan	nan	nan	nan	8.977326e-12	1.664771e-16	4.294715e-15	8.104082e-15	9.756663e-13	2.070985e-12	8.353536e-12	1.201093e-11
4.500000e+02	2.863653e-14	1.093068e-13	1.180817e-17	2.894439e-17	5.684753e-19	nan	1.713693e-19	1.981581e-13	6.531450e-11	2.879021e-15	2.855314e-15	1.833417e-16	nan	1.147340e-16	1.195139e-12	6.671143e-11	2.809145e-15	4.539035e-15	5.865416e-16	nan	6.833631e-16	6.377054e-16	6.108804e-15	4.357889e-15	5.000486e-10	3.089981e-13	nan	1.250317e-13	2.478056e-15	1.286997e-14	1.262436e-14	4.244759e-10	1.009827e-12	nan	3.491332e-13	2.606595e-16	5.438088e-15	5.617412e-15	1.787243e-12	3.720867e-12	nan	7.339476e-12	nan	nan	nan	nan	nan	nan	1.252776e-11	2.973210e-16	7.419769e-15	1.549524e-14	1.338285e-12	2.737599e-12	1.200382e-11	1.604750e-11
5.000000e+02	4.651292e-14	1.894809e-13	2.744662e-17	7.488595e-17	1.599937e-18	nan	6.165044e-19	2.445928e-13	7.425604e-11	4.227379e-15	5.666639e-15	4.109413e-16	nan	2.770116e-16	1.454047e-12	7.413370e-11	3.971239e-15	7.603160e-15	1.008833e-15	nan	1.334631e-15	8.845564e-16	8.745904e-15	6.254736e-15	5.384495e-10	5.163451e-13	nan	2.214432e-13	3.858713e-15	2.244185e-14	1.927915e-14	4.588280e-10	1.504365e-12	nan	5.902124e-13	3.380419e-16	8.580336e-15	8.462153e-15	2.392087e-12	4.441490e-12	nan	1.042195e-11	nan	nan	nan	nan	nan	nan	1.665530e-11	5.206171e-16	1.187220e-14	2.698139e-14	1.764101e-12	3.500217e-12	1.611404e-11	2.061849e-11
5.500000e+02	6.974423e-14	2.979599e-13	5.515581e-17	1.681418e-16	3.760627e-18	nan	1.881435e-18	2.949080e-13	8.277072e-11	6.126663e-15	1.053220e-14	8.283385e-16	nan	5.956300e-16	1.719588e-12	8.129210e-11	5.570330e-15	1.211023e-14	1.659244e-15	nan	2.497470e-15	1.180265e-15	1.241952e-14	8.810238e-15	5.737460e-10	8.012504e-13	nan	3.586983e-13	5.794021e-15	3.716276e-14	2.837601e-14	4.908758e-10	2.080288e-12	nan	9.168525e-13	4.287264e-16	1.289512e-14	1.238943e-14	3.123065e-12	5.129889e-12	nan	1.402015e-11	nan	nan	nan	nan	nan	nan	2.132429e-11	8.788996e-16	1.777194e-14	4.332000e-14	2.243485e-12	4.356747e-12	2.056398e-11	2.568390e-11
6.000000e+02	9.843142e-14	4.352370e-13	9.964569e-17	3.392382e-16	7.732838e-18	nan	5.041726e-18	3.487240e-13	9.092445e-11	8.793152e-15	1.839242e-14	1.529746e-15	nan	1.158946e-15	1.988372e-12	8.825250e-11	7.731981e-15	1.850280e-14	2.631698e-15	nan	4.472189e-15	1.537594e-15	1.748878e-14	1.217630e-14	6.063007e-10	1.174775e-12	nan	5.416989e-13	8.421499e-15	5.851379e-14	4.053331e-14	5.208070e-10	2.719016e-12	nan	1.335600e-12	5.376757e-16	1.852972e-14	1.756827e-14	3.983190e-12	5.778275e-12	nan	1.804675e-11	nan	nan	nan	nan	nan	nan	2.649344e-11	1.418029e-15	2.515492e-14	6.503719e-14	2.764877e-12	5.301489e-12	2.524997e-11	3.119965e-11
6.500000e+02	1.325229e-13	6.004289e-13	1.663612e-16	6.292124e-16	1.437328e-17	nan	1.210842e-17	4.057093e-13	9.878040e-11	1.248968e-14	3.032243e-14	2.624389e-15	nan	2.070570e-15	2.257740e-12	9.506747e-11	1.059876e-14	2.729046e-14	4.035859e-15	nan	7.632039e-15	1.975389e-15	2.433712e-14	1.652306e-14	6.364259e-10	1.645828e-12	nan	7.732047e-13	1.187352e-14	8.791887e-14	5.641999e-14	5.488104e-10	3.402326e-12	nan	1.850079e-12	6.707534e-16	2.557018e-14	2.411102e-14	4.968041e-12	6.384014e-12	nan	2.241381e-11	nan	nan	nan	nan	nan	nan	3.211655e-11	2.181863e-15	3.398411e-14	9.240582e-14	3.316577e-12	6.325811e-12	3.008589e-11	3.711737e-11
7.000000e+02	1.718609e-13	7.916684e-13	2.617846e-16	1.089725e-15	2.472226e-17	nan	2.643586e-17	4.655798e-13	1.063944e-10	1.750821e-14	4.746246e-14	4.228626e-15	nan	3.440978e-15	2.525621e-12	1.017778e-10	1.432662e-14	3.902835e-14	5.988728e-15	nan	1.239666e-14	2.517850e-15	3.333403e-14	2.203002e-14	6.643926e-10	2.220385e-12	nan	1.053844e-12	1.626692e-14	1.266434e-13	7.670357e-14	5.750658e-10	4.113909e-12	nan	2.461166e-12	8.338761e-16	3.403925e-14	3.206798e-14	6.067419e-12	6.947646e-12	nan	2.703897e-11	nan	nan	nan	nan	nan	nan	3.814304e-11	3.207480e-15	4.416492e-14	1.254533e-13	3.887783e-12	7.419017e-12	3.500142e-11	4.338460e-11
7.500000e+02	2.162186e-13	1.006461e-12	3.938036e-16	1.781990e-15	4.001824e-17	nan	5.307795e-17	5.280898e-13	1.138134e-10	2.414746e-14	7.094267e-14	6.457132e-15	nan	5.378559e-15	2.790412e-12	1.084143e-10	1.907779e-14	5.428519e-14	8.605214e-15	nan	1.919945e-14	3.192936e-15	4.480233e-14	2.887356e-14	6.904357e-10	2.901113e-12	nan	1.382363e-12	2.169508e-14	1.757167e-13	1.019965e-13	5.997375e-10	4.840020e-12	nan	3.167252e-12	1.032288e-15	4.390187e-14	4.143025e-14	7.267217e-12	7.471448e-12	nan	3.184805e-11	nan	nan	nan	nan	nan	nan	4.451869e-11	4.521863e-15	5.556131e-14	1.639901e-13	4.469063e-12	8.569192e-12	3.993933e-11	4.994545e-11
